Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Fuller, Kyle",CHI,DB,62.7,10.8,0.0,14.0,3.5,0.0,0.0,0.2,0.0,0.0,89.0
2,"Ryan, Logan",NYG,DB,56.0,23.9,2.2,10.7,2.0,1.8,0.0,0.0,14.0,8.0,86.6
3,"Peters, Marcus",BAL,DB,51.0,14.1,0.0,18.3,4.8,0.3,0.3,0.3,0.0,0.0,86.5
4,"Lattimore, Marshon",NOS,DB,58.0,14.5,0.0,14.6,2.8,0.3,0.0,0.0,0.0,0.0,85.8
5,"Bradberry, James",NYG,DB,62.1,16.6,0.5,9.9,1.2,0.7,0.0,0.2,0.0,0.0,84.0
6,"Dunbar, Quinton",SEA,DB,58.0,12.0,0.0,9.4,3.4,1.6,0.0,0.0,0.0,0.0,81.8
7,"Jackson, Donte",CAR,DB,56.0,16.3,0.0,10.4,2.6,0.0,0.0,0.0,0.0,0.0,79.7
8,"Murphy, Byron",ARI,DB,60.3,11.4,0.5,9.4,1.2,0.4,0.0,0.0,0.0,0.0,78.6
9,"Haden, Joe",PIT,DB,50.7,6.5,0.0,12.4,4.4,0.8,0.8,0.0,0.0,0.0,76.7
10,"King, Kevin",GBP,DB,50.1,8.8,0.5,12.4,3.9,0.7,0.5,0.0,8.0,21.0,76.5
11,"Moore, Kenny",IND,DB,53.0,14.3,3.1,6.4,3.2,0.0,0.0,0.0,0.0,0.0,76.2
12,"Humphrey, Marlon",BAL,DB,48.8,8.9,0.0,14.2,2.9,1.0,1.0,0.2,0.0,0.0,75.2
13,"White, Tre'Davious",BUF,DB,46.3,9.7,0.5,12.8,4.3,1.3,0.0,0.0,0.0,0.0,74.5
14,"Ward, Denzel",CLE,DB,51.9,8.6,0.0,12.2,2.2,0.0,0.0,0.2,4.0,18.0,72.9
15,"Nelson, Steven",PIT,DB,54.8,10.7,0.0,9.2,1.6,0.2,0.2,0.0,0.0,0.0,72.9
16,"Jackson, Adoree",TEN,DB,48.3,16.3,0.0,14.9,0.7,0.0,0.0,0.0,19.0,0.0,72.7
17,"Hilton, Mike",PIT,DB,49.9,12.8,1.3,10.6,0.7,0.6,0.6,0.0,0.0,0.0,70.9
18,"Griffin, Shaq",SEA,DB,49.0,22.4,0.5,8.0,0.5,0.6,0.0,0.0,0.0,0.0,70.4
19,"Mullen, Trayvon",LVR,DB,51.1,11.5,0.3,10.9,1.1,0.0,0.0,0.0,0.0,0.0,70.2
