Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Koo, Younghoe",ATL,@LAC,K,2.0,2.2,2.5,2.7,0.0,0.6,0.8,0.6,0.5,0.2,10.3
2,"Lutz, Wil",NOS,@PHI,K,3.4,3.4,1.9,2.2,0.0,0.5,0.6,0.7,0.1,0.3,9.3
3,"Tucker, Justin",BAL,@CLE,K,3.0,3.0,1.9,2.0,0.0,0.6,0.5,0.7,0.2,0.1,9.3
4,"Gano, Graham",NYG,ARI,K,1.8,1.9,2.2,2.2,0.0,0.3,0.9,0.7,0.2,0.1,9.2
5,"McManus, Brandon",DEN,@CAR,K,1.8,1.9,2.0,2.1,0.0,0.4,0.3,0.7,0.5,0.1,9.0
6,"Myers, Jason",SEA,NYJ,K,3.2,3.5,1.6,1.8,0.0,0.2,0.6,0.7,0.2,0.1,8.8
7,"Boswell, Chris",PIT,@BUF,K,2.7,2.9,1.8,1.9,0.0,0.3,0.5,0.8,0.1,0.1,8.5
8,"Slye, Joey",CAR,DEN,K,2.5,2.6,2.0,2.5,0.0,0.6,0.5,0.6,0.3,0.5,8.3
9,"Succop, Ryan",TBB,MIN,K,3.1,3.3,1.7,1.8,0.0,0.5,0.6,0.5,0.1,0.2,8.3
10,"Blankenship, Rodrigo",IND,@LVR,K,2.5,2.8,1.9,2.1,0.0,0.4,0.8,0.6,0.1,0.2,8.2
11,"Gould, Robbie",SFO,WAS,K,2.7,2.7,1.7,2.0,0.0,0.4,0.5,0.6,0.1,0.2,8.0
12,"Zuerlein, Greg",DAL,@CIN,K,1.9,2.1,1.9,2.3,0.1,0.3,0.7,0.7,0.2,0.3,7.8
13,"Folk, Nick",NEP,@LAR,K,1.9,2.1,1.8,2.0,0.0,0.6,0.5,0.6,0.2,0.2,7.8
14,"Bass, Tyler",BUF,PIT,K,2.5,2.6,1.8,2.3,0.1,0.3,0.4,0.7,0.3,0.5,7.6
15,"Sanders, Jason",MIA,KCC,K,2.1,2.1,1.6,1.9,0.0,0.4,0.3,0.5,0.5,0.3,7.6
16,"Carlson, Daniel",LVR,IND,K,2.4,2.5,1.7,1.9,0.0,0.7,0.4,0.3,0.2,0.2,7.6
17,"Gay, Matt",LAR,NEP,K,2.7,3.0,1.6,2.0,0.0,0.4,0.4,0.7,0.1,0.4,7.1
18,"Gonzalez, Zane",ARI,@NYG,K,2.6,2.6,1.6,1.9,0.0,0.5,0.4,0.6,0.2,0.3,7.1
19,"Fairbairn, Ka'imi",HOU,@CHI,K,2.5,2.7,1.5,1.8,0.0,0.4,0.6,0.4,0.2,0.3,6.9
20,"Butker, Harrison",KCC,@MIA,K,2.8,3.1,1.4,1.6,0.1,0.3,0.5,0.3,0.2,0.2,6.8
21,"Bullock, Randy",CIN,DAL,K,1.7,1.8,1.7,2.0,0.0,0.4,0.6,0.6,0.2,0.3,6.8
22,"Hopkins, Dustin",WAS,@SFO,K,1.9,2.0,1.7,2.0,0.0,0.3,0.6,0.6,0.1,0.4,6.7
23,"Forbath, Kai",LAR,NEP,K,2.5,2.7,1.6,1.9,0.0,0.5,0.4,0.5,0.1,0.4,6.7
24,"Crosby, Mason",GBP,@DET,K,2.9,3.0,1.1,1.1,0.1,0.1,0.4,0.3,0.1,0.1,6.4
25,"Parkey, Cody",CLE,BAL,K,2.2,2.3,1.4,1.6,0.0,0.3,0.3,0.7,0.0,0.2,6.3
26,"Prater, Matt",DET,GBP,K,2.2,2.2,1.5,2.0,0.0,0.4,0.3,0.4,0.3,0.5,6.3
27,"Gostkowski, Stephen",TEN,@JAC,K,3.1,3.3,1.2,1.7,0.0,0.2,0.1,0.5,0.4,0.6,6.3
28,"Bailey, Dan",MIN,@TBB,K,2.4,2.6,1.2,1.3,0.0,0.3,0.4,0.3,0.2,0.1,6.2
29,"Badgley, Mike",LAC,ATL,K,2.3,2.5,1.4,1.8,0.0,0.5,0.3,0.5,0.1,0.4,6.1
30,"Santos, Cairo",CHI,HOU,K,1.6,1.7,1.4,1.6,0.0,0.5,0.4,0.4,0.1,0.2,6.0
31,"Elliott, Jake",PHI,NOS,K,1.7,1.8,1.2,1.4,0.0,0.2,0.5,0.4,0.1,0.2,5.1
32,"Castillo, Sergio",NYJ,@SEA,K,1.1,1.4,1.2,1.6,0.0,0.2,0.5,0.2,0.3,0.4,4.0

