Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
67,"Fotu, Leki",ARI,@DAL,DL,1.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4
68,"Lancaster, Tyler",GBP,@TBB,DL,0.8,0.8,0.1,0.0,0.0,0.0,0.0,0.0,1.4
69,"Wormley, Chris",PIT,CLE,DL,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4
70,"Crawford, Tyrone",DAL,ARI,DL,0.9,0.7,0.1,0.0,0.0,0.0,0.0,0.0,1.4
71,"Okwara, Julian",DET,@JAC,DL,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
72,"Epenesa, A.J.",BUF,KCC,DL,0.8,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.3
73,"Muhammad, Al-Quadin",IND,CIN,DL,0.8,0.5,0.1,0.0,0.0,0.1,0.0,0.0,1.3
74,"Williams, Nick",DET,@JAC,DL,0.9,0.6,0.0,0.1,0.0,0.0,0.0,0.0,1.3
75,"Haynes, Marquis",CAR,CHI,DL,0.6,0.2,0.2,0.1,0.0,0.0,0.0,0.0,1.2
76,"Smoot, Dawuane",JAC,DET,DL,0.6,0.1,0.2,0.0,0.0,0.0,0.0,0.0,1.1
77,"Wharton, Tershawn",KCC,@BUF,DL,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,"Obada, Efe",CAR,CHI,DL,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,"Armstrong, Dorance",DAL,ARI,DL,0.6,0.3,0.1,0.0,0.0,0.1,0.0,0.0,1.0
80,"Crawford, Jack",TEN,HOU,DL,0.5,0.3,0.1,0.1,0.0,0.0,0.0,0.0,1.0
81,"Wonnum, D.J.",MIN,ATL,DL,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.7
82,"Hand, Da'Shawn",DET,@JAC,DL,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7
83,"Street, Kentavius",SFO,LAR,DL,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6
84,"Adams, Montravius",GBP,@TBB,DL,0.2,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.5
85,"Edwards, Mario",CHI,@CAR,DL,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.5
86,"Bledsoe, Amani",CIN,@IND,DL,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4
87,"Blackson, Angelo",ARI,@DAL,DL,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.4
88,"Kareem, Khalid",CIN,@IND,DL,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3
89,"Johnson, Darryl",BUF,KCC,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
90,"Charlton, Taco",KCC,@BUF,DL,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3
91,"Urban, Brent",CHI,@CAR,DL,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.3
92,"Smith-Williams, James",WAS,@NYG,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
93,"Franklin-Myers, John",NYJ,@MIA,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
94,"Murchison, Larrell",TEN,HOU,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
95,"Sieler, Zach",MIA,NYJ,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
96,"Gotsis, Adam",JAC,DET,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
97,"Winn, Billy",GBP,@TBB,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

