Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Way, Tress",WAS,@NYG,P,5.5,267.0,20.0,2.2,18.9
2,"Fox, Jack",DET,@JAC,P,4.4,219.0,10.0,1.9,15.7
3,"Kern, Brett",TEN,HOU,P,4.3,204.0,12.0,2.3,15.5
4,"O'Donnell, Pat",CHI,@CAR,P,4.8,217.0,17.0,1.9,15.4
5,"Huber, Kevin",CIN,@IND,P,4.8,220.0,9.0,1.7,15.3
6,"Mann, Braden",NYJ,@MIA,P,5.0,227.0,25.0,1.3,15.1
7,"Johnston, Cam",PHI,BAL,P,4.1,197.0,13.0,1.8,14.3
8,"Lee, Andy",ARI,@DAL,P,4.4,208.0,19.0,1.5,14.1
9,"Cooke, Logan",JAC,DET,P,4.2,196.0,9.0,1.6,13.8
10,"Bailey, Jake",NEP,DEN,P,4.0,180.0,8.0,1.9,13.6
11,"Dixon, Riley",NYG,WAS,P,4.0,183.0,8.0,1.7,13.0
12,"Haack, Matt",MIA,NYJ,P,4.1,184.0,15.0,1.4,12.8
13,"Bojorquez, Corey",BUF,KCC,P,3.9,172.0,12.0,1.6,12.4
14,"Martin, Sam",DEN,@NEP,P,4.1,184.0,15.0,1.3,12.1
15,"Hekker, Johnny",LAR,@SFO,P,3.6,170.0,11.0,1.4,12.0
16,"Anger, Bryan",HOU,@TEN,P,3.5,163.0,7.0,1.6,12.0
17,"Pinion, Bradley",TBB,GBP,P,3.8,169.0,12.0,1.4,11.9
18,"Scott, J.K.",GBP,@TBB,P,3.9,169.0,12.0,1.3,11.8
19,"Sanchez, Rigoberto",IND,CIN,P,3.3,150.0,7.0,1.6,11.3
20,"Colquitt, Britton",MIN,ATL,P,3.7,167.0,14.0,1.1,11.3
21,"Colquitt, Dustin",FA,Bye,P,3.6,158.0,12.0,1.3,11.3
22,"Townsend, Tommy",KCC,@BUF,P,3.2,155.0,8.0,1.0,10.5
23,"Wishnowsky, Mitch",SFO,LAR,P,3.1,141.0,6.0,1.5,10.3
24,"Hofrichter, Sterling",ATL,@MIN,P,3.4,145.0,7.0,1.1,10.1
25,"Charlton, Joseph",CAR,CHI,P,3.1,147.0,16.0,1.0,10.0
26,"Koch, Sam",BAL,@PHI,P,2.9,133.0,11.0,1.3,9.6
27,"Gillan, Jamie",CLE,@PIT,P,2.8,129.0,11.0,1.2,9.2
28,"Jones, Chris",DAL,ARI,P,3.1,130.0,8.0,1.0,8.9

