Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Way, Tress",WAS,@ARI,P,5.1,244.0,19.0,2.2,17.6
2,"Kern, Brett",TEN,JAC,P,4.7,221.0,15.0,2.1,16.1
3,"Huber, Kevin",CIN,@CLE,P,4.7,218.0,11.0,1.9,15.8
4,"Mann, Braden",NYJ,SFO,P,5.3,243.0,29.0,1.2,15.6
5,"Cooke, Logan",JAC,@TEN,P,4.8,220.0,9.0,1.8,15.5
6,"Lee, Andy",ARI,WAS,P,4.8,230.0,24.0,1.6,15.4
7,"Fox, Jack",DET,@GBP,P,4.5,205.0,7.0,1.9,15.0
8,"Dickson, Michael",SEA,NEP,P,4.5,207.0,15.0,1.9,15.0
9,"Martin, Sam",DEN,@PIT,P,4.5,205.0,13.0,1.9,15.0
10,"O'Donnell, Pat",CHI,NYG,P,4.7,211.0,14.0,1.8,14.9
11,"Bailey, Jake",NEP,@SEA,P,4.5,198.0,9.0,2.0,14.8
12,"Haack, Matt",MIA,BUF,P,4.6,208.0,16.0,1.6,14.4
13,"Johnston, Cam",PHI,LAR,P,4.2,197.0,12.0,1.8,14.3
14,"Dixon, Riley",NYG,@CHI,P,4.5,202.0,10.0,1.8,14.2
15,"Bojorquez, Corey",BUF,@MIA,P,4.6,194.0,10.0,1.9,14.1
16,"Cole, A.J.",LVR,NOS,P,4.0,180.0,18.0,1.7,13.1
17,"Scott, J.K.",GBP,DET,P,4.3,186.0,12.0,1.4,12.9
18,"Hekker, Johnny",LAR,@PHI,P,3.8,178.0,10.0,1.6,12.7
19,"Anger, Bryan",HOU,BAL,P,3.7,166.0,6.0,1.9,12.7
20,"Colquitt, Britton",MIN,@IND,P,3.9,180.0,12.0,1.4,12.6
21,"Morstead, Thomas",NOS,@LVR,P,3.6,164.0,7.0,1.7,12.3
22,"Gillan, Jamie",CLE,CIN,P,3.8,173.0,13.0,1.5,12.1
23,"Charlton, Joseph",CAR,@TBB,P,3.6,173.0,28.0,1.0,11.4
24,"Sanchez, Rigoberto",IND,MIN,P,3.4,153.0,8.0,1.4,11.2
25,"Colquitt, Dustin",FA,Bye,P,3.5,157.0,13.0,1.3,11.2
26,"Pinion, Bradley",TBB,CAR,P,3.7,164.0,17.0,1.0,10.9
27,"Wishnowsky, Mitch",SFO,@NYJ,P,3.3,149.0,7.0,1.6,10.7
28,"Long, Ty",LAC,KCC,P,3.3,154.0,16.0,1.1,10.5
29,"Koch, Sam",BAL,@HOU,P,2.9,134.0,13.0,1.4,9.9
30,"Jones, Chris",DAL,ATL,P,3.4,142.0,10.0,1.1,9.8
31,"Townsend, Tommy",KCC,@LAC,P,2.7,123.0,9.0,1.1,9.0
32,"Hofrichter, Sterling",ATL,@DAL,P,3.0,131.0,10.0,1.1,9.0

