Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Berry, Jordan",PIT,@JAC,P,4.7,217.0,22.0,1.8,15.4
2,"Way, Tress",WAS,CIN,P,4.5,216.0,17.0,1.7,15.1
3,"Mann, Braden",NYJ,@LAC,P,5.1,231.0,27.0,1.2,14.9
4,"Cooke, Logan",JAC,PIT,P,4.4,206.0,8.0,1.8,14.8
5,"Dickson, Michael",SEA,ARI,P,4.2,200.0,15.0,2.0,14.7
6,"Johnston, Cam",PHI,@CLE,P,4.3,206.0,17.0,1.6,14.3
7,"Hekker, Johnny",LAR,@TBB,P,4.1,190.0,15.0,2.0,14.2
8,"Huber, Kevin",CIN,@WAS,P,4.5,205.0,12.0,1.4,13.9
9,"Fox, Jack",DET,@CAR,P,3.9,197.0,6.0,1.6,13.8
10,"Haack, Matt",MIA,@DEN,P,4.3,193.0,12.0,1.7,13.8
11,"Bailey, Jake",NEP,@HOU,P,3.7,168.0,5.0,1.9,12.9
12,"Martin, Sam",DEN,MIA,P,4.1,191.0,17.0,1.4,12.7
13,"Lee, Andy",ARI,@SEA,P,3.9,179.0,14.0,1.3,12.2
14,"Morstead, Thomas",NOS,ATL,P,3.6,155.0,6.0,1.5,11.5
15,"Cole, A.J.",LVR,KCC,P,3.3,149.0,12.0,1.6,11.2
16,"Koch, Sam",BAL,TEN,P,3.3,152.0,11.0,1.5,11.1
17,"Sanchez, Rigoberto",IND,GBP,P,3.3,153.0,8.0,1.5,11.0
18,"Gillan, Jamie",CLE,PHI,P,3.4,155.0,15.0,1.2,10.7
19,"Colquitt, Britton",MIN,DAL,P,3.7,168.0,18.0,1.1,10.5
20,"Pinion, Bradley",TBB,LAR,P,3.4,147.0,11.0,1.0,10.1
21,"Anger, Bryan",HOU,NEP,P,2.9,139.0,6.0,1.2,10.0
22,"Long, Ty",LAC,NYJ,P,3.5,159.0,24.0,1.0,9.8
23,"Townsend, Tommy",KCC,@LVR,P,2.9,134.0,7.0,1.1,9.5
24,"Hofrichter, Sterling",ATL,@NOS,P,3.3,134.0,6.0,1.1,9.4
25,"Scott, J.K.",GBP,@IND,P,3.2,141.0,17.0,1.0,9.3
26,"Charlton, Joseph",CAR,DET,P,2.7,124.0,9.0,1.0,8.8
27,"Niswander, Hunter",DAL,@MIN,P,2.6,109.0,5.0,0.7,7.2

