Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
133,"Jefferson, Van",LAR,DAL,WR,1.0,0.1,0.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.1,1.0
134,"Hogan, Chris",NYJ,@BUF,WR,1.2,0.1,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.1,1.0
135,"Harris, Deonte",NOS,TBB,WR,0.4,0.0,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,40.0,0.0,0.1,0.9
136,"Brown, Noah",DAL,@LAR,WR,0.8,0.2,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8
137,"Roberts, Andre",BUF,NYJ,WR,0.7,0.1,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,38.0,0.0,0.1,0.8
138,"Higgins, Tee",CIN,LAC,WR,1.5,0.2,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0,0.1,0.1,0.7
139,"Hill, KJ",LAC,@CIN,WR,1.0,0.1,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.1,0.6
140,"Pringle, Byron",KCC,HOU,WR,0.4,0.1,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,3.0,0.0,0.1,0.6
141,"Zylstra, Brandon",CAR,LVR,WR,0.4,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.4
142,"Swain, Freddie",SEA,@ATL,WR,1.0,0.1,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
143,"Spencer, Diontae",DEN,TEN,WR,0.5,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,31.0,0.1,0.0,0.3
144,"Powell, Brandon",ATL,SEA,WR,0.3,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,6.0,0.0,0.0,0.2
145,"Hollister, Cody",TEN,@DEN,WR,0.4,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.2
146,"McCloud, Ray-Ray",PIT,@NYG,WR,0.5,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.1,0.2
147,"Slater, Matt",NEP,MIA,WR,0.4,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
148,"Davis, Gabriel",BUF,NYJ,WR,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,0.0,0.1,0.1
149,"Taylor, Malik",GBP,@MIN,WR,0.7,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,6.0,0.0,0.1,0.1
150,"Dulin, Ashton",IND,@JAC,WR,0.3,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,1.0,8.0,0.0,0.0,0.1
151,"Wright, Isaiah",WAS,PHI,WR,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,12.0,0.0,0.1,0.0
152,"Webster, Nsimba",LAR,DAL,WR,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
153,"Board, C.J.",NYG,PIT,WR,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0

