Rank,Player,Team,Opp,Position,Att,Comp,Pass Yds,Pass TDs,0-9 PassTDs,10-19 PassTDs,20-29 PassTDs,30-39 PassTDs,40-49 PassTDs,50+ PassTDs,Int,Sacked,Rush,Rush Yds,Rush TDs,Fum Lost,Scoring Opps,Pts
1,"Mahomes, Patrick",KCC,@BUF,QB,34.7,22.3,278.0,2.2,1.2,0.3,0.3,0.0,0.2,0.2,0.4,1.7,4.8,24.0,0.3,0.1,4.1,26.6
2,"Watson, Deshaun",HOU,@TEN,QB,35.3,23.8,276.0,1.6,0.3,0.6,0.3,0.1,0.1,0.1,0.7,3.3,5.3,27.0,0.5,0.1,4.0,25.0
3,"Jackson, Lamar",BAL,@PHI,QB,25.8,16.0,184.0,1.7,0.9,0.3,0.3,0.1,0.0,0.1,0.5,2.3,12.4,74.0,0.3,0.3,3.2,24.2
4,"Allen, Josh",BUF,KCC,QB,29.6,18.2,217.0,1.5,0.7,0.3,0.3,0.1,0.1,0.1,0.7,2.3,7.2,38.0,0.5,0.4,3.2,22.4
5,"Murray, Kyler",ARI,@DAL,QB,32.0,21.2,222.0,1.3,0.7,0.2,0.2,0.1,0.0,0.1,1.0,2.4,6.8,41.0,0.5,0.2,3.3,21.9
6,"Rodgers, Aaron",GBP,@TBB,QB,35.0,23.6,272.0,1.8,0.7,0.4,0.3,0.1,0.2,0.1,0.3,2.3,2.8,13.0,0.1,0.2,3.1,21.8
7,"Roethlisberger, Ben",PIT,CLE,QB,37.0,24.9,262.0,2.0,0.6,0.5,0.3,0.3,0.1,0.2,0.7,1.4,2.3,3.0,0.1,0.0,3.5,21.3
8,"Tannehill, Ryan",TEN,HOU,QB,27.5,18.5,220.0,1.9,1.0,0.5,0.1,0.0,0.1,0.1,0.4,2.1,3.6,16.0,0.2,0.1,2.8,21.0
9,"Fitzpatrick, Ryan",MIA,NYJ,QB,33.3,22.0,250.0,1.3,0.5,0.4,0.2,0.1,0.0,0.0,0.9,2.3,4.1,21.0,0.3,0.1,3.2,21.0
10,"Goff, Jared",LAR,@SFO,QB,35.7,23.2,279.0,1.5,0.6,0.4,0.2,0.1,0.0,0.2,0.9,1.4,2.8,5.0,0.2,0.2,3.0,20.7
11,"Newton, Cam",NEP,DEN,QB,32.3,20.1,224.0,1.0,0.4,0.4,0.2,0.1,0.0,0.0,0.7,1.6,6.2,23.0,0.6,0.1,2.7,20.5
12,"Cousins, Kirk",MIN,ATL,QB,33.8,22.8,260.0,1.8,0.9,0.3,0.1,0.2,0.1,0.2,0.7,2.1,1.8,6.0,0.0,0.2,3.2,20.1
13,"Dalton, Andy",DAL,ARI,QB,34.7,22.4,252.0,1.5,0.4,0.3,0.3,0.1,0.4,0.1,1.1,2.4,2.9,13.0,0.3,0.4,3.7,19.7
14,"Ryan, Matt",ATL,@MIN,QB,38.1,24.8,276.0,1.5,0.8,0.4,0.1,0.1,0.1,0.1,0.8,2.9,2.2,8.0,0.0,0.2,2.7,19.7
15,"Stafford, Matthew",DET,@JAC,QB,34.5,21.5,250.0,1.7,0.8,0.4,0.2,0.1,0.1,0.1,0.7,2.8,2.3,9.0,0.0,0.2,3.7,19.3
16,"Brady, Tom",TBB,GBP,QB,31.0,20.9,258.0,1.6,0.9,0.3,0.3,0.1,0.0,0.0,0.9,1.8,2.6,4.0,0.1,0.2,3.0,19.1
17,"Jones, Daniel",NYG,WAS,QB,40.0,24.0,262.0,1.3,0.5,0.2,0.3,0.1,0.1,0.2,0.8,2.5,2.8,17.0,0.1,0.5,3.5,19.0
18,"Minshew II, Gardner",JAC,DET,QB,36.4,23.6,253.0,1.1,0.5,0.4,0.1,0.1,0.0,0.0,0.5,2.7,3.9,20.0,0.0,0.4,1.7,18.0
19,"Wentz, Carson",PHI,BAL,QB,32.5,20.5,213.0,1.3,0.7,0.2,0.2,0.1,0.1,0.0,1.1,3.0,4.3,18.0,0.2,0.3,2.7,17.7
20,"Bridgewater, Teddy",CAR,CHI,QB,29.0,19.6,242.0,1.1,0.5,0.3,0.1,0.0,0.0,0.2,0.7,1.9,2.9,12.0,0.1,0.2,2.1,17.3
21,"Rivers, Philip",IND,CIN,QB,33.8,22.6,255.0,1.0,0.6,0.3,0.0,0.1,0.1,0.0,1.0,1.4,1.6,2.0,0.1,0.1,2.8,16.4
22,"Foles, Nick",CHI,@CAR,QB,32.0,21.6,212.0,1.4,0.4,0.5,0.3,0.2,0.0,0.0,0.9,2.2,2.7,7.0,0.0,0.1,2.6,15.9
23,"Burrow, Joe",CIN,@IND,QB,33.6,21.1,213.0,1.0,0.7,0.1,0.1,0.0,0.0,0.0,0.8,3.9,4.2,16.0,0.2,0.4,2.1,15.8
