Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Baker, Budda",ARI,PHI,DB,7.1,2.1,0.2,0.5,0.2,0.1,0.1,0.0,0.0,0.0,9.2
2,"Maye, Marcus",NYJ,@LAR,DB,5.9,2.5,0.2,0.7,0.2,0.1,0.1,0.0,0.0,0.0,8.7
3,"Poyer, Jordan",BUF,@DEN,DB,6.2,2.3,0.2,0.5,0.2,0.1,0.1,0.0,0.0,0.0,8.6
4,"Wilson, Donovan",DAL,SFO,DB,5.3,2.3,0.4,0.3,0.0,0.4,0.3,0.0,0.0,0.0,7.9
5,"Simmons, Justin",DEN,BUF,DB,5.2,1.4,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,7.6
6,"Curl, Kamren",WAS,SEA,DB,4.8,2.2,0.3,0.6,0.3,0.0,0.0,0.0,0.0,0.0,7.5
7,"Bates, Jessie",CIN,PIT,DB,4.7,2.2,0.0,1.1,0.3,0.0,0.0,0.0,0.0,0.0,7.5
8,"Edmunds, Terrell",PIT,@CIN,DB,5.0,1.7,0.1,0.9,0.2,0.1,0.0,0.0,0.0,0.0,7.3
9,"Adams, Jamal",SEA,@WAS,DB,4.7,1.5,0.6,0.5,0.1,0.1,0.0,0.0,0.0,0.0,7.1
10,"Chinn, Jeremy",CAR,@GBP,DB,4.8,2.5,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.0,6.9
11,"Thomas, Daniel",JAC,@BAL,DB,5.3,1.6,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,6.8
12,"Collins, Landon",WAS,SEA,DB,4.6,2.6,0.2,0.4,0.1,0.1,0.1,0.0,0.0,0.0,6.8
13,"Abram, Johnathan",LVR,LAC,DB,5.1,1.2,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,6.7
14,"Rowe, Eric",MIA,NEP,DB,4.7,1.7,0.0,0.8,0.1,0.1,0.1,0.0,0.0,0.0,6.7
15,"Neal, Keanu",ATL,TBB,DB,5.2,1.6,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,6.6
16,"Bell, Vonn",CIN,PIT,DB,4.5,2.9,0.0,0.6,0.0,0.0,0.0,0.0,0.0,2.0,6.6
17,"Byard, Kevin",TEN,DET,DB,4.6,1.9,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,6.5
18,"McDougald, Bradley",NYJ,@LAR,DB,4.8,1.8,0.1,0.5,0.1,0.1,0.1,0.0,0.0,0.0,6.5
19,"Davis, Ashtyn",NYJ,@LAR,DB,4.6,1.4,0.1,0.7,0.1,0.0,0.0,0.0,0.0,0.0,6.4
20,"Jenkins, Rayshawn",LAC,@LVR,DB,4.5,1.9,0.1,0.5,0.2,0.0,0.0,0.0,0.0,0.0,6.4
21,"Winfield Jr., Antoine",TBB,@ATL,DB,4.0,2.0,0.1,0.7,0.2,0.1,0.0,0.0,0.0,0.0,6.3
22,"Jenkins, Malcolm",NOS,KCC,DB,4.0,1.5,0.2,0.9,0.2,0.1,0.0,0.0,0.0,0.0,6.3
23,"Willis, Khari",IND,HOU,DB,4.9,1.4,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,6.2
24,"Fitzpatrick, Minkah",PIT,@CIN,DB,3.6,1.7,0.1,0.7,0.4,0.1,0.1,0.0,0.0,0.0,6.2
25,"Evans, Justin",TBB,@ATL,DB,3.8,2.0,0.1,0.8,0.3,0.0,0.0,0.0,0.0,0.0,6.2
26,"Harris, Anthony",MIN,CHI,DB,4.0,2.4,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,6.2
27,"Johnson, John",LAR,NYJ,DB,4.1,2.4,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,6.1
28,"Smith, Harrison",MIN,CHI,DB,4.1,1.7,0.0,0.6,0.2,0.1,0.0,0.0,0.0,0.0,6.1
29,"Delpit, Grant",CLE,@NYG,DB,4.2,1.0,0.0,0.8,0.1,0.1,0.0,0.0,0.0,1.0,5.9
30,"Reid, Justin",HOU,@IND,DB,4.5,1.7,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,5.9
31,"Jackson, Eddie",CHI,@MIN,DB,4.5,1.0,0.0,0.3,0.1,0.3,0.1,0.0,0.0,0.0,5.9
32,"Ward, Jimmie",SFO,@DAL,DB,4.0,1.5,0.1,0.7,0.1,0.1,0.0,0.0,0.0,0.0,5.9
33,"McKinney, Xavier",NYG,CLE,DB,3.9,1.2,0.0,0.7,0.2,0.1,0.0,0.0,0.0,0.0,5.8
34,"Sorensen, Daniel",KCC,@NOS,DB,4.3,1.5,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,5.8
35,"McLeod, Rodney",PHI,@ARI,DB,4.1,1.5,0.1,0.6,0.1,0.1,0.1,0.0,0.0,0.0,5.8
36,"Fuller, Jordan",LAR,NYJ,DB,3.5,1.6,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,5.7
37,"Mills, Jalen",PHI,@ARI,DB,4.2,1.1,0.1,0.4,0.1,0.1,0.0,0.0,0.0,0.0,5.7
38,"Walker, Tracy",DET,@TEN,DB,4.1,1.6,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5
39,"Jackson, Kareem",DEN,BUF,DB,4.1,1.7,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,5.5
40,"Clark, Chuck",BAL,JAC,DB,3.7,1.9,0.2,0.3,0.0,0.2,0.2,0.0,0.0,0.0,5.4
41,"Peppers, Jabrill",NYG,CLE,DB,3.8,1.3,0.1,0.5,0.1,0.1,0.1,0.0,9.0,1.0,5.4
42,"Hyde, Micah",BUF,@DEN,DB,4.1,1.6,0.0,0.3,0.1,0.1,0.1,0.0,1.0,1.0,5.4
43,"Mathieu, Tyrann",KCC,@NOS,DB,3.9,1.0,0.1,0.6,0.2,0.0,0.0,0.0,0.0,0.0,5.4
44,"Whitehead, Jordan",TBB,@ATL,DB,3.6,2.0,0.2,0.3,0.1,0.1,0.0,0.0,0.0,0.0,5.3
45,"Boston, Tre",CAR,@GBP,DB,3.7,1.8,0.0,0.4,0.1,0.1,0.1,0.0,0.0,0.0,5.3
46,"Gardner-Johnson, Chauncey",NOS,KCC,DB,3.9,1.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.2
47,"Elliott, DeShon",BAL,JAC,DB,3.2,1.7,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,5.0
48,"Amos, Adrian",GBP,CAR,DB,3.7,1.2,0.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,5.0
49,"Phillips, Adrian",NEP,@MIA,DB,3.5,1.9,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,5.0
50,"Vaccaro, Kenny",TEN,DET,DB,3.5,1.7,0.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,5.0
51,"Thompson, Jalen",ARI,PHI,DB,3.9,0.8,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,4.8
52,"Thornhill, Juan",KCC,@NOS,DB,3.2,1.3,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,4.8
53,"Colbert, Adrian",NYG,CLE,DB,3.3,1.1,0.0,0.6,0.1,0.1,0.0,0.0,0.0,0.0,4.8
54,"Williams, Marcus",NOS,KCC,DB,3.1,1.5,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,4.8
55,"Thomas, Michael",HOU,@IND,DB,3.4,1.3,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,4.8
56,"Savage, Darnell",GBP,CAR,DB,3.4,1.3,0.0,0.5,0.1,0.1,0.1,0.0,0.0,0.0,4.7
57,"Rapp, Taylor",LAR,NYJ,DB,3.3,1.3,0.0,0.5,0.1,0.1,0.0,0.0,0.0,0.0,4.7
58,"Adderley, Nasir",LAC,@LVR,DB,3.6,1.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,1.0,4.6
59,"Wilson, Jarrod",JAC,@BAL,DB,3.2,1.5,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,4.6
60,"Everett, Deshazor",WAS,SEA,DB,3.5,1.4,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,4.6
61,"Woods, Xavier",DAL,SFO,DB,3.3,1.7,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,4.5
62,"Hooker, Malik",IND,HOU,DB,3.1,1.4,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,4.5
63,"Harris, Erik",LVR,LAC,DB,3.2,1.0,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,4.4
64,"Murray, Eric",HOU,@IND,DB,3.3,1.5,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,4.3
65,"Diggs, Quandre",SEA,@WAS,DB,2.8,1.3,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,4.3
66,"Cyprien, Johnathan",SFO,@DAL,DB,2.8,1.1,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,4.3
67,"Blackmon, Julian",IND,HOU,DB,3.0,0.6,0.0,0.5,0.1,0.1,0.0,0.0,0.0,0.0,4.2
68,"Harrison, Ronnie",CLE,@NYG,DB,2.4,1.4,0.1,0.7,0.1,0.0,0.0,0.0,0.0,0.0,4.2
69,"McCain, Bobby",MIA,NEP,DB,3.0,1.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,4.2
70,"Harris, Marcell",SFO,@DAL,DB,2.5,1.3,0.0,0.6,0.0,0.2,0.2,0.0,0.0,0.0,4.1
71,"Gipson, Tashaun",CHI,@MIN,DB,2.8,1.1,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,4.1
72,"Sendejo, Andrew",CLE,@NYG,DB,3.2,1.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,4.1
73,"Kazee, Damontae",ATL,TBB,DB,2.7,1.3,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,3.9
74,"McCourty, Devin",NEP,@MIA,DB,2.6,1.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,3.9
