Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
61,"Renfrow, Hunter",LVR,WR,75.3,12.8,50.0,630.0,4.2,2.2,0.2,0.2,0.2,0.0,1.4,2.5,1.3,0.4,0.2,-0.3,0.0,29.0,0.0,0.2,11.3,138.2
62,"Jeffery, Alshon",PHI,WR,81.3,11.0,51.2,601.0,4.1,2.6,1.4,0.1,0.0,0.0,0.0,7.0,1.2,0.4,0.2,2.0,0.4,0.0,0.0,0.1,8.0,137.9
63,"Williams, Mike",LAC,WR,80.6,15.5,41.5,766.0,2.9,2.1,0.0,0.0,0.0,0.7,0.0,4.1,1.5,0.5,0.2,-1.2,0.1,0.0,0.0,0.0,9.9,136.5
64,"Williams, Preston",MIA,WR,93.1,14.8,54.6,626.0,2.8,1.5,0.9,0.3,0.0,0.0,0.0,2.5,1.3,0.4,0.2,21.0,0.5,60.0,101.0,1.5,9.8,136.1
65,"Fitzgerald, Larry",ARI,WR,96.4,10.7,59.4,614.0,2.4,1.7,0.0,0.7,0.0,0.0,0.0,2.5,1.2,0.4,0.2,1.0,0.0,0.0,0.0,0.7,7.4,134.3
66,"Cobb, Randall",HOU,WR,76.6,6.9,47.4,669.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,2.7,1.3,0.4,0.2,7.0,0.4,28.0,14.0,0.5,7.7,122.3
67,"Stills, Kenny",HOU,WR,68.7,2.1,43.7,612.0,3.0,0.0,0.3,0.0,1.9,0.0,0.7,2.4,1.2,0.4,0.2,0.0,0.0,3.0,6.0,0.3,5.2,122.1
68,"Dorsett, Phillip",SEA,WR,68.4,12.4,36.5,530.0,4.9,0.0,2.1,1.7,0.0,0.7,0.5,2.1,1.1,0.4,0.1,12.0,0.0,8.0,42.0,0.6,9.6,119.1
69,"Williams, Tyrell",LVR,WR,61.5,6.4,38.6,556.0,3.3,0.8,1.0,0.0,0.0,1.5,0.0,2.2,1.1,0.4,0.1,1.0,0.0,3.0,10.0,0.2,6.4,113.5
70,"Davis, Corey",TEN,WR,66.2,6.4,39.1,557.0,3.1,1.7,0.4,0.5,0.0,0.0,0.4,2.2,1.1,0.4,0.1,0.0,0.0,2.0,10.0,0.0,4.6,113.2
71,"Jackson, DeSean",PHI,WR,76.4,5.8,42.9,593.0,1.2,0.4,0.0,0.0,0.0,0.0,0.8,2.4,1.2,0.4,0.1,11.0,0.0,2.0,0.0,0.0,5.8,112.1
72,"Campbell, Parris",IND,WR,67.2,8.0,38.0,477.0,3.3,1.2,1.6,0.0,0.3,0.3,0.0,1.9,1.0,0.3,0.1,28.0,0.0,14.0,150.0,0.0,7.1,108.6
73,"Aiyuk, Brandon",SFO,WR,65.2,8.9,38.9,438.0,3.8,2.1,0.5,0.5,0.3,0.0,0.3,1.8,0.9,0.3,0.1,0.0,0.0,15.0,9.0,0.4,7.3,106.5
74,"Humphries, Adam",TEN,WR,64.0,7.0,45.8,463.0,2.2,0.3,0.9,1.1,0.0,0.0,0.0,1.9,0.9,0.3,0.1,8.0,0.0,70.0,53.0,0.0,5.0,106.4
