Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Way, Tress",WAS,LAR,P,5.1,243.0,19.0,2.3,17.7
2,"Dickson, Michael",SEA,MIN,P,4.5,216.0,15.0,2.1,15.7
3,"Kern, Brett",TEN,BUF,P,4.4,207.0,13.0,2.1,15.4
4,"O'Donnell, Pat",CHI,TBB,P,4.8,215.0,17.0,1.8,15.1
5,"Johnston, Cam",PHI,@PIT,P,4.3,205.0,13.0,1.9,15.0
6,"Huber, Kevin",CIN,@BAL,P,4.5,207.0,11.0,1.8,14.8
7,"Lee, Andy",ARI,@NYJ,P,4.5,213.0,19.0,1.6,14.6
8,"Mann, Braden",NYJ,ARI,P,4.8,219.0,28.0,1.0,13.8
9,"Cooke, Logan",JAC,@HOU,P,4.3,199.0,9.0,1.5,13.7
10,"Haack, Matt",MIA,@SFO,P,4.2,192.0,15.0,1.6,13.4
11,"Dixon, Riley",NYG,@DAL,P,4.1,186.0,8.0,1.7,13.3
12,"Anger, Bryan",HOU,JAC,P,3.9,179.0,8.0,1.6,12.9
13,"Bojorquez, Corey",BUF,@TEN,P,4.1,178.0,9.0,1.7,12.8
14,"Pinion, Bradley",TBB,@CHI,P,3.8,171.0,13.0,1.4,12.1
15,"Colquitt, Dustin",FA,Bye,P,3.8,169.0,14.0,1.4,12.0
16,"Sanchez, Rigoberto",IND,@CLE,P,3.5,158.0,7.0,1.6,11.9
17,"Colquitt, Britton",MIN,@SEA,P,3.9,173.0,13.0,1.2,11.8
18,"Gillan, Jamie",CLE,IND,P,3.7,167.0,14.0,1.4,11.7
19,"Morstead, Thomas",NOS,LAC,P,3.5,155.0,6.0,1.6,11.7
20,"Hekker, Johnny",LAR,@WAS,P,3.5,170.0,11.0,1.3,11.6
21,"Cole, A.J.",LVR,@KCC,P,3.5,157.0,18.0,1.3,11.3
22,"Wishnowsky, Mitch",SFO,MIA,P,3.2,143.0,6.0,1.5,10.5
23,"Long, Ty",LAC,@NOS,P,3.3,153.0,17.0,1.1,10.4
24,"Charlton, Joseph",CAR,@ATL,P,3.2,149.0,19.0,1.0,10.0
25,"Hofrichter, Sterling",ATL,CAR,P,3.5,146.0,8.0,1.0,9.9
26,"Townsend, Tommy",KCC,LVR,P,2.9,141.0,10.0,1.0,9.7
27,"Koch, Sam",BAL,CIN,P,2.8,128.0,12.0,1.4,9.6
28,"Jones, Chris",DAL,NYG,P,3.2,135.0,9.0,1.0,9.3

