Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
104,"Moreau, Fabian",WAS,SEA,DB,1.9,0.7,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,3.0
105,"Jones, Byron",MIA,NEP,DB,2.3,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0
106,"Williams, K'Waun",SFO,@DAL,DB,2.2,0.6,0.2,0.2,0.0,0.1,0.1,0.0,0.0,0.0,3.0
107,"McCourty, Jason",NEP,@MIA,DB,2.2,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0
108,"Moreland, Jimmy",WAS,SEA,DB,2.2,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.9
109,"Williams, Darious",LAR,NYJ,DB,1.7,0.2,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,2.9
110,"LeBlanc, Cre'von",PHI,@ARI,DB,2.2,0.5,0.1,0.3,0.0,0.1,0.1,0.0,0.0,0.0,2.9
111,"Amadi, Ugo",SEA,@WAS,DB,2.3,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.7
112,"Maulet, Art",NYJ,@LAR,DB,2.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.7
113,"Coleman, Justin",DET,@TEN,DB,2.1,0.5,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,2.7
114,"Harris, Chris",LAC,@LVR,DB,1.8,0.9,0.0,0.4,0.0,0.0,0.0,0.0,1.0,2.0,2.7
115,"Joseph, Johnathan",ARI,PHI,DB,1.9,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.7
116,"Borders, Breon",TEN,DET,DB,1.8,0.5,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,2.6
117,"Johnson, Kevin",CLE,@NYG,DB,1.8,1.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,2.6
118,"Smith, Jimmy",BAL,JAC,DB,2.1,0.4,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.6
119,"Jackson, Dane",BUF,@DEN,DB,1.2,0.1,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,2.5
120,"Pride, Troy",CAR,@GBP,DB,1.9,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.5
121,"Sutton, Cameron",PIT,@CIN,DB,1.6,0.3,0.1,0.2,0.1,0.3,0.0,0.0,0.0,0.0,2.5
122,"Wiltz, Jomal",MIA,NEP,DB,1.8,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.4
123,"Elder, Corn",CAR,@GBP,DB,1.7,0.7,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,2.3
124,"Robey, Nickell",PHI,@ARI,DB,1.9,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.3
125,"Fenton, Rashad",KCC,@NOS,DB,1.6,0.3,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.0,2.2
126,"Young, Tavon",BAL,JAC,DB,1.8,0.4,0.1,0.2,0.0,0.0,0.0,0.0,1.0,0.0,2.2
127,"Jackson, Josh",GBP,CAR,DB,1.7,0.4,0.1,0.2,0.0,0.0,0.0,0.0,1.0,0.0,2.1
128,"Williams, P.J.",NOS,KCC,DB,1.9,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.1
129,"Sneed, L'Jarius",KCC,@NOS,DB,1.0,0.4,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,2.0
130,"Robinson, Patrick",NOS,KCC,DB,1.3,0.3,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,2.0
131,"Igbinoghene, Noah",MIA,NEP,DB,1.6,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.9
132,"Arnette, Damon",LVR,LAC,DB,1.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.9
133,"Facyson, Brandon",LAC,@LVR,DB,1.5,0.4,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,1.9
134,"Carrie, Travis",IND,HOU,DB,0.7,0.4,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,1.7
