Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Humphrey, Marlon",BAL,CIN,DB,4.1,1.0,0.1,1.1,0.2,0.3,0.1,0.0,0.0,0.0,6.5
2,"Bradberry, James",NYG,@DAL,DB,3.9,0.9,0.0,1.5,0.2,0.2,0.1,0.0,0.0,0.0,6.5
3,"Ryan, Logan",NYG,@DAL,DB,4.3,1.7,0.1,0.8,0.1,0.2,0.0,0.0,1.0,0.0,6.4
4,"Hilton, Mike",PIT,PHI,DB,4.4,0.9,0.3,0.8,0.1,0.0,0.0,0.0,0.0,0.0,6.3
5,"Oliver, Isaiah",ATL,CAR,DB,3.7,1.4,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,5.5
6,"Butler, Malcolm",TEN,BUF,DB,3.9,1.1,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,5.5
7,"Poole, Brian",NYJ,ARI,DB,4.1,0.4,0.1,0.5,0.2,0.0,0.0,0.0,0.0,0.0,5.4
8,"Davis, Carlton",TBB,@CHI,DB,3.2,0.8,0.1,1.0,0.2,0.1,0.0,0.0,0.0,0.0,5.1
9,"Diggs, Trevon",DAL,NYG,DB,3.7,1.2,0.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,5.0
10,"Davis, Michael",LAC,@NOS,DB,3.3,1.1,0.0,0.7,0.2,0.0,0.0,0.0,0.0,1.0,4.9
11,"Bunting, Sean",TBB,@CHI,DB,3.1,0.7,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,4.8
12,"Hayward, Casey",LAC,@NOS,DB,3.2,1.1,0.1,0.7,0.1,0.0,0.0,0.0,1.0,3.0,4.8
13,"Moore, Kenny",IND,@CLE,DB,3.6,1.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,4.7
14,"Lewis, Jourdan",DAL,NYG,DB,2.9,1.5,0.1,0.6,0.2,0.0,0.0,0.0,0.0,0.0,4.7
15,"Ward, Denzel",CLE,IND,DB,3.0,0.7,0.0,0.9,0.2,0.0,0.0,0.0,0.0,0.0,4.6
16,"Roby, Bradley",HOU,JAC,DB,3.4,0.4,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,4.6
17,"Fuller, Kyle",CHI,TBB,DB,3.3,0.4,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,4.5
18,"Howard, Xavien",MIA,@SFO,DB,2.4,0.8,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,4.4
19,"Gladney, Jeff",MIN,@SEA,DB,3.6,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.3
20,"Flowers, Tre",SEA,MIN,DB,2.8,1.1,0.1,0.4,0.2,0.0,0.0,0.0,0.0,0.0,4.3
21,"Nelson, Steven",PIT,PHI,DB,3.3,0.7,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,4.3
22,"Johnson, Taron",BUF,@TEN,DB,3.2,1.0,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.0,4.2
23,"Hill, Holton",MIN,@SEA,DB,3.1,0.8,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,4.1
24,"Slay, Darius",PHI,@PIT,DB,3.0,0.7,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,4.1
25,"Haden, Joe",PIT,PHI,DB,2.7,0.3,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,4.1
