Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Koo, Younghoe",ATL,@MIN,K,2.1,2.4,2.6,2.9,0.0,0.6,0.8,1.0,0.3,0.2,10.7
2,"Tucker, Justin",BAL,@PHI,K,3.1,3.2,2.0,2.1,0.0,0.6,0.6,0.7,0.1,0.1,9.6
3,"Butker, Harrison",KCC,@BUF,K,3.1,3.5,2.0,2.2,0.1,0.6,0.7,0.4,0.2,0.2,9.5
4,"Blankenship, Rodrigo",IND,CIN,K,2.3,2.4,2.3,2.6,0.0,0.6,1.0,0.5,0.1,0.3,8.8
5,"Sanders, Jason",MIA,NYJ,K,2.0,2.1,2.0,2.2,0.0,0.7,0.4,0.7,0.2,0.2,8.5
6,"Crosby, Mason",GBP,@TBB,K,3.0,3.1,1.5,1.6,0.0,0.1,0.6,0.6,0.1,0.1,8.1
7,"Slye, Joey",CAR,CHI,K,1.9,2.2,2.0,2.2,0.0,0.7,0.6,0.4,0.3,0.3,8.0
8,"Bullock, Randy",CIN,@IND,K,1.7,1.8,1.9,2.1,0.0,0.5,0.6,0.7,0.1,0.2,7.9
9,"Gano, Graham",NYG,WAS,K,1.2,1.3,1.9,2.0,0.0,0.5,0.6,0.3,0.5,0.2,7.6
10,"Parkey, Cody",CLE,@PIT,K,2.8,3.0,1.5,1.7,0.0,0.2,0.6,0.6,0.1,0.2,7.5
11,"Gould, Robbie",SFO,LAR,K,2.5,2.5,1.7,1.9,0.0,0.5,0.6,0.3,0.2,0.2,7.5
12,"Boswell, Chris",PIT,CLE,K,2.5,2.7,1.5,1.6,0.0,0.5,0.4,0.5,0.0,0.1,7.4
13,"Gonzalez, Zane",ARI,@DAL,K,2.4,2.6,1.5,1.8,0.0,0.4,0.5,0.4,0.3,0.2,7.1
14,"Prater, Matt",DET,@JAC,K,2.3,2.3,1.6,1.9,0.0,0.5,0.6,0.3,0.2,0.3,7.1
15,"Fairbairn, Ka'imi",HOU,@TEN,K,2.2,2.4,1.5,1.8,0.0,0.4,0.5,0.5,0.2,0.3,6.9
16,"Gostkowski, Stephen",TEN,HOU,K,2.6,3.0,1.6,2.1,0.0,0.3,0.5,0.3,0.5,0.6,6.8
17,"Zuerlein, Greg",DAL,ARI,K,2.5,2.7,1.5,1.9,0.0,0.3,0.5,0.6,0.1,0.4,6.7
18,"McManus, Brandon",DEN,@NEP,K,1.9,1.9,1.5,1.8,0.0,0.3,0.3,0.5,0.3,0.3,6.6
19,"Sloman, Sam",FA,Bye,K,2.9,3.1,1.4,1.9,0.0,0.3,0.9,0.1,0.1,0.4,6.3
20,"Folk, Nick",NEP,DEN,K,2.2,2.4,1.6,1.9,0.0,0.6,0.5,0.3,0.1,0.4,6.2
21,"Succop, Ryan",TBB,GBP,K,2.7,2.9,1.4,1.8,0.0,0.3,0.6,0.4,0.1,0.4,6.1
22,"Ficken, Sam",NYJ,@MIA,K,1.3,1.5,1.6,1.9,0.0,0.3,0.6,0.4,0.2,0.3,6.0
23,"Bailey, Dan",MIN,ATL,K,2.1,2.2,1.4,1.6,0.0,0.4,0.6,0.3,0.1,0.3,6.0
24,"Hopkins, Dustin",WAS,@NYG,K,1.6,1.7,1.4,1.6,0.0,0.3,0.3,0.6,0.1,0.3,5.7
25,"Elliott, Jake",PHI,BAL,K,1.7,1.8,1.2,1.5,0.0,0.3,0.5,0.3,0.1,0.3,5.2
26,"Santos, Cairo",CHI,@CAR,K,1.9,1.9,1.3,1.7,0.0,0.3,0.7,0.3,0.0,0.4,5.1
27,"Hauschka, Steven",JAC,DET,K,1.5,1.7,1.4,1.9,0.0,0.4,0.5,0.4,0.2,0.5,4.9
28,"Bass, Tyler",BUF,KCC,K,2.4,2.6,1.0,1.4,0.1,0.2,0.4,0.3,0.0,0.4,4.8
29,"Fry, Elliott",ATL,@MIN,K,0.1,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.4

