Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Butker, Harrison",KCC,@LAC,K,4.0,4.3,1.8,1.9,0.1,0.6,0.5,0.5,0.2,0.1,9.8
2,"Lutz, Wil",NOS,@LVR,K,3.3,3.4,1.9,2.1,0.1,0.6,0.4,0.7,0.1,0.2,9.2
3,"Tucker, Justin",BAL,@HOU,K,3.1,3.2,1.9,2.0,0.0,0.6,0.5,0.7,0.1,0.1,9.2
4,"Gould, Robbie",SFO,@NYJ,K,2.4,2.5,1.9,2.2,0.0,0.7,0.6,0.5,0.2,0.3,8.3
5,"Slye, Joey",CAR,@TBB,K,1.9,2.2,1.8,2.0,0.0,0.3,0.4,0.7,0.4,0.2,8.1
6,"Bailey, Dan",MIN,@IND,K,2.4,2.6,1.8,2.0,0.0,0.5,0.8,0.3,0.1,0.2,7.8
7,"Prater, Matt",DET,@GBP,K,2.2,2.2,1.8,2.0,0.0,0.6,0.5,0.4,0.3,0.3,7.7
8,"Koo, Younghoe",ATL,@DAL,K,1.7,1.9,1.9,2.2,0.0,0.4,0.6,0.8,0.2,0.3,7.5
9,"Hopkins, Dustin",WAS,@ARI,K,1.7,1.8,1.8,2.1,0.0,0.4,0.5,0.7,0.2,0.3,7.4
10,"Crosby, Mason",GBP,DET,K,2.7,2.7,1.4,1.6,0.1,0.1,0.6,0.5,0.1,0.2,7.2
11,"Sloman, Sam",FA,Bye,K,2.7,2.8,1.8,2.4,0.0,0.3,1.0,0.2,0.2,0.6,6.8
12,"Myers, Jason",SEA,NEP,K,2.6,2.8,1.4,1.7,0.0,0.3,0.6,0.5,0.1,0.3,6.7
13,"Lambo, Josh",JAC,@TEN,K,1.2,1.2,1.6,1.6,0.0,0.5,0.4,0.4,0.3,0.1,6.6
14,"McManus, Brandon",DEN,@PIT,K,2.0,2.0,1.5,1.8,0.0,0.3,0.5,0.6,0.1,0.3,6.5
15,"Boswell, Chris",PIT,DEN,K,2.0,2.3,1.5,1.6,0.0,0.4,0.4,0.5,0.0,0.2,6.5
16,"Succop, Ryan",TBB,CAR,K,3.2,3.4,1.3,1.8,0.0,0.2,0.6,0.4,0.2,0.5,6.4
17,"Bass, Tyler",BUF,@MIA,K,2.2,2.3,1.7,2.2,0.2,0.5,0.4,0.5,0.1,0.5,6.3
18,"Carlson, Daniel",LVR,NOS,K,2.1,2.2,1.5,1.8,0.0,0.5,0.3,0.5,0.2,0.3,6.3
19,"Gonzalez, Zane",ARI,WAS,K,2.2,2.3,1.5,1.9,0.0,0.5,0.5,0.3,0.3,0.4,6.3
20,"Zuerlein, Greg",DAL,ATL,K,2.7,2.7,1.5,2.1,0.0,0.4,0.5,0.3,0.3,0.6,6.3
21,"Blankenship, Rodrigo",IND,MIN,K,2.5,2.7,1.4,1.9,0.1,0.5,0.5,0.1,0.2,0.4,6.2
22,"Folk, Nick",NEP,@SEA,K,2.2,2.4,1.6,2.0,0.1,0.6,0.5,0.3,0.1,0.4,6.2
23,"Parkey, Cody",CLE,CIN,K,2.2,2.6,1.3,1.5,0.0,0.2,0.4,0.5,0.1,0.2,6.0
24,"Badgley, Mike",LAC,KCC,K,1.9,2.0,1.5,1.9,0.0,0.6,0.2,0.6,0.1,0.4,5.7
25,"Ficken, Sam",NYJ,SFO,K,1.8,2.0,1.4,1.9,0.0,0.1,0.6,0.5,0.2,0.4,5.6
26,"Elliott, Jake",PHI,LAR,K,1.8,1.9,1.3,1.7,0.0,0.3,0.5,0.4,0.1,0.3,5.5
27,"Fairbairn, Ka'imi",HOU,BAL,K,2.1,2.3,1.2,1.6,0.0,0.3,0.4,0.3,0.1,0.4,5.3
28,"Bullock, Randy",CIN,@CLE,K,1.5,1.6,1.3,1.6,0.0,0.4,0.3,0.5,0.2,0.3,5.2
29,"Sanders, Jason",MIA,BUF,K,1.8,1.8,1.1,1.4,0.0,0.4,0.3,0.4,0.1,0.3,4.9
30,"Gano, Graham",NYG,@CHI,K,1.5,1.6,0.5,0.7,0.0,0.3,0.2,0.0,0.0,0.2,2.7
31,"Gostkowski, Stephen",TEN,JAC,K,2.6,3.0,0.6,1.4,0.0,0.3,0.2,0.1,0.1,0.8,2.2

