Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Reid, Andy",KCC,@NOS,HC,1.0,0.0,35.0,8.0,23.9
2,"Kingsbury, Kliff",ARI,PHI,HC,1.0,0.0,30.0,10.0,22.0
3,"Carroll, Pete",SEA,@WAS,HC,1.0,0.0,30.0,8.0,21.4
4,"Lynn, Anthony",LAC,@LVR,HC,1.0,0.0,28.0,9.0,20.7
5,"Gase, Adam",NYJ,@LAR,HC,1.0,0.0,28.0,6.0,19.8
6,"McVay, Sean",LAR,NYJ,HC,1.0,0.0,29.0,4.0,19.7
7,"Taylor, Zac",CIN,PIT,HC,1.0,0.0,28.0,4.0,19.2
8,"Marrone, Doug",JAC,@BAL,HC,1.0,0.0,28.0,1.0,18.3
9,"Tomlin, Mike",PIT,@CIN,HC,1.0,0.0,25.0,2.0,17.1
10,"Reich, Frank",IND,HOU,HC,0.0,1.0,25.0,-2.0,11.9
11,"Payton, Sean",NOS,KCC,HC,0.0,1.0,27.0,-7.0,11.4
12,"Pederson, Doug",PHI,@ARI,HC,0.0,1.0,23.0,-1.0,11.2
13,"Shanahan, Kyle",SFO,@DAL,HC,0.0,1.0,27.0,-8.0,11.1
14,"Flores, Brian",MIA,NEP,HC,0.0,1.0,24.0,-5.0,10.5
15,"Arians, Bruce",TBB,@ATL,HC,0.0,1.0,24.0,-6.0,10.2
16,"Zimmer, Mike",MIN,CHI,HC,0.0,1.0,22.0,-8.0,8.6
17,"Belichick, Bill",NEP,@MIA,HC,0.0,1.0,23.0,-10.0,8.5
18,"Gruden, Jon",LVR,LAC,HC,0.0,1.0,21.0,-10.0,7.5
19,"LaFleur, Matt",GBP,CAR,HC,0.0,1.0,20.0,-11.0,6.7
20,"Nagy, Matt",CHI,@MIN,HC,0.0,1.0,20.0,-12.0,6.4
21,"Harbaugh, John",BAL,JAC,HC,0.0,1.0,21.0,-14.0,6.3
22,"McDermott, Sean",BUF,@DEN,HC,0.0,1.0,16.0,-7.0,5.9
23,"Vrabel, Mike",TEN,DET,HC,0.0,1.0,17.0,-15.0,4.0
24,"Fangio, Vic",DEN,BUF,HC,0.0,1.0,16.0,-18.0,2.6

