Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Richardson, Sheldon",CLE,BAL,DL,2.9,1.8,0.3,0.3,0.0,0.1,0.0,0.0,4.8
2,"Donald, Aaron",LAR,NEP,DL,1.8,1.1,0.7,0.1,0.0,0.2,0.1,0.0,4.2
3,"Allen, Jonathan",WAS,@SFO,DL,2.7,1.4,0.2,0.0,0.0,0.0,0.0,0.0,4.0
4,"Jones, Chris",KCC,@MIA,DL,1.9,1.2,0.6,0.2,0.0,0.1,0.0,0.0,4.0
5,"Jarrett, Grady",ATL,@LAC,DL,2.1,2.1,0.4,0.0,0.0,0.0,0.0,0.0,4.0
6,"Ogunjobi, Larry",CLE,BAL,DL,2.4,1.6,0.2,0.0,0.0,0.1,0.0,0.0,3.7
7,"Cox, Fletcher",PHI,NOS,DL,2.1,0.9,0.5,0.1,0.0,0.2,0.0,0.0,3.7
8,"Simmons, Jeffery",TEN,@JAC,DL,1.8,1.3,0.3,0.4,0.0,0.1,0.1,0.0,3.6
9,"Ridgeway, Hassan",PHI,NOS,DL,2.1,0.9,0.4,0.0,0.0,0.0,0.0,0.0,3.4
10,"Clark, Kenny",GBP,@DET,DL,2.2,1.1,0.3,0.1,0.0,0.1,0.0,0.0,3.4
11,"Autry, Denico",IND,@LVR,DL,1.8,1.0,0.5,0.1,0.0,0.0,0.0,0.0,3.4
12,"Kinlaw, Javon",SFO,WAS,DL,1.4,1.4,0.3,0.4,0.1,0.0,0.0,0.0,3.3
13,"Wilkins, Christian",MIA,KCC,DL,1.7,1.6,0.1,0.3,0.1,0.0,0.0,0.0,3.3
14,"Tomlinson, Dalvin",NYG,ARI,DL,1.7,1.6,0.2,0.3,0.0,0.0,0.0,0.0,3.2
15,"Onyemata, David",NOS,@PHI,DL,1.6,0.9,0.3,0.2,0.1,0.0,0.0,0.0,3.1
16,"Oliver, Ed",BUF,PIT,DL,1.6,0.7,0.4,0.1,0.0,0.2,0.0,0.0,3.0
17,"Joseph, Sebastian",LAR,NEP,DL,2.2,1.1,0.1,0.0,0.0,0.1,0.0,0.0,3.0
18,"Payne, Da'Ron",WAS,@SFO,DL,1.4,1.4,0.3,0.1,0.0,0.2,0.0,0.0,3.0
19,"Reed, Jarran",SEA,NYJ,DL,1.4,1.3,0.3,0.2,0.0,0.1,0.0,0.0,3.0
