Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Kelce, Travis",KCC,@MIA,TE,8.8,1.1,6.4,83.0,0.5,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,17.8
2,"Reed, Jordan",SFO,WAS,TE,9.2,0.7,6.1,73.0,0.6,0.2,0.2,0.0,0.0,0.1,0.0,1.0,0.0,0.0,2.0,0.0,0.7,17.0
3,"Andrews, Mark",BAL,@CLE,TE,6.4,0.9,4.2,54.0,0.6,0.3,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,13.0
4,"Boyle, Nick",BAL,@CLE,TE,5.3,0.7,3.9,47.0,0.7,0.4,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,12.6
5,"Waller, Darren",LVR,IND,TE,7.3,1.0,5.4,54.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,12.5
6,"Schultz, Dalton",DAL,@CIN,TE,6.8,0.7,4.7,45.0,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,11.0
7,"Henry, Hunter",LAC,ATL,TE,6.4,0.9,4.2,44.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,10.4
8,"Tonyan, Robert",GBP,@DET,TE,3.8,0.4,3.2,39.0,0.5,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10.2
9,"Ertz, Zach",PHI,NOS,TE,6.5,0.8,4.1,43.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,10.1
10,"Gronkowski, Rob",TBB,MIN,TE,5.5,1.0,3.3,45.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.1
11,"Engram, Evan",NYG,ARI,TE,6.5,0.8,3.9,45.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,0.1,0.7,9.8
12,"Hockenson, T.J.",DET,GBP,TE,5.7,0.9,3.4,40.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,9.4
13,"Hurst, Hayden",ATL,@LAC,TE,5.6,0.7,3.8,42.0,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,9.4
14,"Smith, Jonnu",TEN,@JAC,TE,4.1,0.9,2.7,31.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.7,9.3
15,"Burton, Trey",IND,@LVR,TE,4.7,1.1,2.8,30.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.9,9.3
16,"Fant, Noah",DEN,@CAR,TE,5.6,0.7,3.7,43.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.4,9.0
17,"Hooper, Austin",CLE,BAL,TE,4.8,0.7,3.4,33.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,9.0
18,"Higbee, Tyler",LAR,NEP,TE,4.6,0.5,3.4,37.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,8.4
19,"Ebron, Eric",PIT,@BUF,TE,5.3,1.0,3.3,32.0,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,8.3
20,"Smith Jr., Irv",MIN,@TBB,TE,4.0,0.9,3.0,33.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,8.2
21,"Goedert, Dallas",PHI,NOS,TE,4.5,0.6,3.1,33.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,8.1
22,"Graham, Jimmy",CHI,HOU,TE,5.0,1.1,3.2,30.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,8.1
23,"Gesicki, Mike",MIA,KCC,TE,5.0,0.7,2.7,36.0,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.7
24,"Cook, Jared",NOS,@PHI,TE,3.7,0.7,2.3,32.0,0.4,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.6,7.7
25,"Akins, Jordan",HOU,@CHI,TE,3.9,0.4,2.8,35.0,0.2,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.5
26,"Dissly, Will",SEA,NYJ,TE,4.2,1.1,2.8,32.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,7.2
27,"Rudolph, Kyle",MIN,@TBB,TE,3.7,0.5,2.9,32.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.6
28,"Thomas, Logan",WAS,@SFO,TE,3.9,0.8,2.3,23.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.3
29,"Eifert, Tyler",JAC,TEN,TE,4.3,0.6,2.6,25.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.3
30,"Everett, Gerald",LAR,NEP,TE,3.8,0.4,2.6,26.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.4,6.0
31,"Fells, Darren",HOU,@CHI,TE,2.5,0.3,1.9,23.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.6
32,"Brate, Cameron",TBB,MIN,TE,2.9,0.3,2.1,21.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.5
33,"Firkser, Anthony",TEN,@JAC,TE,3.5,0.6,2.2,23.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,5.3
34,"Doyle, Jack",IND,@LVR,TE,3.1,0.7,1.7,16.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,5.3
35,"Sample, Drew",CIN,DAL,TE,3.6,0.5,2.5,26.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,5.2
36,"Dwelley, Ross",SFO,WAS,TE,2.9,0.4,1.9,23.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,5.2
37,"Rodgers, Richard",PHI,NOS,TE,2.1,0.2,1.5,23.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.8
38,"Hollister, Jacob",SEA,NYJ,TE,3.2,0.6,2.2,18.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.7
39,"Herndon, Chris",NYJ,@SEA,TE,3.0,0.3,1.8,19.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3,4.5
40,"Williams, Maxx",ARI,@NYG,TE,1.8,0.4,1.5,20.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.4
41,"O'Shaughnessy, James",JAC,TEN,TE,3.0,0.2,1.9,18.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.0
42,"Knox, Dawson",BUF,PIT,TE,2.3,0.4,1.4,17.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,3.9
43,"Bryant, Harrison",CLE,BAL,TE,2.1,0.4,1.3,14.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,3.6
44,"Witten, Jason",LVR,IND,TE,1.6,0.3,1.4,9.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.5
45,"Smythe, Durham",MIA,KCC,TE,1.7,0.4,1.2,11.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.4
46,"Arnold, Dan",ARI,@NYG,TE,1.8,0.5,1.0,13.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.3
47,"Alie-Cox, Mo",IND,@LVR,TE,1.9,0.3,1.4,17.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,3.3
48,"Griffin, Ryan",NYJ,@SEA,TE,1.9,0.2,1.4,12.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.2
49,"Parham, Donald",LAC,ATL,TE,0.6,0.5,0.3,7.0,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.1
50,"Thomas, Ian",CAR,DEN,TE,2.1,0.2,1.3,11.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.9
51,"O'Leary, Nick",LVR,IND,TE,1.3,0.3,1.1,7.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.9
