Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Cook, Dalvin",MIN,@DET,RB,23.2,113.0,1.2,0.9,0.1,0.1,0.1,0.0,0.1,4.6,0.1,3.9,34.0,0.1,0.1,0.1,0.0,0.0,0.2,2.5,25.7
2,"Henry, Derrick",TEN,@HOU,RB,26.0,132.0,1.2,0.8,0.3,0.1,0.0,0.0,0.1,2.2,0.1,1.4,11.0,0.1,0.0,0.0,0.0,0.0,0.1,2.5,23.3
3,"McCaffrey, Christian",CAR,NOS,RB,14.4,61.0,0.7,0.6,0.0,0.0,0.0,0.0,0.1,6.6,0.7,5.3,41.0,0.2,0.2,0.1,0.0,0.0,0.0,2.0,20.5
4,"Kamara, Alvin",NOS,@CAR,RB,11.4,52.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,7.1,0.9,5.6,47.0,0.2,0.2,0.1,1.0,6.0,0.0,1.7,20.2
5,"Robinson, James",JAC,@IND,RB,18.5,83.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,4.9,0.4,3.6,26.0,0.2,0.1,0.1,0.0,0.0,0.1,1.3,18.2
6,"Jones, Aaron",GBP,@CHI,RB,14.5,65.0,0.7,0.5,0.1,0.0,0.0,0.0,0.1,4.4,0.5,3.4,27.0,0.2,0.1,0.1,0.0,0.0,0.0,1.7,17.8
7,"Mostert, Raheem",SFO,SEA,RB,13.4,63.0,0.9,0.6,0.2,0.0,0.0,0.0,0.1,3.0,0.3,2.5,22.0,0.1,0.1,0.0,0.0,4.0,0.1,1.6,17.0
8,"Jacobs, Josh",LVR,@DEN,RB,20.2,84.0,0.8,0.5,0.2,0.0,0.0,0.0,0.0,3.1,0.3,2.5,17.0,0.0,0.1,0.0,0.0,0.0,0.2,1.9,16.8
9,"Carson, Chris",SEA,@SFO,RB,14.7,66.0,0.7,0.5,0.1,0.1,0.0,0.0,0.0,3.6,0.4,2.8,18.0,0.2,0.1,0.0,0.0,0.0,0.1,2.0,16.7
10,"Ekeler, Austin",LAC,@KCC,RB,11.4,49.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,7.0,0.8,5.3,48.0,0.1,0.2,0.1,0.0,0.0,0.0,1.0,16.5
11,"Elliott, Ezekiel",DAL,@NYG,RB,17.4,72.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,4.8,0.6,3.4,23.0,0.1,0.1,0.1,0.0,0.0,0.3,1.7,16.3
12,"Thompson, Chris",JAC,@IND,RB,14.2,64.0,0.3,0.3,0.1,0.0,0.0,0.0,0.0,4.6,0.3,3.6,26.0,0.2,0.1,0.1,0.0,0.0,0.0,1.3,16.0
13,"Gibson, Antonio",WAS,@PHI,RB,12.3,56.0,0.9,0.6,0.1,0.1,0.1,0.0,0.0,3.4,0.3,2.7,21.0,0.0,0.1,0.0,0.0,0.0,0.2,1.7,15.6
14,"Mixon, Joe",CIN,BAL,RB,17.7,69.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,4.0,0.5,3.1,23.0,0.2,0.1,0.1,0.0,1.0,0.0,1.9,15.6
15,"Edwards-Helaire, Clyde",KCC,LAC,RB,13.5,62.0,0.5,0.2,0.2,0.1,0.0,0.0,0.0,4.3,0.6,3.1,24.0,0.1,0.1,0.1,0.0,0.0,0.0,1.1,15.5
16,"Chubb, Nick",CLE,PIT,RB,16.9,89.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,2.4,0.3,1.7,13.0,0.1,0.1,0.0,0.0,0.0,0.1,1.3,15.0
17,"Freeman, Devonta",NYG,DAL,RB,16.1,57.0,0.6,0.5,0.1,0.0,0.0,0.0,0.0,4.1,0.9,2.9,20.0,0.1,0.1,0.0,0.0,0.0,0.0,1.6,14.7
18,"Montgomery, David",CHI,GBP,RB,15.8,63.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,4.1,0.7,3.0,22.0,0.2,0.1,0.0,0.0,0.0,0.1,1.7,13.8
