Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
94,"Banjo, Chris",ARI,DET,DB,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
95,"Curl, Kamren",WAS,@CLE,DB,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
96,"Moore, A.J.",HOU,@PIT,DB,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
97,"Watts, Armani",KCC,@BAL,DB,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3
98,"Levine, Anthony",BAL,KCC,DB,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
99,"Epps, Marcus",PHI,CIN,DB,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
100,"Adderley, Nasir",LAC,CAR,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
101,"Killebrew, Miles",DET,@ARI,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
102,"Ladler, Kenny",WAS,@CLE,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
103,"Davis, Cody",NEP,LVR,DB,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
104,"Hartage, Montre",NYG,SFO,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,"Johnson, Jaquan",BUF,LAR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0

