Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Way, Tress",WAS,DAL,P,5.1,250.0,19.0,2.0,17.5
2,"Mann, Braden",NYJ,BUF,P,5.8,262.0,32.0,1.3,16.8
3,"Dickson, Michael",SEA,@ARI,P,4.6,216.0,16.0,2.2,15.9
4,"O'Donnell, Pat",CHI,@LAR,P,4.7,212.0,16.0,2.0,15.4
5,"Johnston, Cam",PHI,NYG,P,4.3,208.0,15.0,1.8,14.8
6,"Kern, Brett",TEN,PIT,P,4.2,196.0,11.0,2.2,14.8
7,"Huber, Kevin",CIN,CLE,P,4.5,210.0,9.0,1.5,14.3
8,"Fox, Jack",DET,@ATL,P,4.1,201.0,9.0,1.6,14.1
9,"Lee, Andy",ARI,SEA,P,4.4,203.0,17.0,1.5,14.0
10,"Bailey, Jake",NEP,SFO,P,3.9,179.0,7.0,1.9,13.6
11,"Cooke, Logan",JAC,@LAC,P,4.0,187.0,8.0,1.4,13.0
12,"Hekker, Johnny",LAR,CHI,P,3.8,182.0,12.0,1.7,13.0
13,"Bojorquez, Corey",BUF,@NYJ,P,3.9,174.0,11.0,1.7,12.8
14,"Scott, J.K.",GBP,@HOU,P,4.2,182.0,13.0,1.4,12.7
15,"Dixon, Riley",NYG,@PHI,P,3.9,174.0,7.0,1.6,12.5
16,"Morstead, Thomas",NOS,CAR,P,3.8,168.0,6.0,1.7,12.5
17,"Anger, Bryan",HOU,GBP,P,3.5,166.0,8.0,1.5,12.0
18,"Pinion, Bradley",TBB,@LVR,P,3.8,169.0,11.0,1.3,11.8
19,"Martin, Sam",DEN,KCC,P,3.9,173.0,14.0,1.3,11.5
20,"Long, Ty",LAC,JAC,P,3.6,168.0,21.0,1.1,11.2
21,"Cole, A.J.",LVR,TBB,P,3.4,153.0,16.0,1.3,11.0
22,"Wishnowsky, Mitch",SFO,@NEP,P,3.3,149.0,8.0,1.5,10.8
23,"Townsend, Tommy",KCC,@DEN,P,3.1,149.0,11.0,1.1,10.3
24,"Hofrichter, Sterling",ATL,DET,P,3.2,136.0,6.0,1.1,9.6
25,"Charlton, Joseph",CAR,@NOS,P,2.9,138.0,14.0,0.9,9.3
26,"Gillan, Jamie",CLE,@CIN,P,2.9,131.0,12.0,1.1,9.3
27,"Jones, Chris",DAL,@WAS,P,3.1,131.0,8.0,0.9,8.8

