Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Elliott, Ezekiel",DAL,ARI,RB,19.6,87.0,0.8,0.6,0.1,0.0,0.0,0.0,0.0,6.1,0.6,4.6,35.0,0.2,0.1,0.1,0.0,0.0,0.2,2.0,22.4
2,"Henry, Derrick",TEN,HOU,RB,24.1,114.0,1.2,0.9,0.2,0.0,0.0,0.0,0.1,1.9,0.1,1.4,11.0,0.1,0.0,0.0,0.0,0.0,0.1,2.7,21.0
3,"Davis, Mike",CAR,CHI,RB,11.6,51.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,6.6,1.1,5.7,44.0,0.3,0.2,0.1,0.0,0.0,0.0,1.8,19.8
4,"Jones, Aaron",GBP,@TBB,RB,15.0,76.0,0.8,0.5,0.1,0.1,0.0,0.0,0.1,3.8,0.6,2.8,24.0,0.3,0.1,0.1,0.0,0.0,0.1,1.8,19.2
5,"Conner, James",PIT,CLE,RB,15.1,69.0,0.7,0.5,0.1,0.0,0.0,0.0,0.0,4.2,0.5,3.5,27.0,0.1,0.1,0.1,0.0,1.0,0.1,1.7,18.1
6,"Mostert, Raheem",SFO,LAR,RB,12.4,65.0,0.7,0.3,0.2,0.0,0.0,0.1,0.1,2.9,0.4,2.5,24.0,0.2,0.1,0.1,0.0,-0.8,0.0,1.5,16.7
7,"Mattison, Alexander",MIN,ATL,RB,16.0,85.0,0.8,0.5,0.2,0.0,0.1,0.0,0.0,2.5,0.1,2.0,14.0,0.0,0.1,0.0,0.0,0.0,0.1,1.3,16.5
8,"Taylor, Jonathan",IND,CIN,RB,16.0,71.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,3.4,0.2,3.0,22.0,0.0,0.1,0.0,1.0,0.0,0.0,1.3,16.2
9,"Hunt, Kareem",CLE,@PIT,RB,14.0,66.0,0.6,0.3,0.3,0.0,0.0,0.0,0.0,4.0,0.3,3.0,20.0,0.2,0.1,0.0,0.0,0.0,0.1,1.0,16.2
10,"Sanders, Miles",PHI,BAL,RB,14.0,68.0,0.6,0.3,0.1,0.0,0.0,0.0,0.1,3.8,0.4,2.7,27.0,0.1,0.1,0.1,0.0,7.0,0.1,1.3,15.9
11,"Robinson, James",JAC,DET,RB,16.1,65.0,0.5,0.2,0.3,0.0,0.0,0.0,0.0,4.4,0.3,3.4,30.0,0.1,0.2,0.1,0.0,0.0,0.1,0.8,15.8
12,"Gurley, Todd",ATL,@MIN,RB,15.2,65.0,0.9,0.6,0.1,0.0,0.1,0.0,0.0,3.0,0.3,2.1,13.0,0.1,0.1,0.0,0.0,0.0,0.1,1.9,15.4
