Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Kamara, Alvin",NOS,@CHI,RB,11.8,57.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,7.4,0.8,6.1,51.0,0.2,0.7,0.1,2.0,10.0,0.0,1.7,21.3
2,"Henry, Derrick",TEN,@CIN,RB,21.9,110.0,1.1,0.8,0.1,0.0,0.0,0.0,0.2,2.0,0.1,1.4,12.0,0.1,0.1,0.0,0.0,0.0,0.1,2.4,20.3
3,"Williams, Jamaal",GBP,MIN,RB,15.0,66.0,0.6,0.4,0.1,0.0,0.0,0.0,0.1,4.4,0.5,3.5,32.0,0.2,0.1,0.1,0.0,0.0,0.1,1.7,18.3
4,"Elliott, Ezekiel",DAL,@PHI,RB,17.1,73.0,0.6,0.5,0.1,0.0,0.0,0.0,0.0,5.7,0.6,4.2,29.0,0.1,0.1,0.1,0.0,0.0,0.4,1.7,18.3
5,"Cook, Dalvin",MIN,@GBP,RB,14.8,73.0,0.8,0.7,0.0,0.0,0.1,0.0,0.0,3.8,0.2,2.9,21.0,0.1,0.1,0.0,0.0,0.0,0.1,1.6,17.3
6,"Davis, Mike",CAR,ATL,RB,11.0,45.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.5,40.0,0.3,0.2,0.1,0.0,0.0,0.1,1.5,17.2
7,"Jacobs, Josh",LVR,@CLE,RB,18.5,78.0,0.6,0.4,0.2,0.0,0.0,0.0,0.0,4.0,0.2,3.0,22.0,0.1,0.1,0.0,0.0,0.0,0.2,0.9,16.9
8,"Gurley, Todd",ATL,@CAR,RB,17.5,67.0,1.0,0.6,0.2,0.0,0.1,0.0,0.0,3.3,0.2,2.3,16.0,0.1,0.1,0.0,0.0,0.0,0.1,2.1,16.9
9,"Edwards-Helaire, Clyde",KCC,NYJ,RB,15.5,74.0,0.4,0.2,0.1,0.1,0.0,0.0,0.0,4.7,0.6,3.4,29.0,0.1,0.1,0.1,0.0,0.0,0.0,1.0,16.6
10,"Taylor, Jonathan",IND,@DET,RB,15.9,74.0,0.7,0.6,0.1,0.0,0.0,0.0,0.0,2.8,0.2,2.5,23.0,0.0,0.1,0.1,1.0,0.0,0.0,1.3,16.4
11,"Scott, Boston",PHI,DAL,RB,14.0,61.0,0.4,0.3,0.0,0.0,0.0,0.0,0.1,4.0,0.4,3.0,31.0,0.3,0.1,0.1,1.0,4.0,0.1,1.5,16.2
