Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Koo, Younghoe",ATL,NOS,K,2.0,2.3,2.6,2.8,0.0,0.7,0.9,0.6,0.5,0.2,10.9
2,"Butker, Harrison",KCC,DEN,K,3.8,4.2,1.9,2.0,0.1,0.5,0.7,0.4,0.2,0.1,9.9
3,"Carlson, Daniel",LVR,@NYJ,K,2.8,2.9,2.0,2.2,0.0,0.9,0.5,0.4,0.3,0.2,9.1
4,"Tucker, Justin",BAL,DAL,K,2.8,2.8,1.8,1.9,0.0,0.5,0.5,0.6,0.2,0.1,8.8
5,"Sanders, Jason",MIA,CIN,K,2.3,2.4,1.8,2.0,0.0,0.4,0.3,0.5,0.6,0.2,8.7
6,"Bass, Tyler",BUF,@SFO,K,2.8,2.9,1.9,2.4,0.1,0.4,0.4,0.8,0.3,0.5,8.6
7,"Boswell, Chris",PIT,WAS,K,2.7,2.9,1.8,1.9,0.0,0.3,0.5,0.8,0.1,0.1,8.5
8,"Lutz, Wil",NOS,@ATL,K,3.0,3.0,1.8,2.0,0.0,0.5,0.6,0.6,0.1,0.3,8.2
9,"Gano, Graham",NYG,@SEA,K,1.6,1.6,1.9,2.0,0.0,0.3,0.8,0.6,0.2,0.1,8.1
10,"Gould, Robbie",SFO,BUF,K,2.7,2.8,1.7,2.0,0.0,0.4,0.6,0.7,0.1,0.2,8.1
11,"Myers, Jason",SEA,NYG,K,2.8,3.0,1.4,1.6,0.0,0.2,0.5,0.6,0.2,0.2,7.5
12,"McManus, Brandon",DEN,@KCC,K,1.5,1.6,1.7,1.9,0.0,0.3,0.3,0.6,0.4,0.2,7.5
13,"Folk, Nick",NEP,@LAC,K,1.9,2.0,1.8,1.9,0.0,0.5,0.5,0.6,0.2,0.2,7.5
14,"Crosby, Mason",GBP,PHI,K,3.3,3.5,1.2,1.3,0.1,0.1,0.5,0.4,0.1,0.0,7.5
15,"Gay, Matt",LAR,@ARI,K,2.8,3.1,1.6,2.0,0.0,0.4,0.4,0.7,0.1,0.4,7.4
16,"Gonzalez, Zane",ARI,LAR,K,2.6,2.7,1.6,1.9,0.0,0.5,0.4,0.6,0.2,0.3,7.3
17,"Badgley, Mike",LAC,NEP,K,2.5,2.8,1.6,1.9,0.0,0.5,0.3,0.6,0.1,0.3,7.1
18,"Parkey, Cody",CLE,@TEN,K,2.4,2.6,1.5,1.7,0.0,0.3,0.4,0.8,0.0,0.2,7.1
19,"Blankenship, Rodrigo",IND,@HOU,K,2.2,2.5,1.6,1.9,0.0,0.4,0.7,0.5,0.1,0.3,7.0
20,"Fairbairn, Ka'imi",HOU,IND,K,2.4,2.6,1.5,1.7,0.0,0.4,0.6,0.4,0.2,0.3,6.7
21,"Bailey, Dan",MIN,JAC,K,2.6,2.7,1.3,1.4,0.0,0.4,0.4,0.3,0.2,0.1,6.7
22,"Zuerlein, Greg",DAL,@BAL,K,1.6,1.8,1.7,2.1,0.1,0.2,0.6,0.6,0.1,0.4,6.5
23,"Prater, Matt",DET,@CHI,K,2.2,2.2,1.5,2.0,0.0,0.5,0.4,0.4,0.3,0.5,6.4
24,"Santos, Cairo",CHI,DET,K,1.7,1.7,1.4,1.6,0.0,0.5,0.4,0.3,0.1,0.2,6.0
25,"Hopkins, Dustin",WAS,@PIT,K,1.8,1.8,1.5,1.9,0.0,0.3,0.5,0.6,0.1,0.4,6.0
26,"Gostkowski, Stephen",TEN,CLE,K,3.0,3.1,1.1,1.7,0.0,0.2,0.1,0.5,0.4,0.6,5.9
27,"Bullock, Randy",CIN,@MIA,K,1.5,1.6,1.5,1.8,0.0,0.3,0.5,0.5,0.2,0.3,5.8
28,"Elliott, Jake",PHI,@GBP,K,1.6,1.8,1.1,1.4,0.0,0.2,0.5,0.4,0.1,0.3,4.8
29,"Castillo, Sergio",NYJ,LVR,K,1.2,1.5,1.2,1.7,0.0,0.2,0.5,0.2,0.3,0.4,4.5

