Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
25,"Robinson, James",JAC,RB,197.1,757.0,3.1,3.1,0.0,0.0,0.0,0.0,0.0,9.7,1.5,0.5,0.2,83.0,8.8,60.9,476.0,2.6,1.9,1.0,0.0,2.0,0.7,20.1,216.8
26,"Hunt, Kareem",CLE,RB,103.2,404.0,4.5,4.1,0.4,0.0,0.0,0.0,0.0,1.6,0.8,0.3,0.1,86.4,8.1,67.2,565.0,2.9,2.3,1.1,18.0,116.0,0.0,14.0,208.3
27,"Love, Bryce",WAS,RB,192.7,909.0,6.9,5.2,1.1,0.0,0.0,0.0,0.7,11.1,1.8,0.6,0.2,48.9,3.4,34.9,319.0,1.8,1.3,0.6,0.0,6.0,2.0,15.2,206.1
28,"Gordon, Melvin",DEN,RB,183.5,747.0,7.9,6.4,0.6,0.6,0.3,0.0,0.0,3.0,1.5,0.5,0.2,65.3,7.2,49.2,324.0,0.6,1.3,0.6,0.0,0.0,3.1,21.8,200.6
29,"White, James",NEP,RB,67.1,275.0,2.3,1.9,0.0,0.4,0.0,0.0,0.0,1.1,0.6,0.2,0.1,100.2,18.4,72.8,649.0,4.2,2.6,1.3,0.0,18.0,1.7,20.3,200.6
30,"Carson, Chris",SEA,RB,221.7,1008.0,7.6,7.0,0.6,0.0,0.0,0.0,0.0,12.0,2.0,0.7,0.3,33.6,2.1,26.8,194.0,0.9,0.8,0.4,0.0,0.0,2.5,22.6,193.4
31,"Cohen, Tarik",CHI,RB,76.4,309.0,1.3,0.9,0.0,0.4,0.0,0.0,0.0,1.2,0.6,0.2,0.1,103.3,12.8,77.0,560.0,3.9,2.2,1.1,302.0,44.0,1.3,10.2,192.4
32,"Howard, Jordan",FA,RB,201.6,743.0,6.7,5.7,1.0,0.0,0.0,0.0,0.0,3.0,1.5,0.5,0.2,57.0,5.3,39.6,308.0,0.0,1.2,0.6,0.0,7.0,0.8,16.1,183.2
33,"Gibson, Antonio",WAS,RB,172.7,744.0,2.2,0.7,1.4,0.0,0.0,0.0,0.0,2.6,1.3,0.4,0.2,85.9,10.1,58.1,350.0,0.0,1.4,0.7,0.0,43.0,0.0,9.7,180.5
34,"Johnson, Kerryon",DET,RB,193.4,855.0,6.1,5.9,0.2,0.0,0.0,0.0,0.0,10.4,1.7,0.6,0.2,35.2,4.5,25.1,208.0,1.1,0.8,0.4,0.0,0.0,1.1,21.0,172.6
35,"Johnson, Duke",HOU,RB,96.9,506.0,2.6,2.3,0.0,0.0,0.0,0.2,0.0,2.0,1.0,0.3,0.1,66.5,10.8,46.9,386.0,1.8,1.5,0.8,0.0,0.0,0.8,13.2,160.9
36,"Swift, D'Andre",DET,RB,134.8,637.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,2.5,1.3,0.4,0.2,75.1,4.7,58.5,369.0,0.0,1.5,0.7,0.0,49.0,1.4,5.6,160.1
37,"Mack, Marlon",IND,RB,207.1,867.0,5.7,4.0,1.5,0.0,0.0,0.0,0.1,7.8,1.7,0.6,0.2,33.2,2.2,23.4,155.0,0.0,0.6,0.3,6.0,57.0,0.0,16.5,159.7
38,"Montgomery, David",CHI,RB,196.0,742.0,5.2,4.0,1.1,0.2,0.0,0.0,0.0,4.0,1.5,0.5,0.2,34.3,3.2,23.5,198.0,1.4,0.8,0.4,26.0,0.0,1.6,20.2,154.4
