Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"O'Donnell, Pat",CHI,@MIN,P,4.8,221.0,21.0,1.9,15.7
2,"Berry, Jordan",PIT,@CIN,P,4.8,220.0,21.0,1.8,15.6
3,"Way, Tress",WAS,SEA,P,4.5,220.0,17.0,1.8,15.4
4,"Cooke, Logan",JAC,@BAL,P,4.4,210.0,9.0,1.8,14.9
5,"Mann, Braden",NYJ,@LAR,P,5.0,223.0,24.0,1.3,14.7
6,"Fox, Jack",DET,@TEN,P,4.1,201.0,8.0,1.8,14.5
7,"Dickson, Michael",SEA,@WAS,P,4.2,198.0,15.0,1.9,14.4
8,"Johnston, Cam",PHI,@ARI,P,4.4,207.0,17.0,1.5,14.2
9,"Haack, Matt",MIA,NEP,P,4.5,203.0,12.0,1.6,14.2
10,"Hekker, Johnny",LAR,NYJ,P,4.2,194.0,15.0,1.9,14.2
11,"Huber, Kevin",CIN,PIT,P,4.6,210.0,12.0,1.4,14.1
12,"Kern, Brett",TEN,DET,P,4.0,187.0,15.0,1.8,13.6
13,"Dixon, Riley",NYG,CLE,P,4.0,178.0,6.0,1.9,13.3
14,"Martin, Sam",DEN,BUF,P,4.0,189.0,16.0,1.4,12.7
15,"Bailey, Jake",NEP,@MIA,P,3.7,168.0,6.0,1.7,12.6
16,"Lee, Andy",ARI,PHI,P,3.8,175.0,14.0,1.3,12.0
17,"Anger, Bryan",HOU,@IND,P,3.5,163.0,7.0,1.4,11.7
18,"Morstead, Thomas",NOS,KCC,P,3.6,155.0,6.0,1.6,11.6
19,"Bojorquez, Corey",BUF,@DEN,P,3.5,156.0,11.0,1.4,11.2
20,"Palardy, Michael",CAR,@GBP,P,3.6,164.0,18.0,1.2,11.2
21,"Gillan, Jamie",CLE,@NYG,P,3.6,160.0,15.0,1.2,11.0
22,"Koch, Sam",BAL,JAC,P,3.3,150.0,10.0,1.5,11.0
23,"Cole, A.J.",LVR,LAC,P,3.2,143.0,11.0,1.6,10.9
24,"Wishnowsky, Mitch",SFO,@DAL,P,3.4,157.0,8.0,1.2,10.8
25,"Sanchez, Rigoberto",IND,HOU,P,3.2,146.0,7.0,1.5,10.7
26,"Pinion, Bradley",TBB,@ATL,P,3.5,155.0,10.0,1.1,10.7
27,"Scott, J.K.",GBP,CAR,P,3.7,161.0,19.0,1.1,10.6
28,"Colquitt, Britton",MIN,CHI,P,3.7,168.0,20.0,1.0,10.4
29,"Hofrichter, Sterling",ATL,TBB,P,3.5,149.0,7.0,1.0,10.1
30,"Long, Ty",LAC,@LVR,P,3.3,154.0,23.0,0.9,9.2
31,"Charlton, Joseph",CAR,@GBP,P,2.8,133.0,10.0,0.9,9.1
32,"Townsend, Tommy",KCC,@NOS,P,2.8,130.0,8.0,1.0,9.1
33,"Jones, Chris",DAL,SFO,P,3.1,130.0,8.0,0.9,8.8

