Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Pederson, Doug",PHI,@PIT,HC,1.0,0.0,34.0,17.0,26.1
2,"Reid, Andy",KCC,LVR,HC,1.0,0.0,35.0,14.0,25.7
3,"Payton, Sean",NOS,LAC,HC,1.0,0.0,34.0,14.0,25.2
4,"Belichick, Bill",NEP,Bye,HC,1.0,0.0,31.0,13.0,23.4
5,"Quinn, Dan",FA,Bye,HC,1.0,0.0,30.0,8.0,21.4
6,"Vrabel, Mike",TEN,BUF,HC,1.0,0.0,32.0,2.0,20.6
7,"Flores, Brian",MIA,@SFO,HC,1.0,0.0,27.0,4.0,18.7
8,"Tomlin, Mike",PIT,PHI,HC,1.0,0.0,23.0,3.0,16.4
9,"Gruden, Jon",LVR,@KCC,HC,1.0,0.0,24.0,1.0,16.3
10,"McDermott, Sean",BUF,@TEN,HC,1.0,0.0,21.0,4.0,15.7
11,"Fangio, Vic",DEN,Bye,HC,1.0,0.0,22.0,1.0,15.3
12,"Shanahan, Kyle",SFO,MIA,HC,0.0,1.0,28.0,-2.0,13.4
13,"Harbaugh, John",BAL,CIN,HC,0.0,1.0,24.0,-2.0,11.4
14,"Marrone, Doug",JAC,@HOU,HC,0.0,1.0,26.0,-6.0,11.2
15,"Carroll, Pete",SEA,MIN,HC,0.0,1.0,25.0,-5.0,11.0
16,"Patricia, Matt",FA,Bye,HC,0.0,1.0,21.0,-3.0,9.6
17,"McVay, Sean",LAR,@WAS,HC,0.0,1.0,24.0,-8.0,9.6
18,"Kingsbury, Kliff",ARI,@NYJ,HC,0.0,1.0,24.0,-9.0,9.3
19,"Lynn, Anthony",LAC,@NOS,HC,0.0,1.0,20.0,-4.0,8.8
20,"LaFleur, Matt",GBP,Bye,HC,0.0,1.0,21.0,-6.0,8.7
21,"Reich, Frank",IND,@CLE,HC,0.0,1.0,23.0,-12.0,7.9
22,"Nagy, Matt",CHI,TBB,HC,0.0,1.0,18.0,-5.0,7.5
23,"Zimmer, Mike",MIN,@SEA,HC,0.0,1.0,19.0,-10.0,6.5
24,"Taylor, Zac",CIN,@BAL,HC,0.0,1.0,16.0,-11.0,4.7
25,"Arians, Bruce",TBB,@CHI,HC,0.0,1.0,19.0,-16.0,4.7
26,"Gase, Adam",NYJ,ARI,HC,0.0,1.0,13.0,-22.0,-0.1

