Rank,Player,Team,Opp,Position,Yds Allowed,Pts Agn,Scks,Int,Fum,DefTD,Safts,Pts
1,"Chiefs, Kansas City",KCC,@LAC,D,257.1,13.6,1.2,1.2,1.,0.3,0.1,14.7
2,"Patriots, New England",NEP,HOU,D,276.5,15.,2.6,1.4,0.8,0.1,0.,14.2
3,"Vikings, Minnesota",MIN,TBB,D,276.3,18.3,3.2,0.6,0.7,0.2,0.,13.6
4,"Broncos, Denver",DEN,@BUF,D,248.6,14.4,2.2,1.1,1.,0.1,0.,13.3
5,"Colts, Indianapolis",IND,CLE,D,243.,15.1,3.,0.8,0.7,0.1,0.,13.1
6,"49ers, San Francisco",SFO,LAR,D,254.7,18.3,3.1,1.,0.6,0.,0.2,12.8
7,"Cardinals, Arizona",ARZ,DAL,D,333.5,28.,3.6,0.7,1.1,0.2,0.,12.1
8,"Seahawks, Seattle",SEA,@TEN,D,214.2,14.7,2.9,0.4,0.8,0.,0.1,11.9
9,"Steelers, Pittsburgh",PIT,@CHI,D,300.,21.,2.9,0.9,1.1,0.,0.1,11.9
10,"Bills, Buffalo",BUF,DEN,D,228.7,16.1,2.3,1.1,0.4,0.,0.,11.7
11,"Eagles, Philadelphia",PHI,NYG,D,318.4,20.6,1.7,1.4,0.3,0.2,0.,11.2
12,"Rams, Los Angeles",LAR,@SFO,D,259.4,23.,2.4,1.1,0.4,0.,0.,10.8
13,"Ravens, Baltimore",BAL,@JAC,D,310.1,19.,1.7,1.3,0.7,0.,0.,10.6
14,"Falcons, Atlanta",ATL,@DET,D,354.,23.9,2.6,1.1,0.7,0.2,0.2,10.2
15,"Panthers, Carolina",CAR,NOR,D,374.2,24.7,2.9,1.2,0.9,0.,0.2,10.1
16,"Cowboys, Dallas",DAL,@ARZ,D,339.4,22.8,2.8,0.8,0.6,0.,0.,9.6
17,"Jets, New York",NYJ,MIA,D,292.8,21.9,1.6,0.4,0.5,0.1,0.,9.5
18,"Texans, Houston",HOU,@NEP,D,315.6,23.7,2.1,1.4,0.3,0.,0.1,9.4
19,"Jaguars, Jacksonville",JAC,BAL,D,330.5,23.7,1.9,0.7,0.5,0.2,0.,9.2
20,"Packers, Green Bay",GBP,CIN,D,367.2,22.9,1.9,1.4,0.6,0.,0.,8.9
21,"Chargers, San Diego",LAC,KCC,D,348.8,29.1,2.3,1.,0.3,0.2,0.,8.8
22,"Raiders, Oakland",OAK,@WAS,D,383.2,25.8,1.3,1.1,0.8,0.1,0.,8.6
23,"Titans, Tennessee",TEN,SEA,D,364.9,23.2,2.4,0.6,0.7,0.1,0.,8.6
24,"Bengals, Cincinnati",CIN,@GBP,D,366.8,17.5,2.,0.8,0.3,0.,0.,8.3
25,"Saints, New Orleans",NOR,@CAR,D,340.2,25.6,2.3,0.7,0.3,0.,0.2,8.2
26,"Giants, New York",NYG,@PHI,D,384.5,24.4,2.1,0.7,0.5,0.1,0.,8.
27,"Buccaneers, Tampa Bay",TBB,@MIN,D,408.8,23.7,1.3,1.1,0.3,0.1,0.,6.7
28,"Redskins, Washington",WAS,OAK,D,411.5,25.1,1.8,1.2,0.3,0.,0.,6.7
29,"Browns, Cleveland",CLE,@IND,D,362.8,26.3,1.7,0.7,0.2,0.,0.,6.4
30,"Bears, Chicago",CHI,PIT,D,384.7,30.1,2.1,0.4,0.3,0.1,0.1,5.8
31,"Dolphins, Miami",MIA,@NYJ,D,495.5,33.5,0.9,0.8,0.5,0.,0.,4.9
32,"Lions, Detroit",DET,ATL,D,447.6,29.7,0.9,0.4,0.2,0.1,0.,3.3
