Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Lee, Andy",ARZ,WAS,P,5.7,273.4,31.1,1.8,18.4
2,"Hekker, Johnny",LAR,@OAK,P,4.9,235.4,10.,2.5,17.9
3,"Koch, Sam",BAL,BUF,P,5.1,231.1,20.3,2.5,17.4
4,"Edwards, Lachlan",NYJ,@DET,P,5.6,252.,27.9,1.8,17.4
5,"Daniel, Trevor",HOU,@NEP,P,4.9,237.2,32.3,1.9,16.7
6,"Huber, Kevin",CIN,@IND,P,5.4,247.9,24.6,1.7,16.6
7,"Haack, Matt",MIA,TEN,P,5.2,230.5,14.7,1.8,16.2
8,"Kern, Brett",TEN,@MIA,P,4.9,226.2,19.8,2.,16.2
9,"Pinion, Bradley",SFO,@MIN,P,5.2,228.9,14.9,1.8,16.1
10,"Colquitt, Britton",CLE,PIT,P,5.1,236.1,25.7,1.5,15.7
11,"O'Donnell, Pat",CHI,@GBP,P,5.,228.5,24.7,1.6,15.6
12,"Dickson, Michael",SEA,@DEN,P,5.1,228.6,23.5,1.6,15.5
13,"Cooke, Logan",JAC,@NYG,P,5.,222.1,16.3,1.6,15.2
14,"Townsend, Johnny",OAK,LAR,P,4.5,209.6,16.2,1.8,14.9
15,"Dixon, Riley",NYG,JAC,P,5.2,231.1,19.7,1.4,14.9
16,"Palardy, Michael",CAR,DAL,P,4.6,207.1,14.1,1.6,14.5
17,"Way, Tress",WAS,@ARZ,P,4.5,204.3,23.7,1.6,14.3
18,"Sanchez, Rigoberto",IND,CIN,P,4.7,214.,5.7,1.5,14.3
19,"Colquitt, Dustin",KCC,@LAC,P,4.3,193.8,10.3,1.9,14.3
20,"Wile, Matt",MIN,SFO,P,4.6,191.7,13.2,1.8,14.1
21,"Kaser, Drew",LAC,KCC,P,4.1,196.4,18.2,1.5,13.7
22,"Bojorquez, Corey",BUF,@BAL,P,4.5,198.8,13.7,1.4,13.7
23,"Anger, Bryan",TBB,@NOR,P,4.1,182.5,7.7,1.8,13.4
24,"King, Marquette",DEN,SEA,P,4.2,193.9,12.7,1.5,13.4
25,"Jones, Chris",DAL,@CAR,P,3.9,175.9,7.2,1.9,13.1
26,"Martin, Sam",DET,NYJ,P,4.2,188.1,13.1,1.4,13.1
27,"Morstead, Thomas",NOR,TBB,P,3.7,175.5,13.7,1.5,12.4
28,"Allen, Ryan",NEP,HOU,P,3.9,169.2,6.4,1.5,12.2
29,"Berry, Jordan",PIT,@CLE,P,3.8,165.2,11.3,1.4,11.8
30,"Johnston, Cam",PHI,ATL,P,3.8,175.4,10.9,1.2,11.8
31,"Scott, J.K.",GBP,CHI,P,3.9,168.8,10.5,1.,11.2
32,"Bosher, Matt",ATL,@PHI,P,3.4,152.9,11.9,1.4,11.1
