Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Johnson, David",ARZ,DET,RB,19.9,82.8,0.9,0.7,0.,0.1,0.,0.,0.,5.,51.3,0.2,0.2,0.1,0.2,1.2,0.2,2.5,19.2
2,"Gurley, Todd",LAR,@CHI,RB,17.9,77.3,0.7,0.6,0.,0.,0.,0.,0.1,3.8,38.9,0.2,0.2,0.1,0.1,0.,0.1,2.3,16.9
3,"Elliott, Ezekiel",DAL,PHI,RB,18.7,86.5,0.7,0.4,0.2,0.,0.,0.,0.1,2.3,23.9,0.1,0.1,0.,0.,0.,0.,1.6,15.6
4,"Kamara, Alvin",NOR,@TBB,RB,10.1,51.,0.6,0.4,0.,0.1,0.,0.,0.,4.5,45.3,0.3,0.2,0.1,0.,25.2,0.1,1.9,14.6
5,"Bell, Le'Veon",PIT,@OAK,RB,15.8,68.5,0.5,0.4,0.1,0.,0.,0.,0.,4.4,35.,0.2,0.1,0.1,0.,0.,0.1,1.4,14.
6,"Fournette, Leonard",JAC,@TEN,RB,17.7,68.4,0.7,0.5,0.,0.,0.,0.,0.1,2.7,22.8,0.,0.1,0.,0.,1.4,0.,1.5,13.3
7,"Hunt, Kareem",KCC,BAL,RB,16.2,74.,0.5,0.3,0.,0.,0.1,0.,0.1,3.,23.1,0.1,0.1,0.,0.,0.,0.1,1.7,13.2
8,"Barkley, Saquon",NYG,@WAS,RB,17.4,77.1,0.4,0.3,0.,0.,0.,0.,0.1,4.5,28.2,0.1,0.1,0.1,0.,1.3,0.1,1.2,13.1
9,"Gordon, Melvin",LAC,CIN,RB,16.3,64.7,0.5,0.4,0.1,0.,0.,0.,0.,3.,27.4,0.1,0.1,0.1,0.,0.,0.1,1.8,13.
10,"Cook, Dalvin",MIN,@SEA,RB,14.3,63.3,0.6,0.5,0.,0.,0.,0.,0.,3.4,26.4,0.1,0.1,0.1,0.,1.1,0.1,1.8,12.9
11,"Michel, Sony",NEP,@MIA,RB,11.4,46.3,0.7,0.6,0.1,0.,0.,0.,0.,2.7,21.5,0.3,0.1,0.,0.,5.8,0.,2.,12.8
12,"Howard, Jordan",CHI,LAR,RB,17.4,78.,0.5,0.4,0.1,0.1,0.,0.,0.,1.5,11.6,0.,0.,0.,0.,0.,0.1,1.4,12.1
13,"Ingram, Mark",NOR,@TBB,RB,12.5,56.4,0.6,0.4,0.,0.1,0.,0.,0.,3.3,26.,0.1,0.1,0.1,0.,5.2,0.1,1.4,11.8
14,"Freeman, Devonta",ATL,@GBP,RB,12.6,51.9,0.5,0.4,0.,0.,0.,0.,0.,2.7,25.4,0.2,0.1,0.1,0.,0.,0.1,1.7,11.8
15,"Mixon, Joe",CIN,@LAC,RB,16.5,62.1,0.4,0.3,0.1,0.,0.,0.,0.,3.,28.5,0.,0.1,0.1,0.,0.,0.1,1.5,11.4
