Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Lee, Andy",ARZ,DET,P,5.7,272.6,31.4,1.8,18.3
2,"Hekker, Johnny",LAR,@CHI,P,4.9,235.4,10.,2.5,17.9
3,"Koch, Sam",BAL,@KCC,P,5.1,231.8,20.3,2.5,17.4
4,"Edwards, Lachlan",NYJ,@BUF,P,5.5,250.7,27.8,1.8,17.3
5,"Daniel, Trevor",HOU,IND,P,4.9,236.3,31.3,1.9,16.7
6,"Huber, Kevin",CIN,@LAC,P,5.4,248.2,24.6,1.7,16.6
7,"Kern, Brett",TEN,JAC,P,4.9,224.9,18.9,1.9,16.1
8,"Pinion, Bradley",SFO,DEN,P,5.2,228.9,14.9,1.8,16.1
9,"Haack, Matt",MIA,NEP,P,5.1,227.9,14.8,1.8,16.
10,"O'Donnell, Pat",CHI,LAR,P,5.,230.,25.,1.6,15.7
11,"Dickson, Michael",SEA,MIN,P,5.1,228.6,23.5,1.6,15.5
12,"Cooke, Logan",JAC,@TEN,P,5.,224.,16.6,1.6,15.3
13,"Dixon, Riley",NYG,@WAS,P,5.3,234.8,20.1,1.4,15.1
14,"Townsend, Johnny",OAK,PIT,P,4.5,209.6,16.2,1.8,14.9
15,"Way, Tress",WAS,NYG,P,4.5,206.6,23.7,1.6,14.5
16,"Palardy, Michael",CAR,@CLE,P,4.6,207.1,14.1,1.6,14.5
17,"Sanchez, Rigoberto",IND,@HOU,P,4.7,213.7,5.5,1.5,14.4
18,"Colquitt, Dustin",KCC,BAL,P,4.3,194.9,10.4,1.9,14.3
19,"Wile, Matt",MIN,@SEA,P,4.6,191.7,13.2,1.8,14.1
20,"Kaser, Drew",LAC,CIN,P,4.1,197.4,17.8,1.5,13.7
21,"Bojorquez, Corey",BUF,NYJ,P,4.6,198.8,14.1,1.3,13.5
22,"Anger, Bryan",TBB,NOR,P,4.1,182.5,7.7,1.8,13.4
23,"King, Marquette",DEN,@SFO,P,4.2,193.9,12.7,1.5,13.4
24,"Jones, Chris",DAL,PHI,P,4.,177.9,7.1,1.9,13.3
25,"Martin, Sam",DET,@ARZ,P,4.2,186.6,13.,1.4,13.
26,"Colquitt, Britton",CLE,CAR,P,4.1,189.8,20.8,1.2,12.6
27,"Johnston, Cam",PHI,@DAL,P,4.,182.6,11.1,1.3,12.3
28,"Allen, Ryan",NEP,@MIA,P,3.9,168.6,6.1,1.5,12.2
29,"Berry, Jordan",PIT,@OAK,P,3.8,163.3,11.,1.5,11.7
30,"Scott, J.K.",GBP,ATL,P,3.9,168.9,10.8,1.,11.3
31,"Bosher, Matt",ATL,@GBP,P,3.4,152.1,12.2,1.4,11.1
32,"Morstead, Thomas",NOR,@TBB,P,3.,140.4,10.9,1.2,10.
