Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Rivera, Ron",CAR,@CLE,HC,1.,0.,32.,22.,26.6
2,"Lynn, Anthony",LAC,CIN,HC,1.,0.,35.,15.,26.
3,"Belichick, Bill",NEP,@MIA,HC,1.,0.,35.,14.,25.7
4,"Shanahan, Kyle",SFO,DEN,HC,1.,0.,28.,12.,21.6
5,"Gruden, Jay",WAS,NYG,HC,1.,0.,27.,11.,20.8
6,"Payton, Sean",NOR,@TBB,HC,1.,0.,30.,4.,20.2
7,"Reich, Frank",IND,@HOU,HC,1.,0.,26.,10.,20.
8,"Zimmer, Mike",MIN,@SEA,HC,1.,0.,28.,4.,19.2
9,"McDermott, Sean",BUF,NYJ,HC,1.,0.,24.,7.,18.1
10,"Marrone, Doug",JAC,@TEN,HC,1.,0.,27.,2.,18.1
11,"McVay, Sean",LAR,@CHI,HC,1.,0.,22.,3.,15.9
12,"Wilks, Steve",ARZ,DET,HC,1.,0.,23.,1.,15.8
13,"Quinn, Dan",ATL,@GBP,HC,0.,1.,26.,-1.,12.7
14,"Tomlin, Mike",PIT,@OAK,HC,0.,1.,26.,-1.,12.7
15,"Gruden, Jon",OAK,PIT,HC,0.,1.,24.,-2.,11.4
16,"Shurmer, Pat",NYG,@WAS,HC,0.,1.,24.,-3.,11.1
17,"Carroll, Pete",SEA,MIN,HC,0.,1.,24.,-4.,10.8
18,"Patricia, Matt",DET,@ARZ,HC,0.,1.,22.,-1.,10.7
19,"O'Brien, Bill",HOU,IND,HC,0.,1.,23.,-3.,10.6
20,"McCarthy, Mike",GBP,ATL,HC,0.,1.,23.,-3.,10.6
21,"Harbaugh, John",BAL,@KCC,HC,0.,1.,24.,-6.,10.2
22,"Reid, Andy",KCC,BAL,HC,0.,1.,22.,-3.,10.1
23,"Jackson, Hue",CLE,CAR,HC,0.,1.,23.,-8.,9.1
24,"Koetter, Dirk",TBB,NOR,HC,0.,1.,23.,-9.,8.8
25,"Vrabel, Mike",TEN,JAC,HC,0.,1.,21.,-6.,8.7
26,"Joseph, Vance",DEN,@SFO,HC,0.,1.,21.,-6.,8.7
27,"Nagy, Matt",CHI,LAR,HC,0.,1.,19.,-3.,8.6
28,"Bowles, Todd",NYJ,@BUF,HC,0.,1.,19.,-5.,8.
29,"Campbell, Dan",MIA,NEP,HC,0.,1.,23.,-12.,7.9
30,"Pederson, Doug",PHI,@DAL,HC,0.,1.,20.,-7.,7.9
31,"Garrett, Jason",DAL,PHI,HC,0.,1.,18.,-4.,7.8
32,"Lewis, Marvin",CIN,@LAC,HC,0.,1.,20.,-15.,5.5
