Rank,Player,Team,Opp,Position,Att,Comp,Pass Yds,Pass TDs,0-9 PassTDs,10-19 PassTDs,20-29 PassTDs,30-39 PassTDs,40-49 PassTDs,50+ PassTDs,Int,Sacked,Rush,Rush Yds,Rush TDs,Fum Lost,Scoring Opps,Pts
1,"Rodgers, Aaron",GBP,@CHI,QB,40.9,25.5,288.7,2.4,1.3,0.5,0.3,0.2,0.1,0.1,0.5,2.5,3.4,19.4,0.1,0.2,8.6,26.4
2,"Ryan, Matt",ATL,DAL,QB,35.4,23.9,307.9,2.2,1.2,0.4,0.1,0.2,0.1,0.2,0.6,2.2,2.1,5.4,0.,0.2,8.8,23.8
3,"Luck, Andrew",IND,PIT,QB,38.1,23.3,279.1,2.,1.,0.3,0.3,0.2,0.,0.2,1.1,2.3,4.,20.5,0.1,0.3,7.8,23.3
4,"Cousins, Kirk",WAS,MIN,QB,37.1,25.,295.8,1.6,0.7,0.4,0.2,0.1,0.1,0.2,0.7,1.6,2.,5.,0.3,0.2,8.7,22.9
5,"Wilson, Russell",SEA,@ARZ,QB,34.1,22.1,267.8,1.9,0.7,0.4,0.2,0.3,0.2,0.1,0.7,2.5,4.9,22.8,0.1,0.1,6.3,22.8
6,"Brees, Drew",NOR,@BUF,QB,38.7,26.2,299.7,2.,0.9,0.5,0.2,0.1,0.1,0.2,0.8,1.8,1.4,0.9,0.1,0.2,7.,22.4
7,"Dalton, Andy",CIN,@TEN,QB,37.2,24.1,280.6,1.6,0.6,0.5,0.2,0.,0.1,0.1,0.5,2.1,3.4,11.2,0.3,0.2,8.3,22.1
8,"Bortles, Blake",JAC,LAC,QB,40.,23.5,264.8,1.7,0.8,0.5,0.2,0.1,0.1,0.1,0.8,2.,3.,18.2,0.2,0.3,8.1,21.8
9,"Prescott, Dak",DAL,@ATL,QB,31.7,21.3,248.7,1.7,0.7,0.3,0.3,0.1,0.1,0.1,0.4,1.6,3.2,15.8,0.3,0.2,4.6,21.6
10,"Newton, Cam",CAR,MIA,QB,32.,17.7,233.2,1.5,0.6,0.4,0.1,0.2,0.1,0.2,1.,2.7,6.,24.2,0.4,0.3,7.4,21.4
11,"Brady, Tom",NEP,@DEN,QB,34.3,21.9,262.2,1.9,0.8,0.6,0.1,0.1,0.,0.2,0.5,2.1,2.7,6.1,0.1,0.1,7.2,21.3
12,"Stafford, Matthew",DET,CLE,QB,37.3,24.3,266.,1.5,0.9,0.3,0.2,0.1,0.,0.1,0.6,2.5,2.4,11.,0.1,0.1,7.3,20.5
13,"Roethlisberger, Ben",PIT,@IND,QB,35.6,23.3,275.,1.7,0.6,0.2,0.5,0.2,0.,0.2,1.3,1.8,1.3,1.5,0.,0.1,6.3,20.
14,"Manning, Eli",NYG,@SFO,QB,39.6,24.6,271.9,1.9,0.7,0.5,0.2,0.1,0.1,0.3,1.,1.5,1.4,2.,0.,0.3,8.2,19.7
15,"Rivers, Philip",LAC,@JAC,QB,35.6,22.3,263.8,1.9,0.8,0.5,0.1,0.1,0.2,0.2,1.3,2.4,1.1,2.2,0.,0.3,7.5,19.4
16,"Bradford, Sam",MIN,@WAS,QB,40.,27.,283.9,1.4,0.7,0.3,0.3,0.,0.,0.1,0.4,2.2,1.3,4.4,0.,0.3,4.8,19.4
17,"Hoyer, Brian",SFO,NYG,QB,32.7,20.1,223.,1.3,0.4,0.7,0.,0.1,0.,0.1,0.6,2.9,4.7,24.7,0.2,0.2,4.6,19.
18,"Mariota, Marcus",TEN,CIN,QB,29.4,17.9,219.5,1.6,0.9,0.3,0.1,0.2,0.,0.1,0.8,2.6,4.1,24.3,0.1,0.4,6.5,18.9
19,"Palmer, Carson",ARZ,SEA,QB,33.7,20.8,256.5,1.7,0.9,0.3,0.2,0.1,0.1,0.1,0.9,2.3,1.1,1.7,0.,0.2,7.6,18.6
20,"Winston, Jameis",TBB,NYJ,QB,32.2,19.3,238.3,1.4,0.5,0.4,0.2,0.1,0.2,0.,1.3,2.3,3.8,14.3,0.2,0.3,7.4,18.5
21,"Taylor, Tyrod",BUF,NOR,QB,26.3,16.4,193.6,1.1,0.3,0.2,0.2,0.1,0.2,0.1,0.5,2.8,4.5,25.9,0.3,0.1,6.1,18.2
22,"Kizer, DeShone",CLE,@DET,QB,37.1,22.3,244.9,1.,0.5,0.3,0.1,0.1,0.,0.1,0.6,3.1,3.3,19.4,0.2,0.4,7.5,18.1
23,"Glennon, Mike",CHI,GBP,QB,35.1,22.1,260.6,1.4,0.7,0.3,0.2,0.1,0.,0.1,0.8,1.4,1.3,4.2,0.,0.2,7.7,17.9
24,"Savage, Tom",HOU,@LAR,QB,41.9,24.9,251.6,1.1,0.4,0.3,0.2,0.,0.1,0.,0.7,1.6,2.3,8.2,0.2,0.1,4.9,17.8
25,"Cutler, Jay",MIA,@CAR,QB,28.9,18.7,224.5,1.7,0.6,0.3,0.3,0.1,0.,0.3,1.2,2.3,1.8,8.,0.,0.2,3.1,17.3
26,"Lynch, Paxton",DEN,NEP,QB,33.6,20.,232.7,1.,0.6,0.1,0.,0.1,0.1,0.2,0.8,2.5,2.2,4.1,0.,0.1,5.1,15.1
27,"McCown, Josh",NYJ,@TBB,QB,31.9,18.2,215.,1.2,0.4,0.3,0.2,0.1,0.1,0.,1.2,2.4,2.1,7.8,0.,0.3,3.,14.4
28,"Siemian, Trevor",DEN,NEP,QB,30.9,18.3,214.6,1.,0.5,0.1,0.1,0.1,0.1,0.2,0.9,2.6,2.1,4.3,0.,0.2,4.3,14.1
29,"Goff, Jared",LAR,HOU,QB,31.2,17.4,177.3,0.7,0.3,0.2,0.1,0.,0.,0.,1.1,3.4,1.7,2.9,0.1,0.2,3.9,10.9
30,"Kessler, Cody",CLE,@DET,QB,7.4,4.5,52.1,0.2,0.,0.1,0.,0.,0.,0.,0.2,1.,0.6,1.,0.,0.,1.1,3.1
31,"Fitzpatrick, Ryan",TBB,NYJ,QB,7.6,4.1,48.3,0.2,0.1,0.1,0.,0.,0.,0.,0.5,0.3,0.8,3.2,0.,0.,0.9,3.
32,"Moore, Matt",MIA,@CAR,QB,6.8,4.6,56.5,0.2,0.2,0.,0.,0.,0.,0.,0.2,0.9,0.2,0.3,0.,0.3,0.7,2.6
33,"Keenum, Case",MIN,@WAS,QB,7.,4.1,44.,0.1,0.,0.1,0.,0.,0.,0.,0.2,0.5,0.7,0.5,0.,0.,0.5,2.6
34,"McCarron, AJ",CIN,@TEN,QB,4.1,2.8,34.4,0.2,0.1,0.,0.,0.,0.,0.1,0.2,0.3,0.5,0.7,0.,0.,0.6,2.5
35,"Bridgewater, Teddy",MIN,@WAS,QB,4.8,3.2,32.7,0.1,0.,0.,0.,0.,0.,0.,0.1,0.7,0.9,1.4,0.,0.,1.1,2.1
