Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Reid, Andy",KCC,Bye,HC,1.,0.,34.,18.,26.4
2,"Del Rio, Jack",OAK,Bye,HC,1.,0.,31.,21.,25.8
3,"McCarthy, Mike",GBP,@CHI,HC,1.,0.,33.,16.,25.3
4,"Belichick, Bill",NEP,@DEN,HC,1.,0.,31.,18.,24.9
5,"Quinn, Dan",ATL,DAL,HC,1.,0.,33.,11.,23.8
6,"O'Brien, Bill",HOU,@LAR,HC,1.,0.,27.,17.,22.6
7,"Harbaugh, John",BAL,Bye,HC,1.,0.,29.,12.,22.1
8,"Caldwell, Jim",DET,CLE,HC,1.,0.,27.,14.,21.7
9,"Koetter, Dirk",TBB,NYJ,HC,1.,0.,28.,9.,20.7
10,"Rivera, Ron",CAR,MIA,HC,1.,0.,28.,9.,20.7
11,"Payton, Sean",NOR,@BUF,HC,1.,0.,29.,5.,20.
12,"McAdoo, Ben",NYG,@SFO,HC,1.,0.,25.,7.,18.6
13,"Gruden, Jay",WAS,MIN,HC,1.,0.,28.,1.,18.3
14,"Zimmer, Mike",MIN,@WAS,HC,1.,0.,27.,2.,18.1
15,"Lewis, Marvin",CIN,@TEN,HC,1.,0.,24.,7.,18.1
16,"Carroll, Pete",SEA,@ARZ,HC,1.,0.,24.,1.,16.3
17,"Arians, Bruce",ARZ,SEA,HC,0.,1.,23.,-1.,11.2
18,"Tomlin, Mike",PIT,@IND,HC,0.,1.,23.,-1.,11.2
19,"Campbell, Dan",MIA,@CAR,HC,0.,1.,22.,-4.,9.8
20,"McVay, Sean",LAR,HOU,HC,0.,1.,21.,-3.,9.6
21,"Fox, John",CHI,GBP,HC,0.,1.,24.,-9.,9.3
22,"Pagano, Chuck",IND,PIT,HC,0.,1.,21.,-5.,9.
23,"Pederson, Doug",PHI,Bye,HC,0.,1.,21.,-5.,9.
24,"Jackson, Hue",CLE,@DET,HC,0.,1.,21.,-6.,8.7
25,"Mularkey, Mike",TEN,CIN,HC,0.,1.,18.,-6.,7.2
26,"Garrett, Jason",DAL,@ATL,HC,0.,1.,20.,-13.,6.1
27,"Bowles, Todd",NYJ,@TBB,HC,0.,1.,16.,-12.,4.4
