Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Elliott, Ezekiel",DAL,@ATL,RB,20.1,101.3,0.8,0.6,0.1,0.,0.,0.,0.1,2.2,20.4,0.,0.1,0.,0.,0.5,0.1,2.7,17.2
2,"Johnson, David",ARZ,SEA,RB,15.7,64.7,0.8,0.6,0.1,0.,0.,0.,0.,4.4,46.1,0.2,0.2,0.1,0.,3.6,0.2,3.,16.9
3,"Bell, Le'Veon",PIT,@IND,RB,19.2,92.1,0.5,0.5,0.,0.,0.,0.,0.,3.9,29.7,0.1,0.1,0.1,0.,0.,0.1,2.8,16.
4,"McCoy, LeSean",BUF,NOR,RB,15.1,76.4,0.6,0.4,0.1,0.1,0.,0.,0.1,3.1,24.2,0.1,0.1,0.,0.,0.,0.1,3.6,14.1
5,"Ingram, Mark",NOR,@BUF,RB,13.8,68.4,0.5,0.3,0.1,0.,0.,0.,0.,3.4,25.1,0.1,0.1,0.1,0.,0.,0.,3.7,13.
6,"Howard, Jordan",CHI,GBP,RB,15.6,79.2,0.5,0.5,0.,0.,0.,0.,0.,1.9,18.3,0.1,0.1,0.,0.,0.,0.1,1.9,12.8
7,"Miller, Lamar",HOU,@LAR,RB,20.1,75.2,0.5,0.4,0.,0.,0.,0.,0.,2.5,14.9,0.1,0.1,0.,0.,0.,0.1,1.8,11.9
8,"Gordon, Melvin",LAC,@JAC,RB,16.9,63.6,0.4,0.4,0.,0.,0.,0.,0.,3.3,28.,0.1,0.1,0.1,0.,0.,0.3,2.9,11.2
9,"Cook, Dalvin",MIN,@WAS,RB,13.1,54.4,0.5,0.3,0.1,0.,0.,0.,0.,3.,20.7,0.1,0.1,0.,0.,0.,0.1,3.5,11.1
10,"McCaffrey, Christian",CAR,MIA,RB,14.5,58.2,0.5,0.4,0.1,0.,0.,0.,0.,2.5,19.6,0.1,0.,0.,0.,0.,0.1,3.7,11.1
11,"Murray, DeMarco",TEN,CIN,RB,14.6,60.6,0.4,0.3,0.,0.,0.,0.,0.1,2.6,18.8,0.1,0.1,0.,0.,1.,0.1,2.,10.9
12,"Freeman, Devonta",ATL,DAL,RB,11.2,50.6,0.5,0.4,0.,0.,0.,0.,0.,2.9,25.7,0.1,0.1,0.1,0.,0.,0.1,3.4,10.9
13,"Gurley, Todd",LAR,HOU,RB,16.7,62.9,0.5,0.4,0.,0.,0.,0.,0.,2.2,18.,0.,0.1,0.,0.,0.3,0.1,2.7,10.8
