"Rank","Player","Team","Opp","Position","Tgt","RZTgt","Rec","Rec Yds","Rec TDs","0-9 RecTDs","10-19 RecTDs","20-29 RecTDs","30-39 RecTDs","40-49 RecTDs","50+ RecTDs","Rush Yds","Rush TDs","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
61,"Fells, Darren","HOU","ATL","TE",1.1,0.3,0.6,5.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,1.1
62,"Sternberger, Jace","GBP","@DAL","TE",1.6,0.2,1.1,10.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,1.
63,"Yelder, Deon","KCC","IND","TE",1.5,0.2,0.6,7.,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,1.
64,"LaCosse, Matt","NEP","@WAS","TE",1.8,0.3,1.,10.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,1.
65,"Boyle, Nick","BAL","@PIT","TE",1.9,0.3,1.,10.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,1.
66,"Kendricks, Lance","NEP","@WAS","TE",1.4,0.1,1.,9.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.9
67,"Dwelley, Ross","SFO","CLE","TE",1.5,0.3,0.7,8.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,0.8
68,"Lewis, Marcedes","GBP","@DAL","TE",0.8,0.,0.5,6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.8
69,"Pruitt, MyCole","TEN","BUF","TE",0.5,0.1,0.4,6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.7
70,"Carrier, Derek","OAK","CHI","TE",1.,0.1,0.5,4.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.1,0.7
71,"Smith Jr., Irv","MIN","@NYG","TE",0.9,0.,0.7,5.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6
72,"Schultz, Dalton","DAL","GBP","TE",1.1,0.2,0.6,6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.6
73,"Butt, Jake","DEN","@LAC","TE",0.5,0.,0.3,4.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4
74,"Simonson, Scott","NYG","MIN","TE",0.6,0.3,0.3,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.2,0.4
75,"Conklin, Tyler","MIN","@NYG","TE",0.2,0.,0.1,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3
76,"Braunecker, Ben","CHI","@OAK","TE",0.3,0.,0.2,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3
77,"Bell, Blake","KCC","IND","TE",0.5,0.,0.3,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3
78,"Auclair, Antony","TBB","@NOS","TE",0.5,0.,0.3,2.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.,0.,0.,0.2
79,"Tonyan, Robert","GBP","@DAL","TE",0.2,0.,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2
80,"Manhertz, Chris","CAR","JAC","TE",0.2,0.1,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.2
81,"Moreau, Foster","OAK","CHI","TE",0.4,0.1,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1
82,"Izzo, Ryan","NEP","@WAS","TE",0.6,0.1,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
83,"Culkin, Sean","LAC","DEN","TE",0.1,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
84,"Sprinkle, Jeremy","WAS","NEP","TE",0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1
85,"Gathers, Rico","CLE","@SFO","TE",0.3,0.1,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
86,"Rodgers, Richard","PHI","NYJ","TE",0.2,0.,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
87,"Gentry, Zach","PIT","BAL","TE",0.3,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
88,"Oliver, Josh","JAC","@CAR","TE",0.7,0.1,0.,1.,0.,0.,0.,0.,0.,0.,0.,-0.1,0.,0.,0.,0.,0.1,0.
89,"Sample, Drew","CIN","ARZ","TE",0.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
90,"Brown, Pharaoh","CLE","@SFO","TE",0.2,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.
91,"Mundt, Johnny","LAR","@SEA","TE",0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
92,"Fumagalli, Troy","DEN","@LAC","TE",0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"","","","","","","","","","","","","","","","","","","","","","",""
