"Rank","Player","Team","Opp","Position","XP","XPA","FG","Att","10-19","20-29","30-39","40-49","50+","Miss","Pts"
1,"Zuerlein, Greg","LAR","@SEA","K",3.1,3.2,2.5,2.9,0.,0.8,0.8,0.4,0.4,0.4,10.9
2,"Gould, Robbie","SFO","CLE","K",1.9,2.,2.4,2.4,0.,0.6,0.9,0.8,0.2,0.1,9.9
3,"Lutz, Wil","NOS","TBB","K",3.2,3.3,1.8,2.,0.,0.4,0.5,0.7,0.2,0.2,9.1
4,"Elliott, Jake","PHI","NYJ","K",2.5,2.8,1.8,2.,0.,0.4,0.5,0.6,0.2,0.2,8.4
5,"Tucker, Justin","BAL","@PIT","K",2.2,2.2,2.,2.3,0.,0.6,0.6,0.5,0.3,0.3,8.3
6,"Butker, Harrison","KCC","IND","K",3.,3.2,1.6,1.8,0.,0.4,0.7,0.4,0.2,0.2,7.9
7,"Bryant, Matt","ATL","@HOU","K",2.2,2.2,1.6,1.8,0.,0.3,0.4,0.5,0.3,0.1,7.7
8,"Gostkowski, Stephen","NEP","@WAS","K",2.9,3.,1.7,2.,0.,0.6,0.6,0.4,0.1,0.3,7.6
9,"Fairbairn, Ka'imi","HOU","ATL","K",2.1,2.3,1.7,2.,0.,0.4,0.6,0.5,0.2,0.3,7.2
10,"Myers, Jason","SEA","LAR","K",2.2,2.4,1.5,1.7,0.,0.2,0.6,0.5,0.3,0.2,7.1
11,"Boswell, Chris","PIT","BAL","K",2.5,2.7,1.5,1.8,0.,0.4,0.5,0.5,0.1,0.3,6.7
12,"Rosas, Aldrick","NYG","MIN","K",1.7,1.8,1.6,1.8,0.,0.5,0.5,0.3,0.2,0.2,6.5
13,"Hauschka, Steven","BUF","@TEN","K",1.7,1.8,1.6,1.9,0.,0.3,0.6,0.4,0.3,0.3,6.4
14,"Badgley, Mike","LAC","DEN","K",2.1,2.3,1.4,1.7,0.,0.4,0.4,0.5,0.1,0.3,6.3
15,"Carlson, Daniel","OAK","CHI","K",1.7,1.8,1.4,1.6,0.,0.2,0.2,0.7,0.2,0.2,6.3
16,"Crosby, Mason","GBP","@DAL","K",2.1,2.2,1.4,1.6,0.,0.3,0.4,0.5,0.2,0.2,6.3
17,"Slye, Joey","CAR","JAC","K",2.,2.2,1.2,1.3,0.,0.3,0.4,0.3,0.2,0.1,6.
18,"Lambo, Josh","JAC","@CAR","K",1.6,1.7,1.4,1.6,0.,0.2,0.6,0.4,0.2,0.2,6.
19,"Vinatieri, Adam","IND","@KCC","K",2.,2.2,1.3,1.5,0.,0.5,0.3,0.3,0.2,0.3,5.8
20,"Bullock, Randy","CIN","ARZ","K",2.1,2.2,1.2,1.4,0.,0.3,0.5,0.3,0.1,0.2,5.7
21,"Succop, Ryan","TEN","BUF","K",1.6,1.7,1.5,1.8,0.,0.3,0.6,0.5,0.1,0.3,5.7
22,"Catanzaro, Chandler","Ret","Bye","K",1.7,2.,1.3,1.5,0.,0.3,0.5,0.2,0.2,0.2,5.6
23,"Hopkins, Dustin","WAS","NEP","K",1.5,1.5,1.4,1.6,0.,0.4,0.3,0.5,0.1,0.3,5.6
24,"Maher, Brett","DAL","GBP","K",2.,2.1,1.4,1.9,0.,0.5,0.3,0.3,0.2,0.5,5.5
25,"Gonzalez, Zane","ARZ","@CIN","K",1.3,1.5,1.3,1.6,0.,0.2,0.5,0.3,0.3,0.3,4.9
26,"Gay, Matt","TBB","@NOS","K",2.1,2.2,1.3,1.8,0.,0.3,0.6,0.3,0.1,0.5,4.8
27,"Janikowski, Sebastian","Ret","Bye","K",2.1,2.2,1.,1.3,0.,0.1,0.3,0.4,0.2,0.3,4.8
28,"McManus, Brandon","DEN","@LAC","K",1.8,1.8,1.2,1.6,0.,0.3,0.4,0.3,0.1,0.4,4.6
29,"Seibert, Austin","CLE","@SFO","K",1.6,1.9,0.9,1.2,0.,0.2,0.4,0.3,0.1,0.3,3.9
30,"Pineiro, Eddy","CHI","@OAK","K",1.5,1.6,0.9,1.2,0.,0.3,0.3,0.4,0.,0.3,3.8
31,"Bailey, Dan","MIN","@NYG","K",1.8,1.9,1.2,1.8,0.,0.3,0.6,0.2,0.1,0.6,3.8
"","","","","","","","","","","","","","","",""
