"Rank","Player","Team","Opp","Position","PUNTS","PUNT_YDS","PUNT_RETURN_YD","PUNT_INSIDE20","Pts"
1,"Lee, Andy","ARZ","@CIN","P",5.8,280.,23.,2.2,19.7
2,"Cooke, Logan","JAC","@CAR","P",5.5,249.,14.,2.2,17.8
3,"Way, Tress","WAS","NEP","P",5.1,234.,24.,2.3,17.4
4,"Edwards, Lachlan","NYJ","@PHI","P",5.5,252.,25.,1.7,17.
5,"Kern, Brett","TEN","BUF","P",4.7,226.,18.,2.3,16.6
6,"Daniel, Trevor","HOU","ATL","P",4.9,220.,20.,2.2,16.5
7,"Dickson, Michael","SEA","LAR","P",5.1,245.,26.,1.6,16.1
8,"Wadman, Colby","DEN","@LAC","P",5.2,232.,22.,1.7,16.
9,"Huber, Kevin","CIN","ARZ","P",5.,228.,19.,1.8,15.8
10,"Bojorquez, Corey","BUF","@TEN","P",5.,219.,17.,1.9,15.4
11,"Wile, Matt","MIN","@NYG","P",4.6,208.,13.,1.7,14.5
12,"Koch, Sam","BAL","@PIT","P",4.3,201.,21.,1.9,14.5
13,"Sanchez, Rigoberto","IND","@KCC","P",4.4,199.,5.,1.7,14.
14,"O'Donnell, Pat","CHI","@OAK","P",4.2,184.,9.,2.1,14.
15,"Dixon, Riley","NYG","MIN","P",4.6,207.,11.,1.3,13.7
16,"Scott, J.K.","GBP","@DAL","P",4.5,202.,14.,1.1,13.2
17,"Cole, A.J.","OAK","CHI","P",4.3,191.,14.,1.4,13.1
18,"Johnston, Cam","PHI","NYJ","P",3.9,186.,11.,1.6,13.1
19,"Palardy, Michael","CAR","JAC","P",4.1,185.,12.,1.4,12.9
20,"Wishnowsky, Mitch","SFO","CLE","P",4.1,181.,10.,1.5,12.7
21,"Long, Ty","LAC","DEN","P",4.,181.,17.,1.4,12.5
22,"Berry, Jordan","PIT","BAL","P",3.8,165.,16.,1.8,12.5
23,"Hekker, Johnny","LAR","@SEA","P",3.5,166.,7.,1.7,12.3
24,"Bosher, Matt","ATL","@HOU","P",4.,181.,11.,1.4,12.2
25,"Jones, Chris","DAL","GBP","P",3.9,171.,12.,1.3,12.
26,"Bailey, Jake","NEP","@WAS","P",3.7,162.,11.,1.3,11.5
27,"Pinion, Bradley","TBB","@NOS","P",3.9,173.,14.,1.1,11.2
28,"Morstead, Thomas","NOS","TBB","P",3.3,151.,7.,1.2,10.7
29,"Colquitt, Dustin","KCC","IND","P",3.3,146.,9.,1.4,10.5
"","","","","","","","","",""
