Rank,Player,Team,Opp,Position,Yds Allowed,Pts Agn,Scks,Int,Fum,DefTD,Safts,Pts
1,"Bills, Buffalo",BUF,@HOU,D,199.,11.8,2.9,1.4,0.,0.2,0.,17.3
2,"Chargers, Los Angeles",LAC,@CLE,D,248.3,11.6,2.8,1.7,0.9,0.3,0.,17.2
3,"Vikings, Minnesota",MIN,ARZ,D,146.7,9.5,2.5,1.5,0.2,0.1,0.3,16.8
4,"Jaguars, Jacksonville",JAC,@DAL,D,247.9,15.7,3.5,1.2,0.7,0.4,0.,16.5
5,"Rams, Los Angeles",LAR,@DEN,D,268.,19.,3.5,0.9,0.4,0.3,0.1,14.3
6,"Ravens, Baltimore",BAL,@TEN,D,317.7,19.5,2.5,1.2,0.9,0.3,0.,13.4
7,"Eagles, Philadelphia",PHI,@NYG,D,339.2,15.,1.5,0.8,1.2,0.4,0.,13.3
8,"Steelers, Pittsburgh",PIT,@CIN,D,278.1,21.2,4.,1.1,0.3,0.1,0.,13.2
9,"Falcons, Atlanta",ATL,TBB,D,293.,13.6,2.1,0.7,0.8,0.,0.,12.5
10,"49ers, San Francisco",SFO,@GBP,D,282.1,19.4,1.8,0.8,0.7,0.2,0.,12.4
11,"Bears, Chicago",CHI,@MIA,D,308.5,16.6,2.2,0.7,0.9,0.3,0.,12.3
12,"Panthers, Carolina",CAR,@WAS,D,374.1,25.,2.6,0.8,0.9,0.4,0.,11.3
13,"Seahawks, Seattle",SEA,@OAK,D,307.7,22.1,2.1,0.8,0.6,0.4,0.1,11.3
14,"Texans, Houston",HOU,BUF,D,262.4,19.2,2.3,0.6,0.6,0.,0.,11.1
15,"Raiders, Oakland",OAK,SEA,D,312.2,21.,2.7,0.8,0.5,0.,0.,10.3
16,"Jets, New York",NYJ,IND,D,265.4,19.2,2.3,0.2,0.5,0.,0.,10.1
17,"Colts, Indianapolis",IND,@NYJ,D,285.4,17.1,1.3,0.8,0.3,0.,0.2,9.9
18,"Broncos, Denver",DEN,LAR,D,307.5,23.2,1.5,0.7,0.6,0.3,0.,9.6
19,"Dolphins, Miami",MIA,CHI,D,324.,24.2,2.,0.7,0.2,0.3,0.2,9.5
20,"Cardinals, Arizona",ARZ,@MIN,D,325.9,22.5,1.6,0.7,0.6,0.1,0.,9.
21,"Cowboys, Dallas",DAL,JAC,D,333.3,20.,1.2,0.6,0.4,0.1,0.,8.8
22,"Buccaneers, Tampa Bay",TBB,@ATL,D,388.2,26.1,1.5,0.7,0.5,0.2,0.,8.3
23,"Chiefs, Kansas City",KCC,@NEP,D,433.9,24.3,1.3,0.9,0.6,0.1,0.,7.2
24,"Patriots, New England",NEP,KCC,D,394.8,22.2,3.5,0.3,0.,0.,0.1,7.1
25,"Giants, New York",NYG,PHI,D,459.6,27.4,1.3,1.,0.2,0.1,0.,6.3
26,"Titans, Tennessee",TEN,BAL,D,441.8,26.6,2.8,0.2,0.1,0.1,0.,5.7
27,"Packers, Green Bay",GBP,SFO,D,423.8,29.6,2.5,0.4,0.3,0.1,0.,5.6
28,"Redskins, Washington",WAS,CAR,D,482.1,28.8,1.9,0.6,0.4,0.1,0.,5.2
29,"Bengals, Cincinnati",CIN,PIT,D,429.4,28.7,1.8,0.6,0.2,0.1,0.,5.2
30,"Browns, Cleveland",CLE,LAC,D,393.6,28.4,2.,0.2,0.2,0.,0.,4.9
