Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Lee, Andy",ARZ,@MIN,P,5.8,273.6,31.2,1.8,18.4
2,"Hekker, Johnny",LAR,@DEN,P,4.9,235.4,10.,2.5,17.9
3,"Koch, Sam",BAL,@TEN,P,5.1,231.4,20.3,2.5,17.4
4,"Edwards, Lachlan",NYJ,IND,P,5.6,251.8,28.,1.8,17.3
5,"Huber, Kevin",CIN,PIT,P,5.4,248.6,24.4,1.7,16.7
6,"Daniel, Trevor",HOU,BUF,P,4.9,236.2,31.9,1.9,16.5
7,"Kern, Brett",TEN,BAL,P,4.8,224.6,19.2,1.9,16.1
8,"Pinion, Bradley",SFO,@GBP,P,5.2,228.9,14.9,1.8,16.1
9,"Haack, Matt",MIA,CHI,P,5.1,227.7,14.7,1.8,16.
10,"O'Donnell, Pat",CHI,@MIA,P,5.,230.,25.,1.6,15.7
11,"Dickson, Michael",SEA,@OAK,P,5.1,228.6,23.5,1.6,15.5
12,"Cooke, Logan",JAC,@DAL,P,5.,222.1,16.3,1.6,15.2
13,"Townsend, Johnny",OAK,SEA,P,4.5,209.6,16.2,1.8,14.9
14,"Dixon, Riley",NYG,PHI,P,5.1,227.9,19.3,1.4,14.6
15,"Palardy, Michael",CAR,@WAS,P,4.6,207.1,14.1,1.6,14.5
16,"Colquitt, Dustin",KCC,@NEP,P,4.3,195.3,10.3,1.9,14.4
17,"Sanchez, Rigoberto",IND,@NYJ,P,4.7,213.2,5.4,1.5,14.4
18,"Way, Tress",WAS,CAR,P,4.5,204.8,23.9,1.6,14.3
19,"Wile, Matt",MIN,ARZ,P,4.6,191.7,13.2,1.8,14.1
20,"Kaser, Drew",LAC,@CLE,P,4.1,196.9,17.8,1.5,13.7
21,"Bojorquez, Corey",BUF,@HOU,P,4.5,196.7,13.9,1.4,13.5
22,"Anger, Bryan",TBB,@ATL,P,4.1,182.5,8.1,1.8,13.4
23,"King, Marquette",DEN,LAR,P,4.2,193.9,12.7,1.5,13.4
24,"Jones, Chris",DAL,JAC,P,3.9,175.9,7.2,1.9,13.1
25,"Colquitt, Britton",CLE,LAC,P,4.1,189.3,20.7,1.2,12.6
26,"Allen, Ryan",NEP,KCC,P,3.9,168.5,6.1,1.5,12.2
27,"Johnston, Cam",PHI,@NYG,P,3.9,177.7,10.5,1.2,11.9
28,"Berry, Jordan",PIT,@CIN,P,3.7,162.1,11.,1.4,11.6
29,"Scott, J.K.",GBP,SFO,P,3.9,170.,10.7,1.1,11.4
30,"Bosher, Matt",ATL,TBB,P,3.4,151.6,12.,1.4,11.
