Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Hekker, Johnny",LAR,SFO,P,6.2,299.2,13.5,2.9,22.1
2,"Pinion, Bradley",SFO,@LAR,P,6.3,274.9,18.5,1.9,18.8
3,"King, Marquette",OAK,@LAC,P,5.3,250.,19.8,2.3,18.
4,"Wing, Brad",NYG,WAS,P,5.8,262.4,21.5,1.8,18.
5,"Dixon, Riley",DEN,KCC,P,5.5,249.7,17.5,1.7,17.
6,"Lechler, Shane",HOU,@IND,P,5.2,243.4,31.1,1.8,16.8
7,"Kern, Brett",TEN,JAC,P,5.1,230.,25.8,2.1,16.7
8,"Haack, Matt",MIA,BUF,P,5.2,231.5,21.6,1.9,16.4
9,"Koch, Sam",BAL,CIN,P,4.7,217.4,16.5,2.1,16.1
10,"Colquitt, Dustin",KCC,@DEN,P,4.5,198.7,9.4,2.3,15.4
11,"Allen, Ryan",NEP,NYJ,P,4.6,207.3,14.8,1.7,14.7
12,"Nortman, Brad",JAC,@TEN,P,4.5,209.7,19.1,1.6,14.6
13,"Huber, Kevin",CIN,@BAL,P,4.6,213.3,19.,1.4,14.5
14,"Palardy, Michael",CAR,@ATL,P,4.6,200.5,17.,1.7,14.4
15,"Anger, Bryan",TBB,NOR,P,4.1,186.3,7.1,2.1,14.4
16,"Colquitt, Britton",CLE,@PIT,P,4.8,214.8,21.3,1.3,14.4
17,"Jones, Donnie",PHI,DAL,P,4.4,207.,11.9,1.5,14.1
18,"Edwards, Lachlan",NYJ,@NEP,P,4.7,205.8,21.6,1.5,14.
19,"Martin, Sam",DET,GBP,P,4.3,205.2,14.5,1.4,14.
20,"Schmidt, Colton",BUF,@MIA,P,4.8,206.,19.1,1.2,13.6
21,"O'Donnell, Pat",CHI,@MIN,P,4.3,188.7,15.1,1.6,13.4
22,"Quigley, Ryan",MIN,CHI,P,4.4,183.,14.1,1.7,13.2
23,"Ryan, Jon",SEA,ARZ,P,4.1,179.,15.1,1.4,12.5
24,"Jones, Chris",DAL,@PHI,P,3.7,171.,8.8,1.6,12.1
25,"Berry, Jordan",PIT,CLE,P,3.9,173.8,14.2,1.4,12.1
26,"Morstead, Thomas",NOR,@TBB,P,3.6,170.5,14.2,1.4,12.
27,"Kaser, Drew",LAC,OAK,P,3.9,182.5,21.7,1.1,12.
28,"Way, Tress",WAS,@NYG,P,3.7,171.7,14.5,1.2,11.8
29,"Vogel, Justin",GBP,@DET,P,3.9,168.7,8.5,1.2,11.6
30,"Bosher, Matt",ATL,CAR,P,3.2,146.6,13.3,1.5,11.
31,"Wile, Matt",ARZ,@SEA,P,3.9,168.8,18.5,1.,10.7
