Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
102,"Ervin, Tyler",HOU,@IND,RB,0.7,2.9,0.,0.,0.,0.,0.,0.,0.,0.2,1.1,0.,0.,0.,7.5,13.7,0.,0.3,0.4
103,"Cohen, Tarik",CHI,@MIN,RB,0.8,1.7,0.,0.,0.,0.,0.,0.,0.,0.2,1.6,0.,0.,0.,0.,1.,0.,0.1,0.3
104,"Muhammad, Khalfani",TEN,JAC,RB,0.6,1.6,0.,0.,0.,0.,0.,0.,0.,0.1,1.1,0.,0.,0.,1.9,4.1,0.,0.2,0.3
105,"Watson, Terrell",PIT,CLE,RB,0.3,0.7,0.,0.,0.,0.,0.,0.,0.,0.2,0.7,0.,0.,0.,0.,1.7,0.,0.1,0.3
106,"McGuire, Elijah",NYJ,@NEP,RB,1.6,3.7,0.,0.,0.,0.,0.,0.,0.,0.,0.5,0.,0.,0.,0.,4.6,0.1,0.4,0.2
107,"Gallman, Wayne",NYG,WAS,RB,1.,2.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,0.,0.3,0.2
108,"Davis, Justin",LAR,SFO,RB,1.1,2.9,0.,0.,0.,0.,0.,0.,0.,0.1,0.6,0.,0.,0.,0.,11.8,0.1,0.2,0.2
109,"Ham, C.J.",MIN,CHI,RB,0.7,1.4,0.,0.,0.,0.,0.,0.,0.,0.2,0.9,0.,0.,0.,0.,1.,0.,0.2,0.2
110,"Brown, Mack",WAS,@NYG,RB,0.2,1.1,0.,0.,0.,0.,0.,0.,0.,0.,0.2,0.,0.,0.,0.,0.,0.,0.,0.2
111,"Jones, Taiwan",BUF,@MIA,RB,0.5,0.9,0.,0.,0.,0.,0.,0.,0.,0.2,1.5,0.,0.,0.,0.,4.3,0.,0.1,0.2
112,"Todman, Jordan",HOU,@IND,RB,0.4,1.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.5,24.3,0.,0.,0.1
113,"Mizzell, Taquan",CHI,@MIN,RB,0.3,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,12.3,0.,0.,0.1
114,"Carson, Chris",SEA,ARZ,RB,0.3,0.7,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.1
115,"Hill, Brian",ATL,CAR,RB,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.8,0.,0.,0.,0.,0.3,0.,0.1,0.1
116,"Dayes, Matthew",CLE,@PIT,RB,0.5,1.,0.,0.,0.,0.,0.,0.,0.,0.3,1.6,0.,0.,0.,0.,12.7,0.1,0.3,0.
117,"Smith, Rod",DAL,@PHI,RB,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.1,0.4,0.,0.,0.,0.,0.,0.,0.,0.
118,"Smith, Keith",DAL,@PHI,RB,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.4,0.,0.,0.,0.,0.,0.,0.,0.
119,"Pumphrey, Donnel",PHI,DAL,RB,0.7,1.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-0.1,6.6,0.1,0.,0.
120,"Sherman, Anthony",KCC,@DEN,RB,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,0.3,0.,0.,0.,0.,0.,0.,0.,0.
121,"Winn, George",NYG,WAS,RB,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
122,"Hilliard, Kenny",HOU,@IND,RB,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,8.7,7.7,0.,0.,0.
123,"Penny, Elijhaa",ARZ,@SEA,RB,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.4,0.,0.,0.
124,"Mays, Devante",GBP,@DET,RB,0.3,-0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
