Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Lewis, Marvin",CIN,CLE,HC,1.,0.,34.,21.,27.3
2,"Zimmer, Mike",MIN,GBP,HC,1.,0.,35.,10.,24.5
3,"Pederson, Doug",PHI,NYG,HC,1.,0.,32.,15.,24.5
4,"Belichick, Bill",NEP,@NYJ,HC,1.,0.,33.,10.,23.5
5,"Rivera, Ron",CAR,SEA,HC,1.,0.,30.,11.,22.3
6,"Lynn, Anthony",LAC,ARZ,HC,1.,0.,30.,9.,21.7
7,"Vrabel, Mike",TEN,@HOU,HC,1.,0.,29.,10.,21.5
8,"Reich, Frank",IND,MIA,HC,1.,0.,27.,11.,20.8
9,"Harbaugh, John",BAL,OAK,HC,1.,0.,31.,4.,20.7
10,"Payton, Sean",NOR,ATL,HC,1.,0.,28.,5.,19.5
11,"Tomlin, Mike",PIT,@DEN,HC,1.,0.,27.,6.,19.3
12,"O'Brien, Bill",HOU,TEN,HC,1.,0.,28.,4.,19.2
13,"Patricia, Matt",DET,CHI,HC,1.,0.,25.,8.,18.9
14,"Koetter, Dirk",TBB,SFO,HC,1.,0.,26.,6.,18.8
15,"Garrett, Jason",DAL,WAS,HC,1.,0.,24.,4.,17.2
16,"Marrone, Doug",JAC,@BUF,HC,1.,0.,24.,1.,16.3
17,"Joseph, Vance",DEN,PIT,HC,0.,1.,26.,-1.,12.7
18,"Carroll, Pete",SEA,@CAR,HC,0.,1.,24.,-4.,10.8
19,"Jackson, Hue",CLE,@CIN,HC,0.,1.,21.,-4.,9.3
20,"Campbell, Dan",MIA,@IND,HC,0.,1.,21.,-6.,8.7
21,"Shanahan, Kyle",SFO,@TBB,HC,0.,1.,20.,-6.,8.2
22,"McDermott, Sean",BUF,JAC,HC,0.,1.,19.,-5.,8.
23,"Shurmer, Pat",NYG,@PHI,HC,0.,1.,21.,-11.,7.2
24,"Gruden, Jay",WAS,@DAL,HC,0.,1.,18.,-8.,6.6
25,"Quinn, Dan",ATL,@NOR,HC,0.,1.,21.,-14.,6.3
26,"Nagy, Matt",CHI,@DET,HC,0.,1.,17.,-8.,6.1
27,"Bowles, Todd",NYJ,NEP,HC,0.,1.,20.,-13.,6.1
28,"Gruden, Jon",OAK,@BAL,HC,0.,1.,18.,-15.,4.5
29,"McCarthy, Mike",GBP,@MIN,HC,0.,1.,18.,-17.,3.9
30,"Wilks, Steve",ARZ,@LAC,HC,0.,1.,14.,-16.,2.2
