Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Tucker, Justin",BAL,OAK,K,2.6,2.6,2.6,2.7,0.,0.4,0.8,0.9,0.5,0.1,11.8
2,"Gould, Robbie",SFO,@TBB,K,2.,2.2,2.1,2.3,0.,0.4,0.6,0.9,0.2,0.1,9.3
3,"Prater, Matt",DET,CHI,K,2.3,2.3,2.,2.3,0.1,0.5,0.5,0.5,0.5,0.3,8.9
4,"Gano, Graham",CAR,SEA,K,2.2,2.4,2.,2.2,0.,0.5,0.7,0.7,0.1,0.2,8.8
5,"Succop, Ryan",TEN,@HOU,K,2.5,2.6,1.9,2.2,0.,0.5,0.5,0.8,0.2,0.2,8.8
6,"Elliott, Jake",PHI,NYG,K,2.4,2.6,1.8,2.1,0.,0.5,0.4,0.6,0.3,0.3,8.3
7,"Lutz, Wil",NOR,ATL,K,2.9,3.1,1.7,2.,0.,0.4,0.3,0.6,0.2,0.3,8.2
8,"Bryant, Matt",ATL,@NOR,K,2.3,2.3,1.8,2.,0.,0.4,0.5,0.4,0.4,0.2,8.2
9,"Boswell, Chris",PIT,@DEN,K,2.4,2.5,1.8,2.,0.,0.4,0.7,0.5,0.2,0.2,8.1
10,"Vinatieri, Adam",IND,MIA,K,2.1,2.1,1.9,2.1,0.,0.5,0.5,0.5,0.4,0.3,8.1
11,"Lambo, Josh",JAC,@BUF,K,2.5,2.7,1.7,1.9,0.,0.2,0.7,0.6,0.2,0.2,7.9
12,"Maher, Brett",DAL,WAS,K,2.8,2.8,1.7,2.,0.1,0.5,0.5,0.5,0.2,0.4,7.5
13,"Carlson, Daniel",MIN,GBP,K,2.1,2.4,1.8,2.,0.,0.5,0.6,0.4,0.2,0.3,7.3
14,"Gostkowski, Stephen",NEP,@NYJ,K,2.4,2.6,1.6,1.9,0.,0.6,0.4,0.5,0.1,0.3,7.1
15,"Hauschka, Steven",BUF,JAC,K,1.6,1.8,1.7,2.,0.,0.5,0.7,0.4,0.2,0.3,6.9
16,"Myers, Jason",NYJ,NEP,K,1.8,1.8,1.8,2.3,0.,0.5,0.4,0.7,0.1,0.5,6.5
17,"Dawson, Phil",ARZ,@LAC,K,1.5,1.7,1.7,2.2,0.1,0.3,0.6,0.5,0.2,0.4,6.2
18,"Catanzaro, Chandler",TBB,SFO,K,1.7,1.7,1.5,1.9,0.,0.4,0.4,0.6,0.1,0.4,5.8
19,"Bullock, Randy",CIN,CLE,K,2.,2.2,1.2,1.4,0.,0.4,0.5,0.3,0.,0.2,5.5
20,"McManus, Brandon",DEN,PIT,K,1.7,1.7,1.5,1.9,0.,0.3,0.6,0.3,0.2,0.4,5.5
21,"Hopkins, Dustin",WAS,@DAL,K,1.9,2.1,1.5,2.,0.,0.7,0.4,0.3,0.1,0.5,5.4
22,"Nugent, Mike",OAK,@BAL,K,1.8,2.1,1.2,1.5,0.,0.3,0.4,0.4,0.1,0.2,5.4
23,"Parkey, Cody",CHI,@DET,K,1.7,1.9,1.2,1.4,0.,0.4,0.3,0.4,0.1,0.2,5.3
24,"Crosby, Mason",GBP,@MIN,K,2.2,2.3,1.1,1.4,0.,0.4,0.4,0.3,0.1,0.3,5.2
25,"Sanders, Jason",MIA,@IND,K,2.,2.1,1.1,1.3,0.,0.4,0.4,0.3,0.,0.2,5.2
26,"Fairbairn, Ka'imi",HOU,TEN,K,1.6,1.7,1.2,1.6,0.,0.3,0.4,0.3,0.2,0.4,4.8
27,"Gonzalez, Zane",CLE,@CIN,K,1.5,1.6,1.,1.3,0.,0.3,0.3,0.3,0.1,0.2,4.3
28,"Janikowski, Sebastian",SEA,@CAR,K,1.9,1.9,0.9,1.1,0.,0.2,0.3,0.3,0.,0.3,3.9
29,"Rosas, Aldrick",NYG,@PHI,K,1.3,1.5,1.,1.4,0.,0.5,0.2,0.3,0.1,0.4,3.8
30,"Sturgis, Caleb",LAC,ARZ,K,1.4,1.6,1.,1.4,0.,0.5,0.2,0.2,0.1,0.4,3.3
