Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Elliott, Ezekiel",DAL,WAS,RB,22.2,102.8,0.8,0.5,0.2,0.,0.,0.,0.1,2.6,27.6,0.1,0.1,0.1,0.,0.,0.,1.9,18.7
2,"Johnson, David",ARZ,@LAC,RB,18.3,76.3,0.8,0.6,0.,0.1,0.,0.,0.,4.6,46.7,0.1,0.2,0.1,0.2,1.1,0.2,2.2,17.6
3,"Fournette, Leonard",JAC,@BUF,RB,22.2,85.9,0.8,0.7,0.1,0.,0.,0.,0.1,3.3,27.1,0.1,0.1,0.1,0.,1.7,0.,1.9,16.6
4,"Bell, Le'Veon",PIT,@DEN,RB,15.9,68.8,0.5,0.4,0.1,0.,0.,0.,0.,4.4,35.2,0.2,0.1,0.1,0.,0.,0.1,1.4,14.
5,"Kamara, Alvin",NOR,ATL,RB,9.4,47.,0.6,0.4,0.,0.1,0.,0.,0.,4.2,42.,0.2,0.2,0.1,0.,22.9,0.1,1.8,13.5
6,"Howard, Jordan",CHI,@DET,RB,18.8,84.8,0.6,0.4,0.1,0.1,0.,0.,0.,1.6,12.7,0.,0.1,0.,0.,0.,0.,1.5,13.1
7,"Cook, Dalvin",MIN,GBP,RB,14.1,62.,0.6,0.5,0.,0.,0.,0.,0.,3.3,25.8,0.1,0.1,0.1,0.,1.,0.1,1.8,12.6
8,"Michel, Sony",NEP,@NYJ,RB,10.8,43.9,0.7,0.6,0.1,0.,0.,0.,0.,2.6,20.8,0.3,0.1,0.,0.,5.7,0.,2.,12.2
9,"Mixon, Joe",CIN,CLE,RB,17.,65.4,0.5,0.3,0.1,0.,0.,0.,0.,3.1,29.3,0.,0.1,0.1,0.,0.,0.1,1.5,12.
10,"Freeman, Devonta",ATL,@NOR,RB,12.9,53.3,0.5,0.4,0.,0.,0.1,0.,0.,2.8,26.,0.1,0.1,0.1,0.,0.,0.1,1.7,11.9
11,"Barkley, Saquon",NYG,@PHI,RB,15.7,68.9,0.3,0.2,0.,0.,0.,0.,0.1,4.3,26.3,0.1,0.1,0.1,0.,1.2,0.1,1.1,11.7
12,"McCaffrey, Christian",CAR,SEA,RB,9.2,35.6,0.2,0.2,0.,0.,0.,0.,0.,4.6,41.4,0.3,0.2,0.1,7.1,2.2,0.1,1.1,10.9
13,"Lynch, Marshawn",OAK,@BAL,RB,14.,62.9,0.5,0.3,0.,0.2,0.,0.,0.1,2.,15.1,0.,0.1,0.,0.2,0.,0.1,1.3,10.9
14,"Ajayi, Jay",PHI,NYG,RB,17.5,76.,0.2,0.1,0.,0.,0.,0.1,0.,2.4,20.8,0.1,0.1,0.,0.2,0.,0.2,0.9,10.9
15,"Ingram, Mark",NOR,ATL,RB,11.6,51.6,0.5,0.4,0.,0.1,0.,0.,0.,3.1,23.9,0.,0.1,0.,0.,4.1,0.1,1.3,10.8
16,"McCoy, LeSean",BUF,JAC,RB,12.8,57.8,0.4,0.2,0.,0.1,0.,0.,0.,2.7,21.3,0.1,0.1,0.,0.,0.,0.,1.4,10.7
17,"Gordon, Melvin",LAC,ARZ,RB,13.3,52.8,0.4,0.3,0.1,0.,0.,0.,0.,2.4,22.3,0.1,0.1,0.,0.,0.,0.1,1.5,10.6
18,"Burkhead, Rex",NEP,@NYJ,RB,6.3,27.2,0.6,0.5,0.1,0.,0.,0.,0.,2.6,25.9,0.2,0.1,0.1,0.,2.1,0.,1.5,10.2
19,"Williams, Jamaal",GBP,@MIN,RB,12.8,50.5,0.3,0.3,0.,0.,0.,0.,0.,2.,18.8,0.2,0.1,0.,0.,0.6,0.,1.1,10.
20,"Henry, Derrick",TEN,@HOU,RB,13.,55.2,0.5,0.3,0.1,0.,0.,0.,0.1,1.1,12.5,0.1,0.1,0.,0.,0.1,0.,1.4,9.9
21,"Mack, Marlon",IND,MIA,RB,12.6,48.8,0.3,0.2,0.,0.1,0.,0.,0.,2.1,19.7,0.2,0.1,0.,0.,2.3,0.,1.1,9.8
22,"Coleman, Tevin",ATL,@NOR,RB,10.6,44.6,0.3,0.2,0.,0.,0.,0.,0.,1.9,18.4,0.3,0.1,0.,0.,0.,0.,1.1,9.8
23,"Miller, Lamar",HOU,TEN,RB,15.6,58.9,0.3,0.3,0.,0.,0.,0.,0.,2.2,16.8,0.1,0.1,0.,0.,0.,0.,0.9,9.8
24,"Drake, Kenyan",MIA,@IND,RB,12.6,59.5,0.3,0.1,0.,0.,0.,0.1,0.1,2.3,17.1,0.1,0.1,0.,0.,0.,0.1,1.,9.6
25,"Lewis, Dion",TEN,@HOU,RB,10.6,48.1,0.4,0.3,0.,0.,0.,0.,0.,1.7,13.4,0.2,0.1,0.,0.,20.,0.,1.2,9.4
26,"Collins, Alex",BAL,OAK,RB,12.5,53.6,0.4,0.3,0.1,0.,0.,0.,0.,2.2,15.5,0.,0.1,0.,0.,1.5,0.1,1.,9.4
27,"Johnson, Kerryon",DET,CHI,RB,9.,32.9,0.4,0.3,0.,0.,0.,0.,0.,3.3,26.4,0.2,0.1,0.1,0.,2.3,0.1,1.,9.3
28,"Hyde, Carlos",CLE,@CIN,RB,11.1,46.3,0.4,0.3,0.,0.,0.,0.,0.,3.,21.,0.,0.1,0.,0.,0.,0.1,1.4,8.9
29,"Morris, Alfred",SFO,@TBB,RB,12.7,53.7,0.3,0.3,0.,0.,0.,0.,0.,2.,11.6,0.,0.,0.,0.,0.,0.1,1.4,8.5
30,"Johnson, Duke",CLE,@CIN,RB,5.3,21.6,0.2,0.1,0.1,0.,0.,0.,0.,4.6,41.1,0.2,0.2,0.1,1.1,11.,0.1,0.7,8.5
31,"Peterson, Adrian",WAS,@DAL,RB,13.3,46.9,0.2,0.1,0.,0.,0.,0.,0.,2.7,23.,0.1,0.1,0.,0.,6.2,0.2,0.6,8.4
32,"Murray, Latavius",MIN,GBP,RB,12.2,46.9,0.4,0.4,0.,0.,0.,0.,0.,1.3,10.6,0.,0.,0.,0.,0.,0.,1.3,8.3
33,"Booker, Devontae",DEN,PIT,RB,11.4,42.4,0.2,0.1,0.1,0.,0.,0.,0.,2.5,23.6,0.1,0.1,0.,0.,13.9,0.1,0.7,8.2
34,"Penny, Rashaad",SEA,@CAR,RB,7.5,50.2,0.1,0.1,0.,0.,0.,0.,0.,2.5,21.3,0.1,0.1,0.,0.,0.8,0.,0.7,8.1
35,"Bernard, Giovani",CIN,CLE,RB,8.3,34.8,0.2,0.1,0.,0.,0.,0.,0.,3.3,28.7,0.1,0.1,0.1,0.,0.3,0.,0.6,7.9
