"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
93,"Golden, Markus","NYG","WAS","LB",1.7,0.9,0.2,0.1,0.,0.,0.,0.,2.5
94,"Fowler, Dante","LAR","TBB","LB",1.6,0.8,0.2,0.1,0.,0.1,0.1,0.,2.5
95,"Hightower, Dont'a","NEP","@BUF","LB",1.5,1.5,0.1,0.1,0.,0.,0.,0.,2.5
96,"Grugier-Hill, Kamu","PHI","@GBP","LB",1.7,0.8,0.,0.1,0.1,0.,0.,0.,2.4
97,"Miller, Christian","CAR","@HOU","LB",1.5,1.2,0.1,0.1,0.,0.,0.,0.,2.3
98,"Kendricks, Mychal","SEA","@ARZ","LB",1.6,0.7,0.2,0.,0.,0.1,0.1,0.,2.3
99,"Martin, Kareem","NYG","WAS","LB",1.3,1.3,0.1,0.1,0.,0.,0.,0.,2.2
100,"Adams, Matthew","IND","OAK","LB",1.7,0.7,0.,0.1,0.,0.,0.,0.,2.1
101,"Carter, Lorenzo","NYG","WAS","LB",1.4,0.6,0.2,0.1,0.,0.,0.,0.,2.1
102,"Landry, Harold","TEN","@ATL","LB",1.2,1.,0.2,0.2,0.,0.,0.,0.,2.1
103,"Ebukam, Samson","LAR","TBB","LB",1.4,0.6,0.1,0.1,0.,0.1,0.1,0.,2.1
104,"Barron, Mark","PIT","CIN","LB",1.7,0.7,0.1,0.1,0.,0.,0.,0.,2.1
105,"Gedeon, Ben","MIN","@CHI","LB",1.3,1.3,0.,0.,0.,0.,0.,0.,2.
106,"Bowser, Tyus","BAL","CLE","LB",1.2,0.5,0.3,0.2,0.,0.1,0.,0.,1.9
107,"Wilson, Damien","KCC","@DET","LB",1.4,0.9,0.,0.,0.,0.,0.,0.,1.9
108,"Wake, Cameron","TEN","@ATL","LB",1.2,0.8,0.2,0.1,0.,0.,0.,0.,1.9
109,"Calitro, Austin","SEA","@ARZ","LB",1.4,0.5,0.,0.1,0.,0.,0.,0.,1.8
110,"Cole, Dylan","HOU","CAR","LB",1.2,0.7,0.,0.2,0.,0.,0.,0.,1.8
111,"Taylor, Adarius","CLE","@BAL","LB",1.2,0.6,0.,0.2,0.,0.,0.,0.,1.8
112,"Jones, Joseph","DEN","JAC","LB",1.,1.1,0.1,0.,0.,0.,0.,0.,1.7
113,"Kwiatkoski, Nick","CHI","MIN","LB",1.3,0.4,0.,0.1,0.,0.,0.,0.,1.7
114,"Barrett, Shaq","TBB","@LAR","LB",1.3,0.4,0.1,0.1,0.,0.,0.,0.,1.7
115,"Board, Chris","BAL","CLE","LB",0.9,0.7,0.2,0.,0.,0.,0.,0.,1.5
116,"Nwosu, Uchenna","LAC","@MIA","LB",1.,0.4,0.3,0.1,0.,0.,0.,0.,1.5
