"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Patricia, Matt","DET","KCC","HC",1.,0.,35.,22.,28.1
2,"Belichick, Bill","NEP","@BUF","HC",1.,0.,35.,22.,28.1
3,"Nagy, Matt","CHI","MIN","HC",1.,0.,34.,22.,27.6
4,"Reid, Andy","KCC","@DET","HC",1.,0.,35.,18.,26.9
5,"Tomlin, Mike","PIT","CIN","HC",1.,0.,35.,14.,25.7
6,"Carroll, Pete","SEA","@ARZ","HC",1.,0.,32.,8.,22.4
7,"Reich, Frank","IND","OAK","HC",1.,0.,27.,15.,22.
8,"Pederson, Doug","PHI","@GBP","HC",1.,0.,30.,8.,21.4
9,"McVay, Sean","LAR","TBB","HC",1.,0.,29.,5.,20.
10,"Harbaugh, John","BAL","CLE","HC",1.,0.,28.,6.,19.8
11,"Gruden, Jay","WAS","@NYG","HC",1.,0.,26.,5.,18.5
12,"Vrabel, Mike","TEN","@ATL","HC",1.,0.,22.,8.,17.4
13,"O'Brien, Bill","HOU","CAR","HC",1.,0.,20.,1.,14.3
14,"Marrone, Doug","JAC","@DEN","HC",1.,0.,20.,1.,14.3
15,"Payton, Sean","NOS","DAL","HC",0.,1.,25.,-1.,12.2
16,"Shurmur, Pat","NYG","WAS","HC",0.,1.,24.,-3.,11.1
17,"Rivera, Ron","CAR","@HOU","HC",0.,1.,23.,-2.,10.9
18,"Koetter, Dirk","ATL","TEN","HC",0.,1.,22.,-2.,10.4
19,"Garrett, Jason","DAL","@NOS","HC",0.,1.,22.,-3.,10.1
20,"Shanahan, Kyle","SFO","Bye","HC",0.,1.,23.,-7.,9.4
21,"Zimmer, Mike","MIN","@CHI","HC",0.,1.,20.,-3.,9.1
22,"Quinn, Dan","ATL","TEN","HC",0.,1.,21.,-6.,8.7
23,"Lynn, Anthony","LAC","@MIA","HC",0.,1.,22.,-13.,7.1
24,"Gase, Adam","NYJ","Bye","HC",0.,1.,20.,-15.,5.5
25,"Gruden, Jon","OAK","@IND","HC",0.,1.,18.,-17.,3.9
26,"McDermott, Sean","BUF","NEP","HC",0.,1.,14.,-21.,0.7
"","","","","","","","","",""
