"Rank","Player","Team","Opp","Position","Rush","Rush Yds","Rush TDs","0-9 RushTDs","10-19 RushTDs","20-29 RushTDs","30-39 RushTDs","40-49 RushTDs","50+ RushTDs","Tgt","RZTgt","Rec","Rec Yds","Rec TDs",">= 50yds",">= 100yds","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
1,"Kamara, Alvin","NOS","DAL","RB",13.8,63.,0.8,0.6,0.1,0.1,0.,0.,0.1,8.,1.7,6.1,58.,0.3,0.7,0.1,4.,29.,0.,2.9,18.3
2,"Gordon, Melvin","LAC","@MIA","RB",17.8,77.,0.8,0.5,0.2,0.1,0.,0.,0.,5.2,0.8,3.7,34.,0.2,0.1,0.1,0.,0.,0.,2.6,17.4
3,"Conner, James","PIT","CIN","RB",16.5,76.,0.7,0.5,0.1,0.1,0.,0.,0.,5.2,0.6,4.1,37.,0.1,0.1,0.1,0.,0.,0.1,2.,15.9
4,"Barkley, Saquon","NYG","WAS","RB",15.1,75.,0.6,0.3,0.,0.,0.,0.,0.2,6.5,0.7,4.6,34.,0.2,0.1,0.1,0.,0.,0.,2.1,15.5
5,"Michel, Sony","NEP","@BUF","RB",16.8,78.,0.9,0.6,0.2,0.,0.,0.,0.,2.,0.4,1.7,13.,0.1,0.1,0.,0.,4.,0.,2.4,14.9
6,"Gurley, Todd","LAR","TBB","RB",13.2,68.,0.8,0.6,0.1,0.,0.,0.,0.,4.3,0.8,2.8,27.,0.1,0.1,0.1,0.,0.,0.1,2.3,14.8
7,"Fournette, Leonard","JAC","@DEN","RB",18.8,68.,0.6,0.5,0.,0.,0.,0.,0.1,4.3,0.3,3.3,28.,0.1,0.1,0.1,0.,1.,0.,1.8,14.1
8,"McCaffrey, Christian","CAR","@HOU","RB",10.5,48.,0.3,0.3,0.,0.,0.,0.,0.,7.6,0.9,5.9,49.,0.4,0.2,0.1,4.,2.,0.,1.9,13.6
9,"Montgomery, David","CHI","MIN","RB",13.,57.,0.6,0.5,0.1,0.1,0.,0.,0.,4.4,0.8,3.2,29.,0.2,0.1,0.1,10.,3.,0.1,1.6,13.5
10,"Elliott, Ezekiel","DAL","@NOS","RB",16.4,73.,0.4,0.3,0.1,0.,0.,0.,0.,4.3,0.5,3.3,25.,0.1,0.1,0.1,0.,0.,0.1,1.6,12.8
11,"Mixon, Joe","CIN","@PIT","RB",16.1,73.,0.5,0.4,0.1,0.,0.,0.,0.,3.7,0.4,2.9,23.,0.,0.1,0.1,0.,0.,0.1,1.7,12.7
12,"Henry, Derrick","TEN","@ATL","RB",14.7,70.,0.7,0.5,0.1,0.,0.,0.,0.1,1.7,0.2,1.3,11.,0.1,0.1,0.,0.,0.,0.1,1.8,12.7
13,"Johnson, Kerryon","DET","KCC","RB",12.6,62.,0.5,0.5,0.,0.,0.,0.,0.,3.8,0.6,3.1,23.,0.1,0.1,0.1,0.,1.,0.1,1.3,12.2
14,"Howard, Jordan","PHI","@GBP","RB",14.6,58.,0.6,0.5,0.1,0.,0.,0.,0.,2.7,0.6,2.1,20.,0.1,0.1,0.,1.,1.,0.,1.8,12.2
15,"Mack, Marlon","IND","OAK","RB",15.2,69.,0.6,0.5,0.,0.,0.,0.,0.,2.9,0.4,1.8,12.,0.1,0.1,0.,0.,1.,0.1,1.4,11.8
16,"Chubb, Nick","CLE","@BAL","RB",12.7,61.,0.5,0.4,0.,0.,0.,0.,0.1,2.9,0.4,2.1,17.,0.1,0.1,0.,0.,0.,0.1,1.3,11.4
