"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Punt Ret Yds","Kick Ret Yds","Pts"
162,"Wilson, Tavon","DET","KCC","DB",2.,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,2.3
163,"Bush, Rafael","Ret","Bye","DB",1.7,1.,0.1,0.,0.,0.,0.,0.,0.,0.,2.3
164,"Fejedelem, Clayton","CIN","@PIT","DB",1.6,1.,0.,0.,0.,0.,0.,0.,0.,0.,2.2
165,"Robey, Nickell","LAR","TBB","DB",1.4,0.5,0.,0.4,0.,0.,0.,0.,0.,0.,2.1
166,"Edwards, Mike","TBB","@LAR","DB",1.7,0.3,0.,0.1,0.,0.,0.,0.,0.,0.,2.
167,"Adderley, Nasir","LAC","@MIA","DB",1.5,0.4,0.,0.2,0.,0.,0.,0.,2.,7.,2.
168,"Brown, Tony","GBP","PHI","DB",1.5,0.3,0.,0.2,0.,0.1,0.,0.,0.,0.,2.
169,"Ford, Mike","DET","KCC","DB",1.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.9
170,"Hill, Troy","LAR","TBB","DB",1.4,0.2,0.,0.2,0.1,0.,0.,0.,0.,0.,1.9
171,"Williams, Joejuan","NEP","@BUF","DB",1.5,0.5,0.,0.1,0.,0.,0.,0.,0.,0.1,1.8
172,"Lucas, Jordan","KCC","@DET","DB",1.2,0.4,0.1,0.1,0.1,0.,0.,0.,0.,0.,1.8
173,"Harmon, Duron","NEP","@BUF","DB",1.2,0.2,0.,0.1,0.1,0.,0.,0.,0.,0.,1.8
174,"Wilson, Quincy","IND","OAK","DB",1.2,0.5,0.,0.1,0.1,0.,0.,0.,0.,0.,1.7
175,"Williams, Trevor","LAC","@MIA","DB",1.3,0.2,0.,0.2,0.,0.,0.,0.,0.,0.,1.7
176,"King, Akeem","SEA","@ARZ","DB",1.2,0.5,0.,0.1,0.,0.,0.,0.,0.,0.,1.7
