Player,Team,Rec,Rec Yds,Rec TDs,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Marvin Hall,DET,11.9,197.1,1.5,0.0,0.0,0.0,0.0,29.8
Allen Lazard,GB,47.4,633.0,3.6,,,,0.0,88.0
T.Y. Hilton,IND,72.4,922.4,5.6,0.0,0.0,0.0,0.0,125.9
Marvin Jones Jr.,DET,64.3,932.2,6.9,,,,0.0,136.6
Emmanuel Sanders,NO,51.3,698.6,4.0,,,,0.0,94.6
Isaiah Ford,NE,37.2,446.1,2.8,0.0,0.0,0.0,0.0,62.6
Kenny Stills,HOU,30.0,442.5,3.3,0.0,0.0,0.0,0.0,64.0
Dede Westbrook,JAC,59.2,670.9,3.4,,,,0.0,92.0
Parris Campbell,IND,52.4,598.9,2.9,,,,0.0,80.9
Chad Beebe,MIN,1.5,47.7,0.2,0.0,0.0,0.0,0.0,6.2
Calvin Ridley,ATL,75.0,"1,127.4",7.2,,,0.0,0.0,158.1
Justin Jefferson,MIN,50.5,673.3,4.6,,,,0.0,96.2
James Washington,PIT,40.4,591.4,3.6,0.0,0.0,0.0,0.0,80.9
Pharoh Cooper,CAR,7.4,104.1,0.5,0.0,,0.0,0.0,13.9
K.J. Osborn,MIN,8.6,122.1,0.6,0.0,0.0,0.0,0.0,18.0
Jakobi Meyers,NE,0.5,7.8,0.1,0.0,0.0,0.0,0.0,1.1
Tim Patrick,DEN,13.2,203.8,1.1,,,0.0,0.0,27.5
Randall Cobb,HOU,40.6,598.4,3.4,,,,0.0,81.3
Damiere Byrd,NE,56.8,749.7,4.5,0.0,0.0,0.0,0.0,102.6
Cordarrelle Patterson,CHI,4.9,63.6,0.3,,,,0.0,14.4
Josh Reynolds,LAR,22.4,272.3,1.7,,,,0.0,41.0
Jerry Jeudy,DEN,49.2,630.0,4.3,,,0.0,0.0,90.2
Miles Boykin,BAL,19.7,272.0,1.8,0.0,0.0,0.0,0.0,38.2
Ray-Ray McCloud,PIT,3.9,68.8,0.3,0.0,0.0,0.0,0.0,9.7
Diontae Johnson,PIT,75.9,850.2,5.4,,,,0.0,120.3
DeAndre Carter,CHI,5.2,102.9,0.5,0.0,0.0,0.0,0.0,14.5
DaeSean Hamilton,DEN,14.1,151.3,0.7,0.0,0.0,0.0,0.0,19.8
Matthew Slater,NE,1.8,56.2,0.2,0.0,0.0,0.0,0.0,7.6
DeAndre Hopkins,ARI,86.6,"1,182.7",7.0,,,,0.0,161.2
Gabriel Davis,BUF,11.6,162.9,0.9,0.0,0.0,0.0,0.0,22.1
Alex Erickson,CIN,6.6,71.7,0.4,,,0.0,0.0,10.3
Devin Duvernay,BAL,16.5,196.5,1.2,,,,0.0,28.1
Jalen Reagor,PHI,50.6,646.3,3.9,,,,0.0,90.4
K.J. Hill,LAC,14.3,177.8,1.1,0.0,0.0,0.0,0.0,24.6
Malik Turner,DAL,3.7,42.6,0.3,0.0,0.0,0.0,0.0,6.0
Ashton Dulin,IND,0.2,10.8,0.0,0.0,0.0,0.0,0.0,1.4
Tyler Boyd,CIN,72.3,950.7,5.9,,,,0.0,134.4
Brandin Cooks,HOU,47.4,735.9,3.9,,,,0.0,101.1
Quintez Cephus,DET,2.8,32.6,0.2,0.0,0.0,0.0,0.0,4.5
Mack Hollins,MIA,1.4,38.0,0.1,0.0,0.0,0.0,0.0,4.5
Zach Pascal,IND,20.9,294.8,1.4,,,0.0,0.0,38.9
A.J. Green,CIN,70.7,"1,026.8",6.6,0.0,,0.0,0.0,142.6
Corey Davis,TEN,47.1,713.1,3.4,,,0.0,0.0,91.9
Robby Anderson,CAR,53.6,834.3,5.1,,,,0.0,114.6
James Proche,BAL,10.6,149.8,0.9,0.0,0.0,0.0,0.0,22.4
Sterling Shepard,NYG,74.8,903.2,5.1,,,,0.0,124.0
Tee Higgins,CIN,36.4,489.3,3.0,0.0,0.0,0.0,0.0,68.4
Olabisi Johnson,MIN,15.1,176.7,0.8,,,0.0,0.0,23.2
Terry McLaurin,WAS,66.5,"1,040.7",6.9,0.0,0.0,0.0,0.0,145.4
Brandon Powell,ATL,1.9,26.0,0.1,0.0,0.0,0.0,0.0,3.6
Chris Hogan,NYJ,33.0,459.0,2.1,0.0,0.0,0.0,0.0,59.1
Javon Wims,CHI,1.1,15.1,0.1,0.0,0.0,0.0,0.0,1.9
Chris Godwin,TB,84.4,"1,284.8",8.2,,,,0.0,178.7
Van Jefferson,LAR,47.0,600.1,3.7,,,,0.0,83.7
Julian Edelman,NE,78.3,972.8,5.0,,,,0.0,133.9
Brandon Aiyuk,SF,43.4,582.7,3.5,,,,0.0,81.0
Deonte Harris,NO,7.5,97.4,0.6,,,,0.0,17.7
Scotty Miller,TB,26.9,334.0,2.4,,,,0.0,49.6
Chris Moore,BAL,2.8,55.9,0.2,0.0,0.0,0.0,0.0,7.3
Byron Pringle,KC,3.1,66.5,0.3,0.0,0.0,0.0,0.0,8.7
Rashard Higgins,CLE,7.4,132.0,0.7,0.0,0.0,0.0,0.0,17.5
Michael Gallup,DAL,68.7,"1,095.0",6.8,0.0,0.0,0.0,0.0,150.2
JJ Arcega-Whiteside,PHI,13.5,189.7,1.1,,,0.0,0.0,25.5
Malik Taylor,GB,15.0,180.6,1.1,0.0,0.0,0.0,0.0,25.4
Seth Roberts,GB,12.6,178.4,1.0,0.0,0.0,0.0,0.0,24.1
Justin Watson,TB,7.3,123.7,0.5,,,0.0,0.0,15.7
Marcus Kemp,KC,1.4,24.7,0.1,0.0,0.0,0.0,0.0,3.2
Hunter Renfrow,LV,51.8,599.0,4.1,0.0,0.0,0.0,0.0,84.8
Jaydon Mickens,TB,0.2,34.9,0.1,0.0,0.0,0.0,0.0,4.4
Allen Robinson II,CHI,83.4,"1,025.9",6.8,,,,0.0,144.8
D.K. Metcalf,SEA,66.5,"1,032.4",6.8,,,,0.0,144.7
John Ross,CIN,29.6,448.4,2.8,,,,0.1,65.2
Tyreek Hill,KC,83.0,"1,124.0",7.6,,,,0.0,172.7
Steven Sims,WAS,55.9,659.1,4.7,,,,0.0,102.1
Keelan Cole Sr.,JAC,16.1,277.8,2.0,,,0.0,0.0,41.6
Trent Sherfield,ARI,4.8,69.4,0.4,0.0,0.0,0.0,0.0,9.4
Mike Williams,LAC,42.7,773.0,4.6,,,,0.0,105.3
Demarcus Robinson,KC,16.4,247.4,1.4,0.0,0.0,0.0,0.0,33.3
Tyler Lockett,SEA,74.4,"1,134.3",7.4,,,,0.0,162.5
Dontrelle Inman,WAS,49.0,745.8,4.2,0.0,0.0,0.0,0.0,99.8
Kenny Golladay,DET,65.7,"1,019.9",7.5,,,0.0,0.0,147.4
Keenan Allen,LAC,85.7,"1,062.9",6.6,,,,0.0,147.9
Christian Blake,ATL,20.0,189.0,1.1,0.0,0.0,0.0,0.0,25.5
David Moore,SEA,24.8,363.4,2.0,,,,0.0,52.6
D.J. Chark Jr.,JAC,69.2,901.8,5.5,,,0.0,0.0,124.2
Andy Isabella,ARI,14.2,189.3,1.1,,,,0.0,28.4
Jamison Crowder,NYJ,74.1,905.5,6.4,,,0.0,0.0,130.9
Jakeem Grant,MIA,48.0,531.4,2.5,,,,0.1,82.8
Kendrick Bourne,SF,30.1,437.1,2.0,,,,0.0,55.9
Chase Claypool,PIT,28.5,361.0,2.2,,,0.0,0.0,50.4
Tajae Sharpe,MIN,11.2,137.1,0.7,0.0,0.0,0.0,0.0,18.1
KeeSean Johnson,ARI,1.1,13.8,0.1,0.0,0.0,0.0,0.0,1.8
Preston Williams,MIA,64.8,867.7,5.3,,,0.0,0.0,118.4
Mecole Hardman,KC,36.5,492.9,3.0,,,,0.0,71.0
Will Fuller V,HOU,60.0,832.0,5.3,,,,0.0,115.1
