"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
156,"Watkins, Carlos","HOU","@TBB","DL",0.8,0.9,0.,0.1,0.,0.,0.,0.,1.3
157,"Pierre, Olsen","NYG","@WAS","DL",0.8,0.6,0.1,0.,0.,0.1,0.,0.,1.3
158,"Johnson, Austin","TEN","NOS","DL",0.7,0.5,0.1,0.1,0.,0.,0.,0.,1.3
159,"Phillips, Jordan","BUF","@NEP","DL",0.8,0.5,0.,0.2,0.,0.,0.,0.,1.3
160,"Allen, Beau","TBB","HOU","DL",1.1,0.4,0.,0.,0.,0.,0.,0.,1.3
161,"Simon, John","NEP","BUF","DL",0.6,0.8,0.1,0.,0.,0.,0.,0.,1.3
162,"Curry, Vinny","PHI","DAL","DL",0.9,0.5,0.1,0.,0.,0.,0.,0.,1.3
163,"Shepherd, Nathan","NYJ","PIT","DL",0.7,0.7,0.,0.1,0.,0.,0.,0.,1.2
164,"Hall, P.J.","OAK","@LAC","DL",1.,0.2,0.,0.2,0.,0.,0.,0.,1.2
165,"Turay, Kemoko","IND","CAR","DL",0.7,0.3,0.1,0.,0.,0.,0.,0.,1.2
166,"Glasgow, Ryan","CIN","@MIA","DL",0.9,0.5,0.,0.,0.,0.,0.,0.,1.2
167,"McIntosh, RJ","NYG","@WAS","DL",0.8,0.4,0.,0.,0.,0.,0.,0.,1.1
168,"Brown, Fadol","GBP","@MIN","DL",0.8,0.3,0.,0.,0.,0.,0.,0.,1.
169,"Robertson-Harris, Roy","CHI","KCC","DL",0.4,0.6,0.1,0.1,0.,0.,0.,0.,1.
170,"Jones, D.J.","SFO","LAR","DL",0.8,0.4,0.,0.,0.,0.,0.,0.,1.
171,"Dunn, Brandon","HOU","@TBB","DL",0.6,0.5,0.,0.1,0.1,0.,0.,0.,1.
172,"Urban, Brent","TEN","NOS","DL",0.7,0.5,0.,0.,0.,0.,0.,0.,1.
173,"Williams, Nick","CHI","KCC","DL",0.5,0.6,0.1,0.1,0.,0.,0.,0.,1.
174,"Love, Kyle","CAR","@IND","DL",0.5,0.4,0.,0.1,0.,0.1,0.1,0.,1.
175,"Bryan, Taven","JAC","@ATL","DL",0.7,0.4,0.,0.,0.,0.,0.,0.,0.9
176,"Butler, Adam","NEP","BUF","DL",0.3,0.3,0.1,0.1,0.,0.1,0.,0.,0.9
177,"Jackson, Branden","SEA","ARZ","DL",0.8,0.2,0.,0.,0.,0.,0.,0.,0.9
178,"Shelton, Danny","NEP","BUF","DL",0.7,0.5,0.,0.,0.,0.,0.,0.,0.9
179,"Mayowa, Benson","OAK","@LAC","DL",0.6,0.1,0.1,0.1,0.,0.,0.,0.,0.9
180,"Thornton, Cedric","SFO","LAR","DL",0.5,0.3,0.1,0.,0.,0.,0.,0.,0.9
181,"Obada, Efe","CAR","@IND","DL",0.4,0.1,0.1,0.1,0.,0.,0.,0.,0.8
182,"Jones, Justin","LAC","OAK","DL",0.4,0.6,0.1,0.,0.,0.,0.,0.,0.8
