"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Patricia, Matt","DET","@DEN","HC",1.,0.,35.,22.,28.1
2,"Reich, Frank","IND","CAR","HC",1.,0.,35.,20.,27.5
3,"Shurmur, Pat","NYG","@WAS","HC",1.,0.,33.,17.,25.6
4,"Lynn, Anthony","LAC","OAK","HC",1.,0.,32.,17.,25.1
5,"Marrone, Doug","JAC","@ATL","HC",1.,0.,31.,14.,23.7
6,"McVay, Sean","LAR","@SFO","HC",1.,0.,33.,10.,23.5
7,"Belichick, Bill","NEP","BUF","HC",1.,0.,35.,4.,22.7
8,"Gruden, Jon","OAK","@LAC","HC",1.,0.,31.,9.,22.2
9,"Shanahan, Kyle","SFO","LAR","HC",1.,0.,28.,11.,21.3
10,"Payton, Sean","NOS","@TEN","HC",1.,0.,30.,7.,21.1
11,"Rivera, Ron","CAR","@IND","HC",1.,0.,28.,10.,21.
12,"Gruden, Jay","WAS","NYG","HC",1.,0.,27.,6.,19.3
13,"Koetter, Dirk","ATL","JAC","HC",1.,0.,27.,4.,18.7
14,"Gase, Adam","NYJ","PIT","HC",1.,0.,28.,1.,18.3
15,"Tomlin, Mike","PIT","@NYJ","HC",0.,1.,35.,-1.,17.2
16,"Carroll, Pete","SEA","ARZ","HC",1.,0.,25.,1.,16.8
17,"McDermott, Sean","BUF","@NEP","HC",1.,0.,23.,4.,16.7
18,"Vrabel, Mike","TEN","NOS","HC",1.,0.,21.,4.,15.7
19,"Pederson, Doug","PHI","DAL","HC",0.,1.,27.,-1.,13.2
20,"Zimmer, Mike","MIN","GBP","HC",0.,1.,27.,-2.,12.9
21,"Reid, Andy","KCC","@CHI","HC",0.,1.,29.,-6.,12.7
22,"Quinn, Dan","ATL","JAC","HC",0.,1.,25.,-2.,11.9
23,"Nagy, Matt","CHI","KCC","HC",0.,1.,24.,-1.,11.7
24,"Harbaugh, John","BAL","@CLE","HC",0.,1.,24.,-3.,11.1
25,"Garrett, Jason","DAL","@PHI","HC",0.,1.,22.,-8.,8.6
26,"O'Brien, Bill","HOU","@TBB","HC",0.,1.,21.,-8.,8.1
"","","","","","","","","",""
