"Rank","Player","Team","Opp","Position","PUNTS","PUNT_YDS","PUNT_RETURN_YD","PUNT_INSIDE20","Pts"
1,"Lee, Andy","ARZ","@SEA","P",5.8,280.,23.,2.2,19.6
2,"Cooke, Logan","JAC","@ATL","P",5.5,249.,14.,2.2,17.8
3,"Way, Tress","WAS","NYG","P",5.2,237.,24.,2.4,17.7
4,"Edwards, Lachlan","NYJ","PIT","P",5.5,252.,25.,1.7,17.
5,"Haack, Matt","MIA","CIN","P",5.4,240.,21.,2.,16.8
6,"Kern, Brett","TEN","NOS","P",4.7,227.,18.,2.3,16.7
7,"Daniel, Trevor","HOU","@TBB","P",4.9,220.,20.,2.2,16.5
8,"Dickson, Michael","SEA","ARZ","P",5.2,247.,26.,1.6,16.3
9,"Wadman, Colby","DEN","DET","P",5.1,231.,22.,1.7,15.9
10,"Martin, Sam","DET","@DEN","P",4.9,217.,18.,2.,15.8
11,"Huber, Kevin","CIN","@MIA","P",5.,227.,20.,1.8,15.8
12,"Bojorquez, Corey","BUF","@NEP","P",5.,218.,16.,1.9,15.3
13,"Koch, Sam","BAL","@CLE","P",4.4,203.,21.,1.9,14.7
14,"Wile, Matt","MIN","GBP","P",4.6,208.,13.,1.7,14.4
15,"Sanchez, Rigoberto","IND","CAR","P",4.4,198.,5.,1.7,14.
16,"O'Donnell, Pat","CHI","KCC","P",4.2,184.,9.,2.1,14.
17,"Dixon, Riley","NYG","@WAS","P",4.7,210.,11.,1.3,13.9
18,"Scott, J.K.","GBP","@MIN","P",4.6,205.,14.,1.2,13.5
19,"Johnston, Cam","PHI","DAL","P",4.,188.,11.,1.6,13.3
20,"Cole, A.J.","OAK","@LAC","P",4.2,190.,14.,1.4,13.1
21,"Palardy, Michael","CAR","@IND","P",4.1,185.,12.,1.4,12.9
22,"Berry, Jordan","PIT","@NYJ","P",3.8,165.,16.,1.8,12.5
23,"Hekker, Johnny","LAR","@SFO","P",3.6,168.,7.,1.7,12.5
24,"Wishnowsky, Mitch","SFO","LAR","P",4.,176.,10.,1.5,12.3
25,"Long, Ty","LAC","OAK","P",3.9,175.,16.,1.3,12.2
26,"Bosher, Matt","ATL","JAC","P",4.,181.,11.,1.4,12.2
27,"Jones, Chris","DAL","@PHI","P",3.9,173.,12.,1.4,12.1
28,"Bailey, Jake","NEP","BUF","P",3.6,160.,11.,1.3,11.4
29,"Pinion, Bradley","TBB","HOU","P",3.9,174.,14.,1.1,11.3
30,"Morstead, Thomas","NOS","@TEN","P",3.3,151.,7.,1.2,10.7
31,"Colquitt, Dustin","KCC","@CHI","P",3.3,146.,9.,1.4,10.6
"","","","","","","","","",""
