Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Kuechly, Luke",CAR,LB,84.,48.5,2.,5.9,2.5,0.9,0.9,0.2,123.1
2,"Smith, Telvin",JAC,LB,96.,23.9,1.3,6.6,2.2,1.2,1.2,0.1,122.7
3,"Alexander, Kwon",TBB,LB,92.,31.5,0.9,6.1,2.1,1.4,0.7,0.1,120.9
4,"Wagner, Bobby",SEA,LB,84.,55.2,2.,3.8,1.5,0.,0.,0.2,120.4
5,"Lee, Sean",DAL,LB,95.,44.9,0.,1.5,0.5,0.,0.,0.,119.9
6,"Mosley, C.J.",BAL,LB,82.,37.4,0.6,8.3,2.8,3.2,1.3,0.2,119.7
7,"Jones, Deion",ATL,LB,83.,39.7,0.4,10.3,2.5,0.9,0.,0.2,119.4
8,"Martinez, Blake",GBP,LB,81.8,44.4,1.7,8.9,1.,0.9,0.9,0.,118.2
9,"Brown, Zach",WAS,LB,89.,39.4,2.8,3.6,0.9,0.6,0.6,0.,118.
10,"Ogletree, Alec",NYG,LB,74.,37.4,1.5,10.8,2.4,1.2,0.,0.2,111.
11,"Foster, Mason",WAS,LB,79.2,40.3,2.9,3.9,0.6,1.,0.8,0.,109.2
12,"David, Lavonte",TBB,LB,81.,28.3,2.2,2.6,0.5,4.4,3.8,0.1,109.
13,"Edmunds, Tremaine",BUF,LB,78.,39.5,1.8,2.4,0.3,1.1,0.3,0.,103.9
14,"Mack, Khalil",CHI,LB,74.5,27.9,7.8,3.3,0.,1.3,1.,0.,101.9
15,"Williamson, Avery",NYJ,LB,68.,46.8,4.,3.9,0.,1.9,0.,0.,101.2
16,"Foster, Reuben",SFO,LB,83.,23.7,0.9,1.9,1.,1.,0.4,0.,100.9
17,"Kirksey, Christian",CLE,LB,72.,39.9,2.3,4.,0.,1.,0.4,0.,99.6
18,"Jack, Myles",JAC,LB,72.,25.1,2.6,6.6,1.2,1.2,1.2,0.2,98.5
19,"Woodyard , Wesley",TEN,LB,71.,34.6,3.6,5.1,0.5,0.2,0.2,0.2,98.3
20,"Kendricks, Eric",MIN,LB,67.,41.5,1.5,7.3,0.8,0.,0.,0.2,98.1
21,"Bucannon, Deone",ARZ,LB,74.,30.4,1.3,4.5,0.3,2.1,0.5,0.,98.1
22,"Schobert, Joe",CLE,LB,68.,44.8,2.8,2.7,0.1,1.9,0.,0.,98.1
23,"Barron, Mark",LAR,LB,74.,23.,1.7,5.9,2.4,0.2,0.,0.,98.1
24,"Wright, K.J.",SEA,LB,65.5,40.9,1.2,6.3,1.3,0.4,0.4,0.,96.8
25,"Davis, Jarrad",DET,LB,72.,32.2,1.6,3.1,0.8,1.,1.,0.,96.3
26,"Brown, Preston",CIN,LB,68.,44.2,0.8,3.3,0.8,0.,0.,0.,95.8
27,"Davis, Demario",NOR,LB,70.,28.,3.6,4.2,1.3,0.6,0.6,0.,95.5
28,"Williams, Vince",PIT,LB,68.,24.4,6.7,3.1,1.9,0.4,0.2,0.,94.4
29,"McKinney, Benardrick",HOU,LB,70.,36.1,3.1,2.4,0.,0.,0.,0.,93.5
30,"Marshall, Brandon",DEN,LB,71.,28.7,2.,4.3,0.,0.9,0.8,0.2,93.3
31,"Hitchens, Anthony",KCC,LB,67.,32.,2.,4.7,0.9,0.2,0.2,0.,91.8
32,"Alonso, Kiko",MIA,LB,68.,35.4,0.4,1.7,0.5,1.3,1.,0.2,91.1
33,"Hicks, Jordan",PHI,LB,62.,27.7,0.9,7.1,3.2,0.4,0.4,0.2,90.9
34,"Collins, Jamie",CLE,LB,60.,38.5,1.9,4.,1.2,2.5,0.,0.,90.
35,"Whitehead, Tahir",OAK,LB,68.,33.2,1.2,1.9,0.7,0.3,0.3,0.,89.7
36,"Trevathan, Danny",CHI,LB,61.7,30.2,3.,5.1,0.8,0.8,0.8,0.,88.
37,"Burfict, Vontaze",CIN,LB,65.9,27.,2.,4.,0.4,1.,0.,0.,87.2
38,"Lee, Darron",NYJ,LB,66.,29.7,2.5,2.8,0.,1.,0.,0.,87.1
39,"Littleton, Cory",LAR,LB,61.6,32.7,3.5,2.4,0.9,1.2,0.,0.,86.8
40,"Leonard, Darius",IND,LB,62.,33.6,4.,1.3,0.,1.3,0.8,0.,86.3
41,"Perryman, Denzel",LAC,LB,66.,23.3,1.7,1.9,1.,1.5,1.1,0.,85.8
42,"Van Noy, Kyle",NEP,LB,63.1,22.9,6.6,2.2,0.,1.8,0.,0.,85.1
43,"Ragland, Reggie",KCC,LB,63.,34.5,3.5,0.,0.,0.6,0.,0.,84.3
44,"Bradham, Nigel",PHI,LB,61.,24.1,1.5,6.1,0.6,1.3,0.9,0.1,84.
