Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Watt, J.J.",HOU,DL,57.,25.3,2.,3.5,0.,0.,0.,0.,75.2
2,"Irvin, Bruce",OAK,DL,48.,19.7,9.1,3.7,0.,2.6,0.8,0.,74.
3,"Bosa, Joey",LAC,DL,47.,15.3,11.1,0.6,0.,2.3,1.,0.,69.7
4,"Campbell, Calais",JAC,DL,41.,16.8,10.1,3.6,0.,2.3,1.2,0.3,66.6
5,"Lawson, Carl",CIN,DL,45.,21.5,5.6,3.4,0.6,0.,0.,0.,65.9
6,"Lawrence, Demarcus",DAL,DL,36.,19.7,13.2,1.3,0.,3.9,1.6,0.,65.7
7,"Donald, Aaron",LAR,DL,41.,12.2,10.8,2.5,0.,4.,0.6,0.,65.
8,"Griffen, Everson",MIN,DL,36.,16.6,13.7,2.9,0.,3.4,0.2,0.,64.6
9,"Jordan, Cameron",NOR,DL,39.,12.5,9.5,8.5,0.1,0.8,0.,0.,64.2
10,"Jones, Chandler",ARZ,DL,44.,13.3,6.7,3.3,0.,2.3,0.8,0.2,63.9
11,"Pierre-Paul, Jason",TBB,DL,43.,16.3,6.7,4.7,0.,1.1,0.,0.,63.7
12,"Garrett, Myles",CLE,DL,37.,21.2,9.4,3.,0.,1.6,1.4,0.,63.
13,"Ingram, Melvin",LAC,DL,42.,16.4,9.3,1.8,0.3,0.3,0.3,0.2,62.4
14,"Flowers, Trey",NEP,DL,40.,24.1,6.7,2.4,0.,1.,0.2,0.,62.3
15,"Ngakoue, Yannick",JAC,DL,37.,6.1,12.6,2.6,0.,4.7,0.6,0.,60.6
16,"Graham, Brandon",PHI,DL,39.,16.5,8.5,1.5,0.,2.4,0.5,0.2,60.
17,"Dunlap, Carlos",CIN,DL,31.9,14.4,7.9,10.7,0.5,1.,0.,0.2,59.9
18,"Quinn, Robert",MIA,DL,37.,13.2,12.,2.,0.,2.2,0.,0.,59.8
19,"Clark, Frank",SEA,DL,33.,13.6,11.5,3.9,0.,3.,1.4,0.,59.7
20,"Wilkerson, Muhammad",GBP,DL,35.,25.4,7.2,2.7,0.6,0.8,0.,0.,59.5
21,"Atkins, Geno",CIN,DL,36.,20.3,12.3,0.,0.,0.7,0.,0.,59.1
22,"Joseph, Linval",MIN,DL,37.4,34.8,2.8,0.,0.,0.9,0.5,0.,59.
23,"Ansah, Ezekiel",DET,DL,41.,12.,11.2,0.4,0.,0.2,0.2,0.,58.9
24,"Casey, Jurrell",TEN,DL,38.,20.5,5.7,3.7,0.,0.8,0.,0.,58.5
25,"Heyward, Cameron",PIT,DL,33.,15.8,12.,3.2,0.,1.7,0.8,0.,58.5
26,"Buckner, DeForest",SFO,DL,40.,20.7,3.6,3.4,0.,0.4,0.4,0.,58.2
27,"Addison, Mario",CAR,DL,34.,17.7,13.6,0.3,0.,1.5,0.,0.,58.2
28,"Hicks, Akiem",CHI,DL,39.,17.4,7.8,1.4,0.,0.6,0.6,0.,58.1
29,"Williams, Leonard",NYJ,DL,34.,31.7,3.3,1.9,1.4,0.2,0.,0.,58.1
30,"Beasley, Vic",ATL,DL,35.,15.9,10.2,2.4,0.,1.1,1.1,0.1,57.8
31,"Sheard, Jabaal",IND,DL,34.,23.3,6.9,4.4,0.,0.6,0.,0.,57.4
