Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Brown, Antonio",PIT,WR,148.4,21.5,91.6,1332.9,9.9,3.,1.1,2.8,0.9,1.,1.1,13.8,3.6,0.9,0.3,3.4,0.,76.9,71.3,0.,18.6,194.
2,"Adams, Davante",GBP,WR,136.,23.1,85.3,958.2,12.7,4.5,5.2,1.1,0.9,0.,1.,12.1,1.9,0.6,0.2,47.5,0.9,0.,13.,0.,19.6,185.
3,"Hopkins, DeAndre",HOU,WR,195.4,19.1,93.3,1287.4,8.9,4.7,0.,2.,1.1,0.5,0.6,13.6,2.6,0.9,0.3,0.,0.,0.,17.3,0.5,17.8,181.
4,"Beckham, Odell",NYG,WR,183.2,20.8,101.9,1232.5,9.,3.6,1.9,0.7,0.6,0.7,1.6,13.9,2.5,0.8,0.3,10.9,0.,42.7,44.6,0.2,16.9,177.9
5,"Jones, Julio",ATL,WR,157.9,21.8,94.9,1469.5,4.7,3.,0.,0.3,0.4,0.,0.9,13.9,8.9,1.,0.4,9.1,0.,0.,0.,0.,18.,176.
6,"Allen, Keenan",LAC,WR,155.6,23.7,94.8,1331.9,6.7,3.6,0.4,0.7,0.2,1.3,0.6,13.3,5.,0.9,0.3,5.9,0.,3.9,0.,0.,22.2,173.9
7,"Thomas, Michael",NOR,WR,142.4,20.3,97.6,1255.2,7.7,4.7,2.1,0.5,0.5,0.,0.,12.3,5.9,0.8,0.3,1.8,0.,0.,0.,0.,16.,172.
8,"Green, A.J.",CIN,WR,170.9,19.9,86.5,1234.1,7.4,2.7,2.6,0.,0.,0.5,1.6,13.6,3.,0.8,0.3,2.5,0.,0.,0.,1.4,15.8,165.
9,"Jones, Marvin",DET,WR,117.3,14.,72.4,1114.1,8.3,3.6,0.6,2.,0.,1.8,0.2,12.5,2.2,0.7,0.3,6.6,0.,5.1,-0.5,0.2,11.4,161.6
10,"Hill, Tyreek",KCC,WR,116.4,9.1,81.,1114.1,5.2,0.5,0.,0.,1.,0.5,3.2,12.5,2.2,0.7,0.3,133.,1.,257.3,141.6,0.6,11.6,161.
11,"Evans, Mike",TBB,WR,161.5,20.2,80.9,1136.3,7.2,2.3,1.8,1.,0.9,1.2,0.,14.4,2.3,0.8,0.3,0.,0.,0.,0.,0.,17.1,160.
12,"Cooks, Brandin",LAR,WR,111.,16.1,65.,1000.,8.7,4.2,2.5,0.6,0.,0.6,0.8,12.3,2.1,0.7,0.3,26.5,0.,0.,0.,0.3,14.7,155.2
13,"Hogan, Chris",NEP,WR,100.5,17.,65.4,975.4,8.1,4.5,1.1,1.2,0.2,0.6,0.5,10.,3.,0.7,0.2,20.1,0.,57.5,0.,0.,15.3,149.2
14,"Hilton, T.Y.",IND,WR,148.1,12.5,77.1,1203.2,4.8,0.9,0.,0.,1.4,1.1,1.3,14.4,2.4,0.8,0.3,0.,0.,2.3,2.4,0.6,10.8,148.7
15,"Smith-Schuster, JuJu",PIT,WR,120.3,22.1,65.5,958.2,8.5,2.6,3.,1.6,0.8,0.,0.4,13.3,2.1,0.7,0.3,3.9,0.,1.3,375.3,0.,16.8,147.1
16,"Landry, Jarvis",CLE,WR,153.2,19.2,94.8,998.7,7.9,6.5,0.6,0.,0.,0.,0.8,12.,2.,0.7,0.2,-2.9,0.,44.3,-3.,1.5,15.,143.9
17,"Cooper, Amari",OAK,WR,135.2,15.8,67.2,925.2,7.7,3.,0.,0.,2.1,0.3,2.3,10.4,1.9,0.6,0.2,2.9,0.,0.,0.,0.,19.5,139.7
18,"Robinson, Allen",CHI,WR,132.8,13.6,76.8,1173.8,3.7,2.8,0.9,0.,0.,0.,0.,4.7,2.3,0.8,0.3,0.,0.,0.,40.,0.,10.6,139.7
19,"Baldwin, Doug",SEA,WR,107.6,12.4,68.7,899.7,7.3,1.8,2.2,2.3,0.8,0.1,0.,8.,1.8,0.6,0.2,-2.2,0.,0.,0.,0.,14.6,134.3
20,"Jeffery, Alshon",PHI,WR,110.2,18.3,54.2,787.7,8.6,4.5,1.2,0.,1.6,0.2,1.2,10.3,1.6,0.5,0.2,0.9,0.,0.,7.,0.,16.1,133.9
21,"Diggs, Stefon",MIN,WR,132.7,15.3,84.4,949.4,6.2,2.4,1.4,1.2,0.1,0.,1.,11.8,1.9,0.6,0.2,13.7,0.,20.6,0.,0.,12.6,133.7
22,"Fitzgerald, Larry",ARZ,WR,154.7,17.6,100.2,1014.1,5.4,1.6,2.4,1.4,0.,0.,0.,12.1,2.,0.7,0.3,0.4,0.,0.,0.,1.,15.8,133.2
23,"Davis, Corey",TEN,WR,133.8,13.1,75.,958.8,6.3,1.2,3.9,0.3,0.,0.,0.9,3.8,1.9,0.6,0.2,0.,0.,0.,0.,1.5,10.6,130.6
24,"Edelman, Julian",NEP,WR,121.4,13.,73.7,980.9,5.,2.6,1.4,0.4,0.,0.,0.6,9.9,3.4,0.7,0.2,24.4,0.,108.2,9.8,1.2,10.3,129.
