Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Gronkowski, Rob",NEP,TE,127.4,23.5,73.6,1141.5,9.5,5.4,1.9,0.,1.1,0.,1.1,12.6,2.3,0.8,0.3,0.,0.,0.,0.,0.,18.7,173.
2,"Kelce, Travis",KCC,TE,128.,21.7,84.9,1141.6,7.2,1.8,3.2,1.3,0.7,0.,0.2,12.6,2.3,0.8,0.3,0.9,0.,0.,0.,0.,15.2,158.
3,"Engram, Evan",NYG,TE,137.2,12.9,77.,819.2,5.8,3.,2.9,0.,0.,0.,0.,3.3,1.6,0.5,0.2,9.2,0.,0.,0.,0.,12.4,117.8
4,"Olsen, Greg",CAR,TE,123.2,20.2,67.4,888.4,3.7,0.8,1.7,0.,0.6,0.,0.6,10.3,1.8,0.6,0.2,0.,0.,0.,0.,0.,13.6,112.
5,"Ertz, Zach",PHI,TE,101.4,15.8,70.6,763.3,5.8,2.,3.2,0.6,0.,0.,0.,5.6,1.5,0.5,0.2,0.,0.,0.,2.9,0.5,9.4,110.1
6,"Graham, Jimmy",GBP,TE,95.7,20.2,53.6,565.,7.6,5.5,1.4,0.7,0.,0.,0.,2.3,1.1,0.4,0.1,0.,0.,0.,0.,0.,16.7,102.
7,"Burton, Trey",CHI,TE,71.6,14.5,46.9,520.1,7.2,2.,2.8,2.4,0.,0.,0.,2.1,1.,0.3,0.1,0.,0.,0.,0.,0.,11.1,97.1
8,"Howard, O.J.",TBB,TE,60.1,10.5,38.2,529.1,7.7,2.7,2.4,0.6,1.5,0.,0.5,2.1,1.1,0.4,0.1,0.,0.,0.,0.,1.8,11.9,95.4
9,"Doyle, Jack",IND,TE,107.9,10.9,75.2,670.9,4.4,3.5,0.6,0.4,0.,0.,0.,2.7,1.3,0.4,0.2,0.,0.,0.,0.,0.6,6.6,92.5
10,"Eifert, Tyler",CIN,TE,62.3,13.,43.4,488.9,7.2,5.5,1.7,0.,0.,0.,0.,2.,1.,0.3,0.1,0.,0.,0.,0.,0.,10.6,92.2
11,"Vannett, Nick",SEA,TE,64.4,16.8,40.1,442.9,7.7,4.1,2.1,0.9,0.6,0.,0.,1.8,0.9,0.3,0.1,0.,0.,0.,0.,0.3,13.,90.9
12,"Rudolph, Kyle",MIN,TE,84.7,18.3,53.9,514.2,6.5,3.1,1.7,1.7,0.,0.,0.,2.1,1.,0.3,0.1,0.,0.,0.,0.,0.,15.3,90.6
13,"Gates, Antonio",LAC,TE,76.1,14.8,47.1,564.9,5.6,3.6,2.,0.,0.,0.,0.,2.3,1.1,0.4,0.1,0.,0.,0.,0.,0.,9.8,90.3
14,"Walker, Delanie",TEN,TE,98.5,12.1,59.2,677.7,3.7,2.2,0.5,0.9,0.,0.,0.,2.7,1.4,0.5,0.2,3.3,0.4,0.,0.,1.4,9.3,89.5
15,"Reed, Jordan",WAS,TE,83.3,12.2,57.,585.3,4.8,2.3,0.9,1.,0.6,0.,0.,2.3,1.2,0.4,0.1,0.,0.,0.,0.,0.7,9.9,85.9
16,"Brate, Cameron",TBB,TE,73.5,11.1,41.6,529.6,4.8,0.4,3.4,0.6,0.2,0.,0.2,2.1,1.1,0.4,0.1,0.,0.,0.,0.,0.2,8.2,81.5
17,"Njoku, David",CLE,TE,82.9,10.8,44.7,543.2,3.9,1.,0.3,2.6,0.,0.,0.,2.2,1.1,0.4,0.1,0.8,0.,0.,0.,0.,10.,78.3
18,"Kittle, George",SFO,TE,67.1,13.5,43.7,589.1,3.2,1.8,0.4,0.,0.,0.5,0.4,2.4,1.2,0.4,0.1,0.,0.,0.,0.,0.,6.5,77.8
19,"Cook, Jared",OAK,TE,86.6,11.5,50.7,654.,2.4,0.6,0.2,1.6,0.,0.,0.,2.6,1.3,0.4,0.2,0.,0.,0.,0.,1.,9.,77.6
20,"McDonald, Vance",PIT,TE,84.1,14.5,54.8,575.2,3.3,3.,0.,0.3,0.,0.,0.,2.3,1.2,0.4,0.1,0.,0.,0.,0.,0.,8.5,77.5
21,"Gesicki, Mike",MIA,TE,72.,13.8,49.,437.,5.5,4.5,1.,0.,0.,0.,0.,1.7,0.9,0.3,0.1,0.,0.,0.,9.5,0.,12.7,76.9
22,"Seals-Jones, Ricky",ARZ,TE,68.3,9.7,34.7,476.1,4.8,0.3,1.9,2.3,0.3,0.,0.,1.9,1.,0.3,0.1,0.,0.,0.,0.,0.,9.1,76.7
23,"Ebron, Eric",IND,TE,83.4,11.8,53.2,551.,3.,2.,0.,0.8,0.3,0.,0.,2.2,1.1,0.4,0.1,0.,0.,0.,0.,1.1,7.9,71.
24,"Swaim, Geoff",DAL,TE,75.7,11.7,52.6,487.9,3.9,1.4,1.,1.5,0.,0.,0.,2.,1.,0.3,0.1,0.,0.,0.,0.,0.6,7.8,70.7
25,"Seferian-Jenkins, Austin",JAC,TE,86.6,16.1,55.5,450.9,4.4,1.9,2.4,0.,0.,0.,0.,1.8,0.9,0.3,0.1,0.,0.,0.,0.,0.9,12.1,70.6
26,"Hurst, Hayden",BAL,TE,78.9,11.7,56.5,508.5,2.8,2.1,0.,0.,0.7,0.,0.,2.,1.,0.3,0.1,0.,0.,0.,0.,0.,6.8,67.9
27,"Davis, Vernon",WAS,TE,61.4,7.2,38.8,549.1,2.4,0.,0.5,0.7,1.1,0.,0.,2.2,1.1,0.4,0.1,0.,0.,0.,2.,1.,7.4,67.1
28,"Griffin, Ryan",HOU,TE,75.1,10.,43.2,444.2,3.2,2.1,1.1,0.,0.,0.,0.,1.8,0.9,0.3,0.1,0.,0.,0.,0.,0.7,6.5,64.
29,"Clay, Charles",BUF,TE,80.7,11.5,48.4,490.1,1.9,0.9,0.5,0.2,0.,0.4,0.,2.,1.,0.3,0.1,0.,0.,0.,0.,0.3,7.,60.
30,"Heuerman, Jeff",DEN,TE,45.1,5.,27.5,399.7,3.3,0.6,1.2,0.,0.,0.,1.5,1.6,0.8,0.3,0.1,0.,0.,0.,0.,0.6,4.9,58.6
31,"Celek, Garrett",SFO,TE,35.9,6.6,22.7,346.9,4.,3.4,0.5,0.,0.,0.1,0.,1.4,0.7,0.2,0.1,0.,0.,0.,0.,0.5,7.2,57.9
32,"Hooper, Austin",ATL,TE,60.,11.1,41.,375.7,3.1,2.2,0.5,0.2,0.,0.,0.2,1.5,0.8,0.3,0.1,0.,0.,0.,0.,0.,7.7,56.
33,"Willson, Luke",DET,TE,39.9,7.,27.9,281.2,4.2,1.6,0.4,2.,0.1,0.,0.,1.1,0.6,0.2,0.1,0.,0.,0.,27.9,0.7,6.,51.6
34,"Watson, Benjamin",NOR,TE,56.,9.7,40.8,370.5,2.4,2.2,0.,0.,0.2,0.,0.,1.5,0.7,0.2,0.1,0.,0.,0.,0.,0.,5.7,51.4
35,"Tomlinson, Eric",NYJ,TE,65.4,10.8,39.6,381.,2.2,0.4,0.6,1.3,0.,0.,0.,1.5,0.8,0.3,0.1,0.,0.,0.,0.,0.,6.3,51.2
36,"Dickson, Ed",SEA,TE,42.,9.2,24.4,252.6,3.8,2.6,0.5,0.7,0.,0.,0.,1.,0.5,0.2,0.1,0.,0.,0.,0.,0.,6.9,48.3
37,"Kroft, Tyler",CIN,TE,38.5,6.2,26.5,227.6,3.5,3.3,0.2,0.,0.,0.,0.,0.9,0.5,0.2,0.1,0.,0.,0.,0.,0.,4.,43.8
38,"James, Jesse",PIT,TE,51.9,7.4,34.,325.3,0.9,0.9,0.,0.,0.,0.,0.,1.3,0.7,0.2,0.1,0.,0.,0.,0.,0.,5.4,37.9
39,"Higbee, Tyler",LAR,TE,46.4,5.9,26.2,275.3,1.6,1.2,0.4,0.,0.,0.,0.,1.1,0.6,0.2,0.1,0.,0.,0.,0.,0.2,2.8,36.7
40,"Henry, Hunter",LAC,TE,25.5,5.7,17.9,225.1,1.7,0.9,0.4,0.4,0.,0.,0.,0.9,0.5,0.2,0.1,0.,0.,0.,0.,0.,4.5,32.7
41,"Lewis, Marcedes",GBP,TE,38.9,4.5,18.6,209.3,1.1,0.5,0.5,0.,0.,0.,0.,0.8,0.4,0.1,0.1,0.,0.,0.,0.,0.,2.9,28.9
42,"Boyle, Nick",BAL,TE,45.2,11.4,33.6,256.6,0.3,0.2,0.,0.,0.1,0.,0.,1.,0.5,0.2,0.1,0.,0.,0.,0.,0.,5.7,28.9
43,"Gresham, Jermaine",ARZ,TE,40.,7.6,23.9,241.,0.8,0.,0.8,0.,0.,0.,0.,1.,0.5,0.2,0.1,0.,0.,0.,0.2,0.,5.7,28.7
44,"Dissly, Will",SEA,TE,27.4,4.,18.9,183.7,1.6,0.4,1.2,0.,0.,0.,0.,0.7,0.4,0.1,0.,0.,0.,0.,29.3,0.,2.4,28.
45,"Ellison, Rhett",NYG,TE,30.5,1.5,20.9,212.9,1.,1.,0.,0.,0.,0.,0.,0.9,0.4,0.1,0.1,0.,0.,0.,0.,0.,1.2,27.5
46,"Sims, Dion",CHI,TE,34.6,3.5,17.9,204.,1.1,0.2,0.,0.9,0.,0.,0.,0.8,0.4,0.1,0.1,0.,0.,0.,0.,0.,2.8,27.
47,"Goedert, Dallas",PHI,TE,35.4,5.8,20.9,176.6,1.5,0.6,1.,0.,0.,0.,0.,0.7,0.4,0.1,0.,0.,0.,0.,3.1,0.,2.6,26.9
48,"Lee, Khari",BUF,TE,33.3,2.7,17.5,220.1,0.7,0.,0.,0.7,0.,0.,0.,0.9,0.4,0.1,0.1,0.,0.,0.,5.6,0.,3.,26.1
49,"Fells, Darren",CLE,TE,32.,5.7,17.8,205.9,0.7,0.,0.,0.6,0.,0.,0.,0.8,0.4,0.1,0.1,0.,0.,0.,8.6,0.,4.9,24.5
50,"DeValve, Seth",CLE,TE,33.,2.5,17.7,210.2,0.6,0.6,0.,0.,0.,0.,0.,0.8,0.4,0.1,0.1,0.,0.,0.,0.,0.2,1.7,24.3
51,"Harris, Demetrius",KCC,TE,32.7,6.8,16.9,196.9,0.6,0.6,0.,0.,0.,0.,0.,0.8,0.4,0.1,0.,0.,0.,0.,18.1,0.,5.4,23.9
52,"Akins, Jordan",HOU,TE,42.4,5.1,21.1,197.2,0.5,0.5,0.,0.,0.,0.,0.,0.8,0.4,0.1,0.,0.,0.,0.,0.,0.,1.7,22.5
53,"Smith, Jonnu",TEN,TE,30.3,2.4,18.7,149.8,1.,0.2,0.,0.5,0.2,0.,0.,0.6,0.3,0.1,0.,0.,0.,0.,0.,0.,2.1,21.
54,"Green, Virgil",LAC,TE,23.2,3.,16.7,197.,0.2,0.2,0.,0.,0.,0.,0.,0.8,0.4,0.1,0.,0.,0.,0.,0.,0.,2.8,20.8
55,"Hill, Josh",NOR,TE,29.2,6.,17.3,165.8,1.2,1.2,0.,0.,0.,0.,0.,0.7,0.3,0.1,0.,-8.5,0.,0.,0.,1.5,4.4,19.7
56,"Kendricks, Lance",GBP,TE,37.8,3.8,17.3,180.8,0.2,0.2,0.,0.,0.,0.,0.,0.7,0.4,0.1,0.,0.,0.,0.,0.,0.,2.7,19.4
57,"Everett, Gerald",LAR,TE,27.8,6.5,11.6,122.1,1.2,1.2,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,4.,0.,0.,0.,1.3,3.8,17.4
58,"O'Shaughnessy, James",JAC,TE,21.,5.,11.6,129.2,0.6,0.,0.6,0.,0.,0.,0.,0.5,0.3,0.1,0.,0.,0.,0.,0.,0.,3.2,16.5
59,"Morgan, David",MIN,TE,15.,2.1,11.1,92.7,1.,1.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,0.2,0.,1.5,16.4
60,"Swoope, Erik",IND,TE,13.4,0.9,6.8,135.6,0.2,0.,0.,0.2,0.,0.,0.,0.5,0.3,0.1,0.,0.,0.,0.,0.,0.,1.1,14.6
61,"Tye, Will",FA,TE,23.2,1.8,17.4,137.7,0.,0.,0.,0.,0.,0.,0.,0.6,0.3,0.1,0.,0.,0.,0.,0.,0.,0.9,13.8
62,"Butt, Jake",DEN,TE,21.1,2.1,11.5,136.2,0.,0.,0.,0.,0.,0.,0.,0.5,0.3,0.1,0.,0.,0.,0.,0.,0.,1.2,13.6
63,"Adams, Jerell",NYG,TE,16.,0.2,13.8,119.1,0.2,0.,0.2,0.,0.,0.,0.,0.5,0.2,0.1,0.,0.,0.,0.,0.,0.,0.2,13.
64,"Allen, Dwayne",NEP,TE,17.,2.9,9.,73.6,0.9,0.,0.9,0.,0.,0.,0.,0.3,0.1,0.,0.,0.,0.,0.,0.,0.,1.9,12.9
65,"Paul, Niles",JAC,TE,20.2,2.1,12.,114.4,0.,0.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,2.3,0.,0.,41.4,0.,1.,11.9
66,"Derby, A.J.",MIA,TE,20.1,6.4,9.3,92.4,0.5,0.,0.5,0.,0.,0.,0.,0.4,0.2,0.1,0.,3.6,0.,0.,7.7,0.6,3.1,11.3
67,"Brown, Daniel",CHI,TE,16.2,0.2,10.3,101.6,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,0.2,10.3
68,"Jarwin, Blake",DAL,TE,11.5,2.,6.3,98.9,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,2.3,0.,0.9,9.9
69,"Roberts, Michael",DET,TE,17.2,4.2,9.,93.2,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,6.6,0.,4.7,9.3
70,"Smith, Lee",OAK,TE,15.7,1.5,9.9,89.9,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,1.4,9.
71,"Gray, MarQueis",MIA,TE,11.1,1.4,7.8,85.3,0.,0.,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,1.7,0.,0.,6.,0.,1.4,8.9
72,"Uzomah, C.J.",CIN,TE,11.3,1.7,7.1,72.2,0.1,0.1,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,0.,0.,0.,0.,0.,1.7,8.1
73,"Koyack, Ben",FA,TE,6.3,0.2,4.5,51.1,0.2,0.2,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.2,7.9
74,"Toilolo, Levine",DET,TE,11.4,1.,8.5,70.3,0.,0.,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,0.,0.,0.,0.,0.,0.4,7.1
75,"Thomas, Logan",BUF,TE,9.1,0.,6.9,57.2,0.2,0.,0.,0.2,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.2,7.
76,"Williams, Maxx",BAL,TE,15.9,2.6,13.5,85.,0.1,0.1,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,7.1,0.,0.,0.,1.6,1.4,6.7
77,"Manhertz, Chris",CAR,TE,18.,2.6,5.3,60.8,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,1.3,6.1
78,"Sprinkle, Jeremy",WAS,TE,8.9,0.9,5.3,48.6,0.2,0.2,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,1.3,0.,0.,15.5,0.,0.6,6.1
79,"Leggett, Jordan",NYJ,TE,11.5,0.8,6.3,57.4,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,5.7
80,"Hollister, Jacob",NEP,TE,11.8,1.9,5.4,51.2,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,6.,0.,0.,0.,0.,1.8,5.7
81,"Sterling, Neal",NYJ,TE,9.5,0.6,5.9,55.9,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.4,5.6
82,"Cross, Alan",TBB,TE,9.5,0.3,6.2,63.6,0.,0.,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,0.,0.,0.,0.,0.6,0.,5.1
83,"Alie-Cox, Mo",FA,TE,10.4,1.9,3.1,45.8,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,1.9,4.6
