Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
54,"Jackson, Adoree",TEN,DB,60.,10.2,0.,12.9,0.3,2.2,0.2,0.,232.3,514.1,80.9
55,"Woods, Xavier",DAL,DB,61.,12.6,0.7,7.6,2.1,0.9,0.,0.,0.,0.,80.7
56,"Nelson, Steven",KCC,DB,58.2,13.3,0.,10.1,1.4,1.5,1.1,0.,0.,0.,80.5
57,"Bouye, A.J.",JAC,DB,56.,6.7,0.,12.7,4.2,0.,0.,0.,0.,0.,80.5
58,"Carr, Brandon",BAL,DB,57.3,7.,0.,12.5,3.4,0.,0.,0.,0.,0.,80.
59,"Apple, Eli",NYG,DB,59.7,13.8,0.2,10.4,1.2,0.2,0.2,0.,0.,0.,80.
60,"Slay, Darius",DET,DB,45.,4.,0.4,20.6,5.2,0.4,0.4,0.,0.,0.,79.3
61,"Fitzpatrick, Minkah",MIA,DB,54.,17.1,0.7,9.7,2.1,1.4,0.,0.,0.,0.,78.5
62,"Gilchrist, Marcus",OAK,DB,57.6,14.1,0.5,10.,1.2,0.5,0.4,0.,0.,0.,78.4
63,"Williams, Marcus",NOR,DB,55.,14.2,0.9,7.8,3.4,0.2,0.,0.,0.,0.,77.8
64,"King, Desmond",LAC,DB,62.7,9.1,3.5,4.7,1.1,0.,0.,0.2,2.7,298.3,77.7
65,"Witherspoon, Ahkello",SFO,DB,55.5,8.6,0.,10.8,3.,1.1,0.,0.,0.,0.,77.7
66,"White, Tre'Davious",BUF,DB,48.4,15.5,0.2,13.4,3.3,0.6,0.6,0.2,0.,0.,77.6
67,"Adams, Mike",CAR,DB,53.,10.6,0.,9.3,3.1,2.4,1.3,0.,0.,0.,77.6
68,"Williams, Shawn",CIN,DB,57.,14.7,0.2,7.3,2.6,0.,0.,0.,3.4,0.,77.1
69,"Waynes, Trae",MIN,DB,51.1,8.6,1.3,16.,2.2,0.,0.,0.,0.,0.,77.
70,"McLeod, Rodney",PHI,DB,57.,17.1,1.,5.5,1.8,0.6,0.6,0.,0.,0.,76.8
71,"Bradberry, James",CAR,DB,56.,15.1,0.5,7.8,1.8,0.9,0.4,0.,0.,0.,76.7
72,"Dennard, Darqueze",CIN,DB,54.7,23.7,1.1,4.7,2.,0.,0.,0.2,0.,0.,76.4
73,"Addae, Jahleel",LAC,DB,56.,19.,0.3,7.5,1.4,0.,0.,0.1,0.,10.1,76.
74,"Alford, Robert",ATL,DB,52.8,5.9,0.2,17.4,1.1,0.,0.,0.2,0.,0.,75.6
75,"Carrie, Travis",CLE,DB,61.7,12.7,0.,7.2,0.,0.,0.,0.,37.6,7.1,75.3
76,"Jenkins, Janoris",NYG,DB,47.,7.7,0.5,15.2,3.5,1.5,0.,0.2,0.,0.,75.
77,"Crawley, Ken",NOR,DB,52.3,11.7,0.,14.4,1.1,0.,0.,0.,0.,0.,74.8
78,"Clinton-Dix, Hasean",GBP,DB,57.,12.3,0.4,6.5,2.,0.4,0.,0.,0.,0.,74.5
79,"Fuller, Kyle",CHI,DB,51.3,7.4,0.,17.3,0.8,0.,0.,0.,0.,0.,73.8
80,"Joseph, Karl",OAK,DB,55.,20.6,0.8,4.6,0.8,0.8,0.8,0.,0.,0.,73.7
81,"Melvin, Rashaan",OAK,DB,52.9,18.2,0.,8.,1.1,1.1,0.4,0.,0.,0.,73.7
82,"Burns, Artie",PIT,DB,49.9,11.2,0.,13.4,2.1,0.,0.,0.,0.,0.,73.1
83,"Heath, Jeff",DAL,DB,54.3,7.2,1.,5.3,3.3,2.,0.,0.,0.,0.,72.8
84,"Awuzie, Chidobe",DAL,DB,45.9,15.5,0.4,12.5,2.8,0.5,0.,0.,0.,0.,72.6
85,"Brown, Anthony",DAL,DB,46.8,12.5,1.1,12.4,2.2,1.1,0.,0.,0.,0.,72.
86,"Bates, Jessie",CIN,DB,54.7,16.3,0.5,8.2,0.,0.,0.,0.,2.4,14.,71.6
87,"Moore, Kenny",IND,DB,49.8,12.8,0.,8.9,2.6,1.,0.,0.,0.,0.,71.3
88,"Hargreaves, Vernon",TBB,DB,53.1,9.,0.,9.7,1.4,1.1,0.,0.,15.4,0.,71.2
89,"Skrine, Buster",NYJ,DB,53.5,7.7,0.6,9.2,0.7,1.4,1.3,0.,0.,0.,71.2
90,"Norman, Josh",WAS,DB,48.9,16.6,0.,11.,0.5,1.3,0.7,0.,0.,0.,71.1
91,"Mitchell, Terrance",CLE,DB,45.9,11.8,0.5,14.4,1.8,0.,0.,0.,5.7,46.1,70.2
92,"Joyner, Lamarcus",LAR,DB,48.,15.3,0.4,8.2,2.4,0.9,0.,0.1,0.,0.,70.1
93,"Gilmore, Stephon",NEP,DB,46.4,6.3,0.8,14.7,1.9,1.,0.,0.,0.,0.,70.
94,"Edmunds, Terrell",PIT,DB,49.6,15.8,0.,9.5,0.7,1.1,0.4,0.,0.,0.,69.9
95,"Hooker, Malik",IND,DB,49.,11.8,0.,9.5,2.6,0.,0.,0.,0.,0.,69.7
96,"Rowe, Eric",NEP,DB,50.2,7.3,0.,10.5,2.2,0.,0.,0.,0.,0.,68.7
97,"Nelson, Reggie",OAK,DB,52.,20.7,0.,2.9,0.7,0.8,0.,0.,0.,0.,67.4
98,"Kirkpatrick, Dre",CIN,DB,44.,15.2,0.,9.9,1.7,1.1,0.4,0.1,0.,0.,66.3
99,"Peppers, Jabrill",CLE,DB,52.,17.2,0.,5.1,0.2,0.,0.,0.,174.8,252.8,66.2
100,"Jones, Josh",GBP,DB,52.,10.9,0.4,6.,1.1,0.,0.,0.,0.,0.,66.1
101,"Taylor, Jamar",ARZ,DB,49.8,11.4,0.4,7.6,0.,1.5,0.,0.,6.7,0.,65.1
102,"Dunbar, Quinton",WAS,DB,40.3,13.,0.9,13.5,1.4,0.7,0.3,0.,0.,56.,64.9
103,"Poole, Brian",ATL,DB,53.,13.7,0.6,3.1,0.5,0.,0.,0.,0.,0.,64.5
104,"Trufant, Desmond",ATL,DB,43.7,6.4,0.6,14.,1.4,0.,0.,0.2,0.,0.,64.4
105,"Randall, Damarious",CLE,DB,45.8,9.8,0.7,7.6,2.2,0.,0.,0.2,22.4,62.8,63.4
106,"Swearinger, D.J.",WAS,DB,45.,10.7,0.7,6.2,2.5,1.,0.,0.,0.,0.,63.2
107,"Johnson, Dontae",SEA,DB,51.7,11.5,0.5,3.3,0.9,0.,0.,0.2,0.,0.,63.1
108,"Davis, Vontae",BUF,DB,43.3,15.,0.,9.4,1.1,0.4,0.,0.,0.,0.,62.7
109,"Phillips, Adrian",LAC,DB,44.6,11.8,0.3,6.9,1.8,0.7,0.,0.,0.,0.,62.
110,"Williams, Tramon",GBP,DB,44.6,8.5,0.,10.3,1.2,0.,0.,0.,0.,0.,61.7
111,"Williams, Trevor",LAC,DB,41.,10.3,0.,10.9,2.,0.2,0.2,0.,0.,0.,61.5
112,"Maye, Marcus",NYJ,DB,47.4,17.3,0.,1.8,1.3,1.,0.,0.,0.,0.,61.5
113,"Joseph, Johnathan",HOU,DB,44.4,11.6,0.2,7.8,1.1,0.2,0.,0.2,0.,0.,60.6
114,"Smith, Jimmy",BAL,DB,46.4,4.,0.,8.5,1.8,0.,0.,0.1,0.,0.,60.4
115,"Lewis, Jourdan",DAL,DB,47.8,7.2,0.,7.1,0.8,0.,0.,0.,0.,0.,60.2
116,"Boston, Tre",ARZ,DB,40.2,16.5,0.,6.,2.5,0.,0.,0.,5.7,0.,59.5
117,"Thompson, Darian",FA,DB,47.5,10.5,0.,5.6,0.4,0.2,0.2,0.2,0.,0.,59.5
118,"Simmons, Justin",DEN,DB,38.,12.6,0.5,7.2,3.6,0.,0.,0.2,0.,0.,59.2
119,"Fuller, Kendall",KCC,DB,40.8,9.8,0.6,7.,2.5,0.6,0.,0.,0.,8.3,58.8
120,"Douglas, Rasul",PHI,DB,35.2,7.1,0.,13.9,2.5,0.3,0.,0.,0.,0.,57.9
121,"Jackson, William",CIN,DB,33.5,10.2,1.2,14.9,1.4,0.3,0.,0.2,4.1,0.,57.7
122,"Peterson, Patrick",ARZ,DB,42.8,8.5,0.,7.6,1.1,0.2,0.2,0.,74.8,6.4,57.4
123,"Robinson, Patrick",NOR,DB,37.4,8.,0.7,11.,2.1,0.,0.,0.,0.,0.,57.4
124,"Rhodes, Xavier",MIN,DB,41.3,7.7,0.,10.,1.1,0.,0.,0.,0.,0.,57.3
125,"Robey, Nickell",LAR,DB,39.5,9.9,0.,8.6,1.3,0.6,0.6,0.,0.,0.,57.
126,"Desir, Pierre",IND,DB,37.2,17.4,0.,9.2,0.9,0.,0.,0.,0.,0.,56.9
127,"Johnson, Trumaine",NYJ,DB,42.1,5.5,0.3,8.8,0.8,0.8,0.5,0.2,0.5,0.,56.9
128,"Scandrick, Orlando",KCC,DB,47.6,9.9,0.,4.2,0.,0.,0.,0.,0.,0.,56.7
129,"Howard, Xavien",MIA,DB,39.4,7.9,1.2,7.8,2.,0.,0.,0.2,0.,0.,56.4
130,"Iloka, George",MIN,DB,40.2,19.8,0.,5.1,0.6,0.,0.,0.,0.,0.,56.4
131,"Amukamara, Prince",CHI,DB,42.1,5.1,0.8,8.2,0.4,0.5,0.5,0.1,2.5,0.,55.5
132,"Diggs, Quandre",DET,DB,39.3,10.6,0.9,6.1,1.9,0.2,0.,0.,0.,0.,55.5
133,"Branch, Tyvon",ARZ,DB,41.2,13.2,0.3,5.6,0.3,0.6,0.6,0.2,14.9,0.,55.5
134,"Wilson, Quincy",IND,DB,36.2,11.2,0.4,8.5,1.9,0.3,0.,0.,0.,0.,54.7
135,"Bell, Vonn",NOR,DB,41.,14.4,2.7,2.6,0.2,0.7,0.,0.,0.,0.,54.7
136,"Ward, Jimmie",SFO,DB,43.,9.2,0.3,3.2,0.1,1.9,1.1,0.,0.,0.,54.4
137,"Johnson, Kevin",HOU,DB,40.,13.6,0.,5.4,0.8,0.2,0.,0.,0.,0.,54.1
138,"Jackson, Donte",CAR,DB,39.9,17.3,0.6,4.2,0.1,0.,0.,0.,0.,0.,53.5
139,"Gipson, Tashaun",JAC,DB,40.,9.3,0.,5.2,1.6,0.2,0.2,0.2,0.,0.,53.4
140,"Coleman, Justin",SEA,DB,32.1,13.9,1.3,10.2,1.4,0.,0.,0.3,2.1,0.,53.4
141,"Hayward, Casey",LAC,DB,30.5,4.4,0.,15.4,1.8,0.5,0.5,0.,0.,0.,52.7
142,"Roby, Bradley",DEN,DB,30.9,7.9,1.2,13.7,0.9,0.4,0.1,0.2,0.,0.,52.1
143,"Everett, Deshazor",WAS,DB,31.,15.6,0.,7.9,1.6,0.8,0.,0.,0.,3.,50.8
144,"McCourty, Jason ",NEP,DB,35.,9.4,0.,7.1,1.6,0.8,0.,0.1,0.,0.,50.8
145,"Conley, Gareon",OAK,DB,38.4,9.9,0.,5.5,0.4,0.5,0.5,0.,2.4,0.,50.7
