Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
29,"Ingram, Mark",NOR,RB,149.3,672.6,7.,4.7,0.4,1.,0.4,0.,0.4,8.7,1.3,0.4,0.2,39.2,303.4,0.7,1.2,0.6,0.,47.4,1.4,17.1,140.5
30,"Barber, Peyton",TBB,RB,212.3,806.8,6.5,5.9,0.,0.,0.,0.6,0.,7.2,1.6,0.5,0.2,28.4,198.4,0.5,0.8,0.4,0.,0.,1.7,25.6,139.5
31,"Murray, Latavius",MIN,RB,200.6,774.7,7.2,6.3,0.2,0.7,0.,0.,0.,7.7,1.5,0.5,0.2,21.7,171.8,0.2,0.7,0.3,0.,0.7,0.6,20.6,137.7
32,"Peterson, Adrian",WAS,RB,217.,768.5,3.5,2.4,0.,0.7,0.,0.,0.4,5.6,1.5,0.5,0.2,42.9,360.6,1.6,1.4,0.7,0.,89.2,3.,10.7,137.4
33,"Morris, Alfred",SFO,RB,200.7,849.3,5.3,4.9,0.,0.,0.4,0.,0.,10.4,1.7,0.6,0.2,31.3,185.4,0.4,0.7,0.4,0.,0.,1.,21.8,135.4
34,"Hyde, Carlos",CLE,RB,167.6,697.2,5.7,5.2,0.4,0.1,0.,0.,0.,2.8,1.4,0.5,0.2,44.9,317.,0.3,1.3,0.6,0.,0.,1.8,20.8,134.
35,"Powell, Bilal",NYJ,RB,189.6,796.4,4.5,3.2,0.2,0.,0.,0.,1.1,6.2,1.6,0.5,0.2,30.1,220.,0.5,0.9,0.4,0.,13.6,1.3,17.2,129.1
36,"Booker, Devontae",DEN,RB,178.6,662.2,3.1,2.3,0.8,0.,0.,0.,0.,2.6,1.3,0.4,0.2,38.5,368.3,1.4,1.5,0.7,0.,213.9,0.8,10.5,128.6
37,"Anderson, C.J.",CAR,RB,225.6,872.1,3.5,3.1,0.4,0.,0.,0.,0.,5.2,1.7,0.6,0.2,28.2,204.2,0.,0.8,0.4,12.5,22.6,1.,14.3,126.9
38,"Johnson, Duke",CLE,RB,78.4,318.,3.1,1.9,1.2,0.,0.,0.,0.,1.3,0.6,0.2,0.1,67.,607.3,2.8,2.4,1.2,16.1,145.7,1.5,10.7,125.
39,"White, James",NEP,RB,56.5,255.1,5.2,4.,0.,1.1,0.,0.,0.,1.,0.5,0.2,0.1,53.5,399.,4.6,1.6,0.8,0.,54.9,0.,19.2,123.8
40,"Bernard, Giovani",CIN,RB,128.8,538.4,2.6,2.,0.6,0.,0.,0.,0.,2.2,1.1,0.4,0.1,52.4,448.3,1.6,1.8,0.9,0.,3.7,0.6,8.9,122.3
41,"Penny, Rashaad",SEA,RB,125.2,751.,1.,1.,0.,0.,0.,0.,0.,1.5,0.7,0.2,0.1,38.1,321.5,1.5,1.3,0.6,0.,11.3,0.6,10.2,121.5
42,"Allen, Javorius",BAL,RB,144.4,548.2,5.1,3.8,1.3,0.,0.,0.,0.,2.2,1.1,0.4,0.1,43.8,269.9,1.5,1.1,0.5,0.,0.,0.,20.3,121.2
43,"Cohen, Tarik",CHI,RB,127.9,501.,3.,1.6,1.5,0.,0.,0.,0.,2.,1.,0.3,0.1,70.,459.9,0.2,1.8,0.9,331.,884.2,1.7,20.4,111.9
44,"Crowell, Isaiah",NYJ,RB,148.7,667.1,2.3,1.,0.3,0.5,0.,0.,0.5,2.7,1.3,0.4,0.2,29.1,211.1,0.8,0.8,0.4,0.,0.,0.7,10.6,105.1
45,"Carson, Chris",SEA,RB,150.1,558.8,1.7,1.3,0.,0.,0.,0.,0.3,2.2,1.1,0.4,0.1,37.6,309.6,1.2,1.2,0.6,0.,0.,0.,10.6,104.3
46,"Clement, Corey",PHI,RB,92.3,443.8,2.9,0.5,2.1,0.3,0.,0.,0.,1.8,0.9,0.3,0.1,25.5,269.1,1.4,1.1,0.5,0.,66.7,0.2,15.1,96.5
47,"Ware, Spencer",KCC,RB,131.8,501.,3.7,1.6,0.8,0.4,0.9,0.,0.,2.,1.,0.3,0.1,32.2,228.1,0.2,0.9,0.5,0.,103.1,0.5,13.6,95.3
48,"Ivory, Chris",BUF,RB,175.6,660.2,1.5,1.5,0.,0.,0.,0.,0.,2.6,1.3,0.4,0.2,29.3,221.4,0.,0.9,0.4,0.,0.,1.6,16.7,94.2
49,"Gore, Frank",MIA,RB,164.4,617.1,1.5,1.,0.5,0.,0.,0.,0.,2.5,1.2,0.4,0.2,26.6,206.1,0.2,0.8,0.4,0.,25.6,0.4,3.2,91.8
50,"Martin, Doug",OAK,RB,150.2,489.1,3.8,3.8,0.,0.,0.,0.,0.,2.,1.,0.3,0.1,27.8,212.9,0.8,0.9,0.4,59.6,75.7,3.3,11.4,91.
51,"Yeldon, T.J.",JAC,RB,98.3,385.2,2.8,2.4,0.,0.,0.,0.,0.3,1.5,0.8,0.3,0.1,42.8,343.4,0.2,1.4,0.7,0.,0.,0.9,8.2,89.
52,"Thompson, Chris",WAS,RB,69.7,319.9,1.7,0.9,0.,0.4,0.,0.,0.4,1.3,0.6,0.2,0.1,40.,350.6,2.6,1.4,0.7,0.,251.3,2.2,7.5,88.6
53,"Freeman, Royce",DEN,RB,135.1,539.,3.1,2.7,0.,0.4,0.,0.,0.,2.2,1.1,0.4,0.1,27.2,171.3,0.,0.7,0.3,0.,202.7,1.7,6.9,86.5
54,"Chubb, Nick",CLE,RB,114.3,686.,0.6,0.6,0.,0.,0.,0.,0.,1.2,0.6,0.2,0.1,25.,145.7,0.,0.6,0.3,18.9,5.4,0.2,6.6,86.2
55,"Breida, Matt",SFO,RB,113.5,486.,2.8,0.6,0.,0.,2.1,0.,0.,1.9,1.,0.3,0.1,20.3,180.8,0.6,0.7,0.4,9.1,104.3,0.5,6.,86.
56,"Perine, Samaje",WAS,RB,186.1,604.1,0.3,0.3,0.,0.,0.,0.,0.,2.4,1.2,0.4,0.2,25.5,211.1,1.2,0.8,0.4,0.,33.3,2.1,7.7,86.
57,"Montgomery, Ty",GBP,RB,103.3,433.1,4.4,1.4,0.,1.1,1.5,0.4,0.,1.7,0.9,0.3,0.1,25.8,146.7,0.2,0.6,0.3,0.,17.2,0.,12.2,85.3
58,"Smith, Rod",DAL,RB,78.3,342.5,4.4,3.6,0.8,0.,0.,0.,0.,1.4,0.7,0.2,0.1,20.7,190.,0.8,0.8,0.4,0.,20.,0.,11.3,84.4
59,"Stewart, Jonathan",NYG,RB,154.1,520.4,3.2,3.,0.,0.,0.,0.,0.2,2.1,1.,0.3,0.1,16.4,101.4,0.6,0.4,0.2,0.,32.4,0.7,14.,83.4
60,"Abdullah, Ameer",DET,RB,144.3,453.7,3.,3.,0.,0.,0.,0.,0.,1.8,0.9,0.3,0.1,21.7,144.4,0.9,0.6,0.3,0.,176.4,1.,11.8,81.4
61,"Ekeler, Austin",LAC,RB,67.,346.,2.2,0.,0.,1.4,0.8,0.,0.,1.4,0.7,0.2,0.1,26.7,266.4,1.1,1.1,0.5,0.,46.7,0.8,11.8,79.2
62,"Riddick, Theo",DET,RB,73.,249.3,1.9,1.4,0.5,0.,0.,0.,0.,1.,0.5,0.2,0.1,38.8,303.1,1.5,1.2,0.6,0.,24.5,0.6,6.9,74.4
63,"Wilkins, Jordan",IND,RB,97.6,357.1,2.6,2.6,0.,0.,0.,0.,0.,1.4,0.7,0.2,0.1,29.8,238.3,0.,1.,0.5,0.,29.2,0.4,9.,74.2
64,"Blue, Alfred",HOU,RB,138.1,533.1,1.4,1.2,0.,0.2,0.,0.,0.,2.1,1.1,0.4,0.1,16.9,103.1,0.5,0.4,0.2,18.3,26.9,0.8,11.1,73.
65,"Jones, Aaron",GBP,RB,90.7,444.9,3.9,1.8,0.,1.5,0.,0.5,0.,1.8,0.9,0.3,0.1,14.4,45.6,0.,0.2,0.1,0.,0.,0.,6.8,72.2
66,"Edmonds, Chase",ARZ,RB,125.2,371.1,1.8,1.8,0.,0.,0.,0.,0.,1.5,0.7,0.2,0.1,18.8,166.5,0.,0.7,0.3,0.,98.1,0.7,4.9,62.8
67,"Kelley, Rob",WAS,RB,109.4,357.8,3.2,3.,0.,0.2,0.,0.,0.,1.4,0.7,0.2,0.1,10.2,72.8,0.,0.3,0.1,0.,33.,0.,12.4,62.
68,"Dixon, Kenneth",BAL,RB,76.9,386.1,1.3,0.7,0.7,0.,0.,0.,0.,1.5,0.8,0.3,0.1,21.8,140.7,0.1,0.6,0.3,10.4,122.4,1.,5.7,59.5
69,"Conner, James",PIT,RB,79.7,478.,1.4,1.4,0.,0.,0.,0.,0.,1.1,0.5,0.2,0.1,4.5,28.8,0.,0.1,0.1,0.,152.6,0.,3.,59.3
70,"Scott, Boston",NOR,RB,59.2,225.2,2.2,1.5,0.,0.2,0.,0.5,0.,0.9,0.5,0.2,0.1,19.,135.5,1.6,0.5,0.3,0.,17.9,0.,8.4,58.7
71,"Turbin, Robert",IND,RB,55.4,188.4,3.6,3.6,0.,0.,0.,0.,0.,0.8,0.4,0.1,0.,20.3,144.6,0.5,0.6,0.3,0.,12.,0.,11.2,57.6
72,"Sproles, Darren",PHI,RB,75.5,287.4,2.,1.1,0.3,0.7,0.,0.,0.,1.1,0.6,0.2,0.1,17.8,145.8,0.7,0.6,0.3,52.6,69.4,1.,10.3,57.4
73,"Blount, LeGarrette",DET,RB,117.5,426.6,1.,0.5,0.5,0.,0.,0.,0.,1.7,0.9,0.3,0.1,8.2,43.2,0.5,0.2,0.1,0.,125.8,0.6,10.9,55.1
74,"Richard, Jalen",OAK,RB,59.3,297.2,0.2,0.,0.,0.,0.,0.,0.2,1.2,0.6,0.2,0.1,26.9,189.8,1.7,0.8,0.4,210.4,230.1,2.5,3.3,55.
75,"Grant, Corey",JAC,RB,52.3,269.5,1.6,0.7,0.,0.,0.,0.,0.9,1.1,0.5,0.2,0.1,9.1,120.1,1.,0.5,0.2,6.5,182.3,0.,6.2,54.5
76,"Gallman, Wayne",NYG,RB,92.1,376.9,0.,0.,0.,0.,0.,0.,0.,1.5,0.8,0.3,0.1,27.6,153.4,0.6,0.6,0.3,0.,55.7,1.4,4.8,53.8
77,"Jones, Ronald",TBB,RB,68.2,251.5,0.,0.,0.,0.,0.,0.,0.,1.,0.5,0.2,0.1,25.8,211.4,0.4,0.8,0.4,0.,27.2,0.8,4.9,47.2
