Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
130,"Fluellen, David",TEN,RB,1.1,3.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,7.3,0.,0.,0.3
131,"Williams, Darrel",KCC,RB,2.7,2.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,431.7,0.,0.,0.3
132,"Edwards, Gus",FA,RB,1.4,2.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2
133,"Magee, Terrence",FA,RB,1.2,1.7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2
134,"Bouagnon, Joel",FA,RB,0.7,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,1.3,0.,0.,0.,0.,0.,0.,0.,0.2
135,"Wilson, Shaun",TBB,RB,8.9,0.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,127.5,0.,0.,0.1
136,"Carson, Tra",CIN,RB,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.7,0.,0.,0.,0.,0.,0.,0.,0.1
137,"Davis, Justin",LAR,RB,2.5,0.7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,61.3,0.,0.7,0.1
138,"Wadley, Akrum",FA,RB,0.1,0.5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
139,"Perry, Senorise",MIA,RB,0.1,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,94.3,0.,0.,0.
140,"Edmunds, Trey",FA,RB,0.1,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,9.6,0.,0.,0.
141,"Jackson, Darius",GBP,RB,0.9,-1.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-0.2
