Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Carroll, Pete",SEA,@LAR,HC,1.,0.,31.,17.,24.6
2,"Zimmer, Mike",MIN,@CHI,HC,1.,0.,31.,16.,24.3
3,"Pagano, Chuck",IND,SFO,HC,1.,0.,31.,15.,24.
4,"Lewis, Marvin",CIN,BUF,HC,1.,0.,30.,12.,22.6
5,"McAdoo, Ben",NYG,LAC,HC,1.,0.,29.,11.,21.8
6,"Belichick, Bill",NEP,@TBB,HC,1.,0.,30.,7.,21.1
7,"Bowles, Todd",NYJ,@CLE,HC,1.,0.,25.,13.,20.4
8,"Pederson, Doug",PHI,ARZ,HC,1.,0.,28.,6.,19.8
9,"Gruden, Jay",WAS,Bye,HC,1.,0.,27.,4.,18.7
10,"Tomlin, Mike",PIT,JAC,HC,1.,0.,27.,4.,18.7
11,"Campbell, Dan",MIA,TEN,HC,1.,0.,27.,3.,18.4
12,"Mularkey, Mike",TEN,@MIA,HC,1.,0.,25.,4.,17.7
13,"Reid, Andy",KCC,@HOU,HC,1.,0.,22.,6.,16.8
14,"Del Rio, Jack",OAK,BAL,HC,1.,0.,23.,2.,16.1
15,"Caldwell, Jim",DET,CAR,HC,1.,0.,22.,1.,15.3
16,"McCarthy, Mike",GBP,@DAL,HC,0.,1.,26.,-1.,12.7
17,"Garrett, Jason",DAL,GBP,HC,0.,1.,25.,-1.,12.2
18,"Jackson, Hue",CLE,NYJ,HC,0.,1.,24.,-1.,11.7
19,"Rivera, Ron",CAR,@DET,HC,0.,1.,21.,-1.,10.2
20,"Quinn, Dan",ATL,Bye,HC,0.,1.,23.,-5.,10.
21,"Harbaugh, John",BAL,@OAK,HC,0.,1.,21.,-2.,9.9
22,"Arians, Bruce",ARZ,@PHI,HC,0.,1.,22.,-5.,9.5
23,"Fox, John",CHI,MIN,HC,0.,1.,23.,-8.,9.1
24,"Payton, Sean",NOR,Bye,HC,0.,1.,21.,-6.,8.7
25,"McVay, Sean",LAR,SEA,HC,0.,1.,21.,-10.,7.5
26,"O'Brien, Bill",HOU,KCC,HC,0.,1.,17.,-5.,7.
27,"Koetter, Dirk",TBB,NEP,HC,0.,1.,17.,-18.,3.1
