Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Vinatieri, Adam",IND,SFO,K,2.9,3.,1.8,2.,0.,0.4,0.5,0.6,0.3,0.2,9.2
2,"Tucker, Justin",BAL,@OAK,K,1.6,1.6,2.1,2.3,0.,0.4,0.6,0.7,0.4,0.2,8.6
3,"Prater, Matt",DET,CAR,K,1.9,2.,1.8,2.,0.,0.4,0.4,0.5,0.5,0.2,8.1
4,"Boswell, Chris",PIT,JAC,K,1.9,2.,1.9,2.1,0.,0.4,0.7,0.7,0.1,0.2,8.
5,"Fairbairn, Ka'imi",HOU,KCC,K,1.8,2.,2.1,2.4,0.1,0.6,0.7,0.5,0.1,0.3,8.
6,"Gostkowski, Stephen",NEP,@TBB,K,2.6,2.8,1.8,2.,0.,0.4,0.6,0.6,0.1,0.2,7.9
7,"Bailey, Dan",DAL,GBP,K,2.4,2.4,1.7,2.,0.,0.5,0.6,0.4,0.3,0.2,7.9
8,"Sturgis, Caleb",PHI,ARZ,K,2.1,2.2,1.9,2.2,0.,0.6,0.7,0.4,0.2,0.3,7.8
9,"Forbath, Kai",MIN,@CHI,K,2.1,2.4,1.8,1.9,0.,0.5,0.6,0.5,0.2,0.2,7.7
10,"Bullock, Randy",CIN,BUF,K,2.3,2.6,1.9,2.2,0.,0.8,0.5,0.5,0.,0.3,7.5
11,"Hauschka, Steven",BUF,@CIN,K,2.,2.5,1.8,2.,0.,0.6,0.7,0.4,0.1,0.2,7.5
12,"Walsh, Blair",SEA,@LAR,K,2.,2.3,1.8,2.,0.,0.5,0.7,0.4,0.2,0.3,7.5
13,"Rosas, Aldrick",NYG,LAC,K,2.5,2.7,1.5,1.5,0.,0.4,0.5,0.5,0.,0.1,7.2
14,"Crosby, Mason",GBP,@DAL,K,2.7,2.8,1.4,1.6,0.,0.4,0.5,0.2,0.2,0.2,6.9
15,"Myers, Jason",JAC,@PIT,K,1.7,2.,1.5,1.9,0.,0.4,0.3,0.5,0.3,0.4,6.2
16,"Gano, Graham",CAR,@DET,K,2.1,2.2,1.5,1.9,0.,0.3,0.4,0.7,0.1,0.4,6.1
17,"Dawson, Phil",ARZ,@PHI,K,2.5,2.7,1.2,1.6,0.,0.3,0.4,0.5,0.1,0.3,6.
18,"Janikowski, Sebastian",OAK,BAL,K,2.,2.1,1.4,1.7,0.,0.4,0.3,0.4,0.2,0.3,5.8
19,"Koo, Younghoe",LAC,@NYG,K,2.1,2.3,1.4,1.8,0.,0.3,0.6,0.4,0.1,0.4,5.8
20,"Santos, Cairo",KCC,@HOU,K,1.8,2.,1.4,1.7,0.,0.3,0.7,0.3,0.1,0.3,5.8
21,"Folk, Nick",TBB,NEP,K,1.7,1.8,1.6,2.,0.,0.6,0.7,0.2,0.1,0.4,5.6
22,"Succop, Ryan",TEN,@MIA,K,1.9,2.,1.1,1.2,0.,0.2,0.3,0.4,0.1,0.1,5.4
23,"Gould, Robbie",SFO,@IND,K,1.9,2.,1.1,1.2,0.,0.3,0.3,0.4,0.1,0.1,5.4
24,"Catanzaro, Chandler",NYJ,@CLE,K,1.8,2.,1.3,1.7,0.,0.4,0.4,0.3,0.2,0.4,5.2
25,"Barth, Connor",CHI,MIN,K,2.,2.,1.2,1.5,0.,0.5,0.4,0.2,0.1,0.3,5.
26,"Gonzalez, Zane",CLE,NYJ,K,1.3,1.4,1.3,1.6,0.,0.5,0.4,0.4,0.,0.3,4.8
27,"Parkey, Cody",MIA,TEN,K,1.8,1.9,1.1,1.5,0.,0.4,0.4,0.3,0.,0.4,4.6
28,"Zuerlein, Greg",LAR,SEA,K,1.3,1.4,1.,1.3,0.,0.2,0.5,0.2,0.1,0.4,3.6
