Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Hekker, Johnny",LAR,SEA,P,6.2,294.8,13.8,2.9,21.8
2,"Pinion, Bradley",SFO,@IND,P,6.3,273.5,18.6,1.9,18.7
3,"King, Marquette",OAK,BAL,P,5.3,251.3,20.2,2.3,18.1
4,"Wing, Brad",NYG,LAC,P,5.8,261.8,21.,1.9,18.
5,"Lechler, Shane",HOU,KCC,P,5.2,245.3,31.5,1.8,16.9
6,"Kern, Brett",TEN,@MIA,P,5.1,229.5,26.1,2.1,16.7
7,"Haack, Matt",MIA,TEN,P,5.2,235.1,21.9,1.9,16.6
8,"Koch, Sam",BAL,@OAK,P,4.7,218.3,17.,2.1,16.1
9,"Colquitt, Dustin",KCC,@HOU,P,4.5,197.8,9.4,2.3,15.3
10,"Allen, Ryan",NEP,@TBB,P,4.7,208.3,15.,1.7,14.7
11,"Nortman, Brad",JAC,@PIT,P,4.5,210.3,19.5,1.6,14.7
12,"Colquitt, Britton",CLE,NYJ,P,4.9,216.2,21.6,1.3,14.5
13,"Huber, Kevin",CIN,BUF,P,4.6,212.1,18.6,1.5,14.4
14,"Palardy, Michael",CAR,@DET,P,4.6,201.,17.3,1.7,14.4
15,"Anger, Bryan",TBB,NEP,P,4.1,186.4,7.2,2.1,14.4
16,"Edwards, Lachlan",NYJ,@CLE,P,4.7,206.7,21.9,1.5,14.1
17,"Jones, Donnie",PHI,ARZ,P,4.4,205.4,11.9,1.5,14.
18,"Martin, Sam",DET,CAR,P,4.3,205.5,14.7,1.4,14.
19,"Schmidt, Colton",BUF,@CIN,P,4.8,205.1,19.,1.2,13.6
20,"O'Donnell, Pat",CHI,MIN,P,4.3,188.7,15.1,1.6,13.4
21,"Quigley, Ryan",MIN,@CHI,P,4.4,183.,14.1,1.7,13.2
22,"Ryan, Jon",SEA,@LAR,P,4.1,178.8,15.2,1.5,12.5
23,"Jones, Chris",DAL,GBP,P,3.7,170.3,9.,1.6,12.1
24,"Berry, Jordan",PIT,JAC,P,3.9,172.5,14.,1.4,12.
25,"Kaser, Drew",LAC,@NYG,P,3.9,182.7,21.9,1.1,12.
26,"Vogel, Justin",GBP,@DAL,P,3.9,167.7,8.2,1.2,11.5
27,"Wile, Matt",ARZ,@PHI,P,3.8,164.6,16.8,1.,10.6
