"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Belichick, Bill","NEP","DAL","HC",1.,0.,35.,12.,25.1
2,"Patricia, Matt","DET","@WAS","HC",1.,0.,33.,15.,25.
3,"Nagy, Matt","CHI","NYG","HC",1.,0.,32.,16.,24.8
4,"Zimmer, Mike","MIN","Bye","HC",1.,0.,32.,12.,23.6
5,"Gase, Adam","NYJ","OAK","HC",1.,0.,33.,9.,23.2
6,"Marrone, Doug","JAC","@TEN","HC",1.,0.,29.,11.,21.8
7,"Reich, Frank","IND","@HOU","HC",1.,0.,29.,8.,20.9
8,"Reid, Andy","KCC","Bye","HC",1.,0.,31.,4.,20.7
9,"McDermott, Sean","BUF","DEN","HC",1.,0.,28.,7.,20.1
10,"McVay, Sean","LAR","BAL","HC",1.,0.,29.,5.,20.
11,"Shanahan, Kyle","SFO","GBP","HC",1.,0.,29.,4.,19.7
12,"O'Brien, Bill","HOU","IND","HC",1.,0.,26.,6.,18.8
13,"Vrabel, Mike","TEN","JAC","HC",1.,0.,24.,5.,17.5
14,"Carroll, Pete","SEA","@PHI","HC",1.,0.,25.,2.,17.1
15,"Tomlin, Mike","PIT","@CIN","HC",0.,1.,30.,-4.,13.8
16,"Gruden, Jon","OAK","@NYJ","HC",0.,1.,23.,-3.,10.6
17,"Rivera, Ron","CAR","@NOS","HC",0.,1.,23.,-5.,10.
18,"Shurmur, Pat","NYG","@CHI","HC",0.,1.,22.,-4.,9.8
19,"Harbaugh, John","BAL","@LAR","HC",0.,1.,24.,-9.,9.3
20,"Lynn, Anthony","LAC","Bye","HC",0.,1.,20.,-3.,9.1
21,"Payton, Sean","NOS","CAR","HC",0.,1.,24.,-10.,9.
22,"Koetter, Dirk","ATL","TBB","HC",0.,1.,22.,-8.,8.6
23,"Pederson, Doug","PHI","SEA","HC",0.,1.,21.,-7.,8.4
24,"Garrett, Jason","DAL","@NEP","HC",0.,1.,20.,-7.,7.9
25,"Quinn, Dan","ATL","TBB","HC",0.,1.,21.,-10.,7.5
26,"Gruden, Jay","WAS","DET","HC",0.,1.,19.,-8.,7.1
"","","","","","","","","",""
